"ToxAssay","Method","Dataset","TP","FP","TN","FN","RocAUC","BA","f1","Precision","Recall","Specificity","Count"
"NR-AR","Consensus","Training","331","58","8298","28","0.9983125564203528","0.9575322254387286","0.8850267379679144","0.8508997429305912","0.9220055710306406","0.9930588798468166","8715"
"NR-AR","Consensus","Test","3","1","264","0","0.9987421383647799","0.9981132075471698","0.8571428571428571","0.75","1.0","0.9962264150943396","268"
"NR-AR","Consensus","Score","4","3","514","7","0.8085106382978734","0.678916827852998","0.4444444444444444","0.5714285714285714","0.36363636363636365","0.9941972920696325","528"
"NR-AhR","Consensus","Training","871","69","6634","59","0.9933737742208189","0.9631326207652167","0.9315508021390374","0.926595744680851","0.9365591397849462","0.9897061017454871","7633"
"NR-AhR","Consensus","Test","29","6","213","0","0.9977956227365768","0.9863013698630136","0.90625","0.8285714285714286","1.0","0.9726027397260274","248"
"NR-AhR","Consensus","Score","46","34","440","23","0.9068672414847516","0.7974683544303798","0.6174496644295301","0.575","0.6666666666666666","0.9282700421940928","543"
"NR-AR-LBD","Consensus","Training","260","46","7745","13","0.9988227235050493","0.9732383519445513","0.8981001727115717","0.8496732026143791","0.9523809523809523","0.9940957515081504","8064"
"NR-AR-LBD","Consensus","Test","4","0","228","0","1.0","1.0","1.0","1.0","1.0","1.0","232"
"NR-AR-LBD","Consensus","Score","0","4","513","7","0.7725891130146445","0.4961315280464217","0.0","0.0","0.0","0.9922630560928434","524"
"NR-ER","Consensus","Training","746","115","6229","158","0.9894921094700334","0.9035469372496066","0.8453257790368272","0.8664343786295006","0.8252212389380531","0.9818726355611601","7248"
"NR-ER","Consensus","Test","27","8","209","0","0.9887352790578597","0.9815668202764978","0.870967741935484","0.7714285714285715","1.0","0.9631336405529954","244"
"NR-ER","Consensus","Score","23","31","387","25","0.8042763157894715","0.7025019936204147","0.4509803921568628","0.42592592592592593","0.4791666666666667","0.9258373205741627","466"
"NR-ER-LBD","Consensus","Training","361","33","7737","58","0.997363951063235","0.9286640373752546","0.8880688806888067","0.916243654822335","0.8615751789976134","0.9957528957528957","8189"
"NR-ER-LBD","Consensus","Test","10","2","252","0","0.9968503937007874","0.9960629921259843","0.9090909090909091","0.8333333333333334","1.0","0.9921259842519685","264"
"NR-ER-LBD","Consensus","Score","6","5","515","13","0.8097165991902813","0.653087044534413","0.39999999999999997","0.5454545454545454","0.3157894736842105","0.9903846153846154","539"
"NR-Aromatase","Consensus","Training","312","26","6340","24","0.988939801101092","0.9622436156366412","0.9258160237388724","0.9230769230769231","0.9285714285714286","0.9959158027018536","6702"
"NR-Aromatase","Consensus","Test","18","2","174","0","0.9996843434343434","0.9943181818181819","0.9473684210526316","0.9","1.0","0.9886363636363636","194"
"NR-Aromatase","Consensus","Score","8","16","427","25","0.8125726793898365","0.6031534304672002","0.2807017543859649","0.3333333333333333","0.24242424242424243","0.963882618510158","476"
"NR-PPAR-gamma","Consensus","Training","176","6","7467","18","0.9995654459145709","0.9532068022199506","0.9361702127659575","0.967032967032967","0.9072164948453608","0.9991971095945403","7667"
"NR-PPAR-gamma","Consensus","Test","14","0","232","0","1.0","1.0","1.0","1.0","1.0","1.0","246"
"NR-PPAR-gamma","Consensus","Score","3","7","505","25","0.8284040178571415","0.5467354910714286","0.15789473684210525","0.3","0.10714285714285714","0.986328125","540"
"SR-ARE","Consensus","Training","915","64","5686","86","0.9955019762845848","0.9514777396516527","0.9242424242424242","0.9346271705822268","0.9140859140859141","0.9888695652173913","6751"
"SR-ARE","Consensus","Test","43","0","167","0","1.0","1.0","1.0","1.0","1.0","1.0","210"
"SR-ARE","Consensus","Score","42","44","365","43","0.8129440529267935","0.693269092478067","0.49122807017543857","0.4883720930232558","0.49411764705882355","0.8924205378973105","494"
