"ToxAssay","Method","Dataset","TP","FP","TN","FN","RocAUC","BA","f1","Precision","Recall","Specificity","Count"
"NR-AR","Consensus","Training","309","23","8331","49","0.9909766237830607","0.9301876597435009","0.8956521739130434","0.9307228915662651","0.8631284916201117","0.9972468278668901","8712"
"NR-AR","Consensus","Test","3","1","264","0","1.0","0.9981132075471698","0.8571428571428571","0.75","1.0","0.9962264150943396","268"
"NR-AR","Consensus","Score","3","2","515","8","0.8456128011253741","0.6344294003868471","0.37499999999999994","0.6","0.2727272727272727","0.9961315280464217","528"
"NR-AhR","Consensus","Training","870","63","6638","59","0.9953248306206848","0.9635446342616472","0.9344790547798066","0.932475884244373","0.9364908503767492","0.9905984181465453","7630"
"NR-AhR","Consensus","Test","29","6","213","0","0.9981105337742088","0.9863013698630136","0.90625","0.8285714285714286","1.0","0.9726027397260274","248"
"NR-AhR","Consensus","Score","46","37","437","23","0.915734116064332","0.7943037974683544","0.6052631578947367","0.5542168674698795","0.6666666666666666","0.9219409282700421","543"
"NR-AR-LBD","Consensus","Training","262","49","7739","11","0.9987658292743039","0.9767076144194788","0.8972602739726027","0.842443729903537","0.9597069597069597","0.993708269131998","8061"
"NR-AR-LBD","Consensus","Test","4","1","227","0","1.0","0.9978070175438596","0.888888888888889","0.8","1.0","0.9956140350877193","232"
"NR-AR-LBD","Consensus","Score","1","3","514","6","0.7833655705996126","0.5685272174633876","0.18181818181818182","0.25","0.14285714285714285","0.9941972920696325","524"
"NR-ER","Consensus","Training","746","101","6241","157","0.9812658879456129","0.9051047648383241","0.8525714285714285","0.8807556080283353","0.8261351052048727","0.9840744244717755","7245"
"NR-ER","Consensus","Test","27","8","209","0","0.9911247653183137","0.9815668202764978","0.870967741935484","0.7714285714285715","1.0","0.9631336405529954","244"
"NR-ER","Consensus","Score","21","24","394","27","0.7844896331738426","0.6900418660287082","0.45161290322580644","0.4666666666666667","0.4375","0.9425837320574163","466"
"NR-ER-LBD","Consensus","Training","386","63","7704","33","0.9975028984077732","0.9565649051291908","0.8894009216589862","0.8596881959910914","0.9212410501193318","0.9918887601390498","8186"
"NR-ER-LBD","Consensus","Test","10","4","250","0","0.9952755905511811","0.9921259842519685","0.8333333333333333","0.7142857142857143","1.0","0.984251968503937","264"
"NR-ER-LBD","Consensus","Score","6","9","511","13","0.8037449392712583","0.6492408906882591","0.35294117647058826","0.4","0.3157894736842105","0.9826923076923076","539"
"NR-Aromatase","Consensus","Training","311","10","6354","25","0.9974755694232463","0.9620119496572985","0.9467275494672756","0.9688473520249221","0.9255952380952381","0.9984286612193589","6700"
"NR-Aromatase","Consensus","Test","18","1","175","0","1.0","0.9971590909090908","0.972972972972973","0.9473684210526315","1.0","0.9943181818181818","194"
"NR-Aromatase","Consensus","Score","8","17","426","25","0.8119570422053495","0.6020247622956427","0.2758620689655172","0.32","0.24242424242424243","0.9616252821670429","476"
"NR-PPAR-gamma","Consensus","Training","190","19","7451","4","0.9997001752715329","0.9884189679680923","0.9429280397022332","0.9090909090909091","0.979381443298969","0.9974564926372155","7664"
"NR-PPAR-gamma","Consensus","Test","14","0","232","0","1.0","1.0","1.0","1.0","1.0","1.0","246"
"NR-PPAR-gamma","Consensus","Score","8","14","498","20","0.8459123883928588","0.6291852678571428","0.32","0.36363636363636365","0.2857142857142857","0.97265625","540"
"SR-ARE","Consensus","Training","921","67","5682","80","0.9955586247115202","0.9542128596746791","0.9260935143288085","0.9321862348178138","0.9200799200799201","0.9883457992694381","6750"
"SR-ARE","Consensus","Test","43","0","167","0","1.0","1.0","1.0","1.0","1.0","1.0","210"
"SR-ARE","Consensus","Score","42","48","361","43","0.8188983172731178","0.6883791169279447","0.48","0.4666666666666667","0.49411764705882355","0.882640586797066","494"
"SR-ATAD5","Consensus","Training","313","23","8160","22","0.9990349486832001","0.9657588265442918","0.9329359165424739","0.9315476190476191","0.9343283582089552","0.9971892948796285","8518"
"SR-ATAD5","Consensus","Test","23","0","226","0","1.0","1.0","1.0","1.0","1.0","1.0","249"
"SR-ATAD5","Consensus","Score","9","12","510","25","0.7772706783862956","0.6208586883029074","0.32727272727272727","0.42857142857142855","0.2647058823529412","0.9770114942528736","556"
"SR-HSE","Consensus","Training","346","34","7286","28","0.9985631994973847","0.9602444405482014","0.9177718832891247","0.9105263157894737","0.9251336898395722","0.9953551912568306","7694"
"SR-HSE","Consensus","Test","8","0","236","0","1.0","1.0","1.0","1.0","1.0","1.0","244"
"SR-HSE","Consensus","Score","5","31","497","11","0.7645596590909078","0.6268939393939394","0.1923076923076923","0.1388888888888889","0.3125","0.9412878787878788","544"
"SR-MMP","Consensus","Training","996","68","5693","78","0.9968712594835175","0.957785397670136","0.9317118802619271","0.9360902255639098","0.9273743016759777","0.9881964936642944","6835"
"SR-MMP","Consensus","Test","37","1","179","1","0.9998538011695907","0.9840643274853802","0.9736842105263158","0.9736842105263158","0.9736842105263158","0.9944444444444445","218"
"SR-MMP","Consensus","Score","37","27","403","15","0.9472271914132386","0.8243738819320214","0.6379310344827586","0.578125","0.7115384615384616","0.9372093023255814","482"
"SR-p53","Consensus","Training","501","27","7560","17","0.9991633728288533","0.9818113741601286","0.9579349904397705","0.9488636363636364","0.9671814671814671","0.99644128113879","8105"
"SR-p53","Consensus","Test","26","1","218","2","0.9973907371167645","0.9620026092628833","0.9454545454545454","0.9629629629629629","0.9285714285714286","0.9954337899543378","247"
"SR-p53","Consensus","Score","9","24","490","26","0.8177598665925515","0.6052251250694831","0.2647058823529411","0.2727272727272727","0.2571428571428571","0.953307392996109","549"
