"ToxAssay","Method","Dataset","TP","FP","TN","FN","RocAUC","BA","f1","Precision","Recall","Specificity","Count"
"NR-AR","Consensus","Training","359","130","8226","0","0.9983125564203528","0.9922211584490186","0.8466981132075473","0.7341513292433538","1.0","0.9844423168980373","8715"
"NR-AR","Consensus","Test","3","5","260","0","0.9987421383647799","0.9905660377358491","0.5454545454545454","0.375","1.0","0.9811320754716981","268"
"NR-AR","Consensus","Score","4","8","509","7","0.8085106382978734","0.6740812379110251","0.34782608695652173","0.3333333333333333","0.36363636363636365","0.9845261121856866","528"
"NR-AhR","Consensus","Training","911","178","6525","19","0.9933737742208189","0.9765073093575498","0.9024269440316989","0.8365472910927456","0.9795698924731183","0.9734447262419812","7633"
"NR-AhR","Consensus","Test","29","14","205","0","0.9977956227365768","0.9680365296803652","0.8055555555555556","0.6744186046511628","1.0","0.9360730593607306","248"
"NR-AhR","Consensus","Score","59","70","404","10","0.9068672414847516","0.8536965694368006","0.595959595959596","0.4573643410852713","0.855072463768116","0.8523206751054853","543"
"NR-AR-LBD","Consensus","Training","273","108","7683","0","0.9988227235050493","0.9930689256834809","0.8348623853211008","0.7165354330708661","1.0","0.9861378513669619","8064"
"NR-AR-LBD","Consensus","Test","4","2","226","0","1.0","0.9956140350877193","0.8","0.6666666666666666","1.0","0.9912280701754386","232"
"NR-AR-LBD","Consensus","Score","1","11","506","6","0.7725891130146445","0.560790273556231","0.10526315789473685","0.08333333333333333","0.14285714285714285","0.9787234042553191","524"
"NR-ER","Consensus","Training","892","499","5845","12","0.9894921094700334","0.9540343324889241","0.7773420479302832","0.6412652767792955","0.9867256637168141","0.9213430012610341","7248"
"NR-ER","Consensus","Test","27","22","195","0","0.9887352790578597","0.9493087557603687","0.7105263157894737","0.5510204081632653","1.0","0.8986175115207373","244"
"NR-ER","Consensus","Score","36","91","327","12","0.8042763157894715","0.7661483253588517","0.4114285714285715","0.28346456692913385","0.75","0.7822966507177034","466"
"NR-ER-LBD","Consensus","Training","418","227","7543","1","0.997363951063235","0.984199217970101","0.7857142857142857","0.648062015503876","0.9976133651551312","0.9707850707850708","8189"
"NR-ER-LBD","Consensus","Test","10","11","243","0","0.9968503937007874","0.9783464566929134","0.6451612903225806","0.47619047619047616","1.0","0.9566929133858267","264"
"NR-ER-LBD","Consensus","Score","10","33","487","9","0.8097165991902813","0.7314271255060729","0.3225806451612903","0.23255813953488372","0.5263157894736842","0.9365384615384615","539"
"NR-Aromatase","Consensus","Training","330","81","6285","6","0.988939801101092","0.9847095058570081","0.8835341365461847","0.8029197080291971","0.9821428571428571","0.9872761545711592","6702"
"NR-Aromatase","Consensus","Test","18","5","171","0","0.9996843434343434","0.9857954545454546","0.878048780487805","0.782608695652174","1.0","0.9715909090909091","194"
"NR-Aromatase","Consensus","Score","16","42","401","17","0.8125726793898365","0.6950201792188249","0.3516483516483517","0.27586206896551724","0.48484848484848486","0.9051918735891648","476"
"NR-PPAR-gamma","Consensus","Training","194","48","7425","0","0.9995654459145709","0.9967884383781613","0.8899082568807339","0.8016528925619835","1.0","0.9935768767563228","7667"
"NR-PPAR-gamma","Consensus","Test","14","6","226","0","1.0","0.9870689655172413","0.8235294117647058","0.7","1.0","0.9741379310344828","246"
"NR-PPAR-gamma","Consensus","Score","10","19","493","18","0.8284040178571415","0.6600167410714286","0.3508771929824561","0.3448275862068966","0.35714285714285715","0.962890625","540"
"SR-ARE","Consensus","Training","983","237","5513","18","0.9955019762845848","0.9704002953568172","0.885186852769023","0.8057377049180328","0.9820179820179821","0.9587826086956521","6751"
"SR-ARE","Consensus","Test","43","7","160","0","1.0","0.9790419161676647","0.924731182795699","0.86","1.0","0.9580838323353293","210"
"SR-ARE","Consensus","Score","60","103","306","25","0.8129440529267935","0.7270243060549404","0.4838709677419355","0.36809815950920244","0.7058823529411765","0.7481662591687042","494"
"SR-ATAD5","Consensus","Training","335","94","8092","0","0.9990389489153305","0.9942584901050574","0.8769633507853403","0.7808857808857809","1.0","0.9885169802101148","8521"
"SR-ATAD5","Consensus","Test","23","2","224","0","1.0","0.995575221238938","0.9583333333333334","0.92","1.0","0.9911504424778761","249"
"SR-ATAD5","Consensus","Score","14","39","483","20","0.7701149425287342","0.668526031102096","0.32183908045977005","0.2641509433962264","0.4117647058823529","0.9252873563218391","556"
"SR-HSE","Consensus","Training","374","156","7165","0","0.9983375053961683","0.9893457177981151","0.827433628318584","0.7056603773584905","1.0","0.9786914355962301","7695"
"SR-HSE","Consensus","Test","8","6","230","0","1.0","0.9872881355932204","0.7272727272727273","0.5714285714285714","1.0","0.9745762711864406","244"
"SR-HSE","Consensus","Score","9","90","438","7","0.7928503787878775","0.6960227272727273","0.1565217391304348","0.09090909090909091","0.5625","0.8295454545454546","544"
"SR-MMP","Consensus","Training","1060","179","5585","14","0.9967052126019462","0.9779548976049892","0.9165585819282318","0.8555286521388217","0.9869646182495344","0.9689451769604441","6838"
"SR-MMP","Consensus","Test","38","3","177","0","0.9998538011695907","0.9916666666666667","0.9620253164556963","0.926829268292683","1.0","0.9833333333333333","218"
"SR-MMP","Consensus","Score","47","53","377","5","0.9472719141323795","0.8902951699463327","0.6184210526315789","0.47","0.9038461538461539","0.8767441860465116","482"
"SR-p53","Consensus","Training","518","92","7498","0","0.9992772699294439","0.9939393939393939","0.9184397163120567","0.8491803278688524","1.0","0.9878787878787879","8108"
"SR-p53","Consensus","Test","28","4","215","0","0.9983692106979778","0.9908675799086758","0.9333333333333333","0.875","1.0","0.9817351598173516","247"
"SR-p53","Consensus","Score","13","59","455","22","0.815869927737632","0.6283212896053363","0.24299065420560745","0.18055555555555555","0.37142857142857144","0.8852140077821011","549"
