"ToxAssay","Method","Dataset","TP","FP","TN","FN","RocAUC","BA","f1","Precision","Recall","Specificity","Count"
"NR-AR","Consensus","Training","359","130","8226","0","0.9987915877170641","0.9922211584490186","0.8466981132075473","0.7341513292433538","1.0","0.9844423168980373","8715"
"NR-AR","Consensus","Test","3","5","260","0","1.0","0.9905660377358491","0.5454545454545454","0.375","1.0","0.9811320754716981","268"
"NR-AR","Consensus","Score","5","15","502","6","0.8204677334271129","0.7127659574468085","0.3225806451612903","0.25","0.45454545454545453","0.9709864603481625","528"
"NR-AhR","Consensus","Training","929","154","6549","1","0.9990999857229711","0.9879749718870863","0.9230004967709885","0.8578024007386889","0.9989247311827957","0.977025212591377","7633"
"NR-AhR","Consensus","Test","29","5","214","0","1.0","0.9885844748858448","0.9206349206349206","0.8529411764705882","1.0","0.9771689497716894","248"
"NR-AhR","Consensus","Score","54","71","403","15","0.9101693878799001","0.8164098330581545","0.5567010309278351","0.432","0.782608695652174","0.8502109704641351","543"
"NR-AR-LBD","Consensus","Training","273","73","7718","0","0.9996558440917316","0.9953151071749454","0.8820678513731826","0.7890173410404624","1.0","0.9906302143498908","8064"
"NR-AR-LBD","Consensus","Test","4","0","228","0","1.0","1.0","1.0","1.0","1.0","1.0","232"
"NR-AR-LBD","Consensus","Score","1","6","511","6","0.7275490466979833","0.5656258634982039","0.14285714285714285","0.14285714285714285","0.14285714285714285","0.988394584139265","524"
"NR-ER","Consensus","Training","900","353","5991","4","0.9943069508922092","0.9699660469372495","0.8344923504867873","0.7182761372705507","0.995575221238938","0.9443568726355611","7248"
"NR-ER","Consensus","Test","27","13","204","0","0.9991466120498379","0.9700460829493087","0.8059701492537313","0.675","1.0","0.9400921658986175","244"
"NR-ER","Consensus","Score","36","109","309","12","0.7961523125996792","0.7446172248803828","0.3730569948186528","0.2482758620689655","0.75","0.7392344497607656","466"
"NR-ER-LBD","Consensus","Training","418","130","7640","1","0.9990038794334737","0.9904411742120572","0.8645294725956567","0.7627737226277372","0.9976133651551312","0.9832689832689833","8189"
"NR-ER-LBD","Consensus","Test","10","1","253","0","1.0","0.9980314960629921","0.9523809523809523","0.9090909090909091","1.0","0.9960629921259843","264"
"NR-ER-LBD","Consensus","Score","8","13","507","11","0.7926113360323873","0.6980263157894737","0.4","0.38095238095238093","0.42105263157894735","0.975","539"
"NR-Aromatase","Consensus","Training","336","72","6294","0","0.9994913453914396","0.9943449575871819","0.9032258064516129","0.8235294117647058","1.0","0.9886899151743638","6702"
"NR-Aromatase","Consensus","Test","18","3","173","0","1.0","0.9914772727272727","0.923076923076923","0.8571428571428571","1.0","0.9829545454545454","194"
"NR-Aromatase","Consensus","Score","19","38","405","14","0.8411656064026275","0.7449893973596006","0.4222222222222222","0.3333333333333333","0.5757575757575758","0.9142212189616253","476"
"NR-PPAR-gamma","Consensus","Training","194","30","7443","0","0.9998351453548927","0.9979927739863509","0.9282296650717704","0.8660714285714286","1.0","0.9959855479727018","7667"
"NR-PPAR-gamma","Consensus","Test","14","1","231","0","1.0","0.9978448275862069","0.9655172413793104","0.9333333333333333","1.0","0.9956896551724138","246"
"NR-PPAR-gamma","Consensus","Score","7","9","503","21","0.8064313616071423","0.6162109375","0.3181818181818182","0.4375","0.25","0.982421875","540"
"SR-ARE","Consensus","Training","990","142","5608","11","0.9985226078269557","0.982157668418538","0.9282700421940928","0.8745583038869258","0.989010989010989","0.975304347826087","6751"
"SR-ARE","Consensus","Test","43","4","163","0","1.0","0.9880239520958084","0.9555555555555556","0.9148936170212766","1.0","0.9760479041916168","210"
"SR-ARE","Consensus","Score","61","94","315","24","0.8146123975262445","0.7439091039838919","0.5083333333333332","0.3935483870967742","0.7176470588235294","0.7701711491442543","494"
"SR-ATAD5","Consensus","Training","335","64","8122","0","0.9996192990580933","0.9960908868800391","0.9128065395095368","0.8395989974937343","1.0","0.9921817737600782","8521"
"SR-ATAD5","Consensus","Test","23","0","226","0","1.0","1.0","1.0","1.0","1.0","1.0","249"
"SR-ATAD5","Consensus","Score","11","17","505","23","0.8168807752986222","0.6454811809781383","0.3548387096774193","0.39285714285714285","0.3235294117647059","0.9674329501915708","556"
"SR-HSE","Consensus","Training","374","86","7235","0","0.9992279188065685","0.994126485452807","0.8968824940047961","0.8130434782608695","1.0","0.988252970905614","7695"
"SR-HSE","Consensus","Test","8","2","234","0","1.0","0.9957627118644068","0.888888888888889","0.8","1.0","0.9915254237288136","244"
"SR-HSE","Consensus","Score","6","38","490","10","0.7858664772727258","0.6515151515151515","0.19999999999999998","0.13636363636363635","0.375","0.928030303030303","544"
"SR-MMP","Consensus","Training","1067","196","5568","7","0.9971886925461706","0.9797390726748055","0.9131364997860505","0.8448139350752177","0.9934823091247672","0.9659958362248439","6838"
"SR-MMP","Consensus","Test","38","3","177","0","0.9992690058479532","0.9916666666666667","0.9620253164556963","0.926829268292683","1.0","0.9833333333333333","218"
"SR-MMP","Consensus","Score","49","49","381","3","0.9503577817531321","0.9141771019677996","0.6533333333333333","0.5","0.9423076923076923","0.8860465116279069","482"
"SR-p53","Consensus","Training","518","38","7552","0","0.9997963943616118","0.9974967061923583","0.9646182495344506","0.9316546762589928","1.0","0.9949934123847167","8108"
"SR-p53","Consensus","Test","28","0","219","0","1.0","1.0","1.0","1.0","1.0","1.0","247"
"SR-p53","Consensus","Score","10","41","473","25","0.8244302390216788","0.6029738743746526","0.23255813953488372","0.19607843137254902","0.2857142857142857","0.9202334630350194","549"
