"ToxAssay","Method","Dataset","TP","FP","TN","FN","RocAUC","BA","f1","Precision","Recall","Specificity","Count"
"NR-AR","Consensus","Training","308","14","8342","51","0.9988919276059369","0.9281316379336784","0.9045521292217327","0.9565217391304348","0.8579387186629527","0.998324557204404","8715"
"NR-AR","Consensus","Test","3","0","265","0","1.0","1.0","1.0","1.0","1.0","1.0","268"
"NR-AR","Consensus","Score","3","1","516","8","0.8157200633022693","0.6353965183752417","0.39999999999999997","0.75","0.2727272727272727","0.9980657640232108","528"
"NR-AhR","Consensus","Training","886","31","6672","44","0.9991163481605894","0.9740316885875206","0.9593936112615051","0.9661941112322792","0.9526881720430107","0.9953752051320305","7633"
"NR-AhR","Consensus","Test","29","0","219","0","1.0","1.0","1.0","1.0","1.0","1.0","248"
"NR-AhR","Consensus","Score","39","22","452","30","0.9112089524857829","0.7594019445973216","0.6000000000000001","0.639344262295082","0.5652173913043478","0.9535864978902954","543"
"NR-AR-LBD","Consensus","Training","259","5","7786","14","0.9997216662599796","0.9740380912887652","0.9646182495344505","0.9810606060606061","0.9487179487179487","0.9993582338595816","8064"
"NR-AR-LBD","Consensus","Test","4","0","228","0","1.0","1.0","1.0","1.0","1.0","1.0","232"
"NR-AR-LBD","Consensus","Score","0","2","515","7","0.737496546007184","0.49806576402321084","0.0","0.0","0.0","0.9961315280464217","524"
"NR-ER","Consensus","Training","750","53","6291","154","0.9942621381501856","0.9106458335658248","0.8787346221441124","0.933997509339975","0.8296460176991151","0.9916456494325346","7248"
"NR-ER","Consensus","Test","27","2","215","0","0.9989759344598054","0.9953917050691244","0.9642857142857143","0.9310344827586207","1.0","0.9907834101382489","244"
"NR-ER","Consensus","Score","22","18","400","26","0.7957037480063778","0.7076355661881978","0.5","0.55","0.4583333333333333","0.9569377990430622","466"
"NR-ER-LBD","Consensus","Training","378","17","7753","41","0.9990573253103087","0.9499800345862398","0.9287469287469287","0.9569620253164557","0.9021479713603818","0.9978120978120978","8189"
"NR-ER-LBD","Consensus","Test","10","0","254","0","1.0","1.0","1.0","1.0","1.0","1.0","264"
"NR-ER-LBD","Consensus","Score","5","4","516","14","0.7921052631578939","0.6277327935222672","0.35714285714285715","0.5555555555555556","0.2631578947368421","0.9923076923076923","539"
"NR-Aromatase","Consensus","Training","312","6","6360","24","0.9994974230659905","0.9638144607513128","0.9541284403669724","0.9811320754716981","0.9285714285714286","0.9990574929311969","6702"
"NR-Aromatase","Consensus","Test","18","1","175","0","1.0","0.9971590909090908","0.972972972972973","0.9473684210526315","1.0","0.9943181818181818","194"
"NR-Aromatase","Consensus","Score","7","9","434","26","0.8379506122169788","0.595902592516588","0.2857142857142857","0.4375","0.21212121212121213","0.9796839729119639","476"
"NR-PPAR-gamma","Consensus","Training","185","5","7468","9","0.9998123829980369","0.9764695860423986","0.9635416666666667","0.9736842105263158","0.9536082474226805","0.9993309246621169","7667"
"NR-PPAR-gamma","Consensus","Test","14","0","232","0","1.0","1.0","1.0","1.0","1.0","1.0","246"
"NR-PPAR-gamma","Consensus","Score","4","5","507","24","0.806291852678571","0.5665457589285714","0.21621621621621623","0.4444444444444444","0.14285714285714285","0.990234375","540"
"SR-ARE","Consensus","Training","939","26","5724","62","0.9984795204795205","0.9667700994657517","0.9552390640895219","0.9730569948186528","0.938061938061938","0.9954782608695653","6751"
"SR-ARE","Consensus","Test","43","0","167","0","1.0","1.0","1.0","1.0","1.0","1.0","210"
"SR-ARE","Consensus","Score","38","37","372","47","0.817632676542497","0.678297137926075","0.47500000000000003","0.5066666666666667","0.4470588235294118","0.9095354523227384","494"
"SR-ATAD5","Consensus","Training","316","6","8180","19","0.9996437310150931","0.9712753116897798","0.9619482496194826","0.9813664596273292","0.9432835820895522","0.9992670412900073","8521"
"SR-ATAD5","Consensus","Test","23","0","226","0","1.0","1.0","1.0","1.0","1.0","1.0","249"
"SR-ATAD5","Consensus","Score","6","2","520","28","0.8146833446022057","0.5863195853053865","0.2857142857142857","0.75","0.17647058823529413","0.9961685823754789","556"
"SR-HSE","Consensus","Training","334","12","7309","40","0.9992202491258391","0.9457045040017472","0.9277777777777777","0.9653179190751445","0.893048128342246","0.9983608796612484","7695"
"SR-HSE","Consensus","Test","8","0","236","0","1.0","1.0","1.0","1.0","1.0","1.0","244"
"SR-HSE","Consensus","Score","1","10","518","15","0.7858664772727258","0.521780303030303","0.07407407407407407","0.09090909090909091","0.0625","0.9810606060606061","544"
"SR-MMP","Consensus","Training","1018","87","5677","56","0.9972230999060505","0.9663823940285623","0.9343735658558971","0.9212669683257918","0.9478584729981379","0.9849063150589868","6838"
"SR-MMP","Consensus","Test","38","1","179","0","0.9991228070175439","0.9972222222222222","0.9870129870129869","0.9743589743589743","1.0","0.9944444444444445","218"
"SR-MMP","Consensus","Score","41","28","402","11","0.951207513416817","0.8616726296958854","0.6776859504132232","0.5942028985507246","0.7884615384615384","0.9348837209302325","482"
"SR-p53","Consensus","Training","506","9","7581","12","0.999795885665451","0.9878241030414944","0.9796708615682478","0.9825242718446602","0.9768339768339769","0.9988142292490119","8108"
"SR-p53","Consensus","Test","28","0","219","0","1.0","1.0","1.0","1.0","1.0","1.0","247"
"SR-p53","Consensus","Score","7","14","500","28","0.8242634797109506","0.5863813229571985","0.25","0.3333333333333333","0.2","0.9727626459143969","549"
