"ToxAssay","Method","Dataset","TP","FP","TN","FN","RocAUC","BA","f1","Precision","Recall","Specificity","Count"
"NR-AR","Weka RF classification","Training","215","142","8214","144","0.8403827383389118","0.7909460084725535","0.600558659217877","0.6022408963585434","0.5988857938718662","0.9830062230732408","8715"
"NR-AR","Weka RF classification","Test","3","2","263","0","1.0","0.9962264150943396","0.7499999999999999","0.6","1.0","0.9924528301886792","268"
"NR-AR","Weka RF classification","Score","2","4","513","9","0.7497802004571809","0.5870406189555126","0.23529411764705885","0.3333333333333333","0.18181818181818182","0.9922630560928434","528"
"NR-AR","Weka RF on folded fp classification","Training","221","289","8067","138","0.8247925531134658","0.7905064797566774","0.5086306098964326","0.43333333333333335","0.6155988857938719","0.965414073719483","8715"
"NR-AR","Weka RF on folded fp classification","Test","3","8","257","0","0.9949685534591194","0.9849056603773585","0.42857142857142855","0.2727272727272727","1.0","0.969811320754717","268"
"NR-AR","Weka RF on folded fp classification","Score","5","26","491","6","0.7714084754703678","0.7021276595744681","0.23809523809523805","0.16129032258064516","0.45454545454545453","0.9497098646034816","528"
"NR-AR","Smile SVC Tanimoto classification","Training","221","473","7883","138","0.8171523872892893","0.7794964270999039","0.4197530864197531","0.3184438040345821","0.6155988857938719","0.9433939684059358","8715"
"NR-AR","Smile SVC Tanimoto classification","Test","3","8","257","0","0.9974842767295596","0.9849056603773585","0.42857142857142855","0.2727272727272727","1.0","0.969811320754717","268"
"NR-AR","Smile SVC Tanimoto classification","Score","5","19","498","6","0.7817830138913279","0.7088974854932302","0.28571428571428575","0.20833333333333334","0.45454545454545453","0.9632495164410058","528"
"NR-AR","Smile SVC RBF classification","Training","247","1302","7054","112","0.8153474360324819","0.7661030520660683","0.2589098532494759","0.1594577146546159","0.6880222841225627","0.8441838200095739","8715"
"NR-AR","Smile SVC RBF classification","Test","3","34","231","0","0.9748427672955974","0.9358490566037736","0.15","0.08108108108108109","1.0","0.8716981132075472","268"
"NR-AR","Smile SVC RBF classification","Score","5","72","445","6","0.7562862669245609","0.6576402321083172","0.11363636363636363","0.06493506493506493","0.45454545454545453","0.8607350096711799","528"
"NR-AR","Smile SVC Poly classification","Training","244","1137","7219","115","0.8097912396943251","0.7717979241310432","0.2804597701149425","0.17668356263577117","0.6796657381615598","0.8639301101005266","8715"
"NR-AR","Smile SVC Poly classification","Test","3","10","255","0","0.9849056603773584","0.9811320754716981","0.375","0.23076923076923078","1.0","0.9622641509433962","268"
"NR-AR","Smile SVC Poly classification","Score","7","88","429","4","0.6884121681026862","0.7330754352030948","0.1320754716981132","0.07368421052631578","0.6363636363636364","0.8297872340425532","528"
"NR-AR","Smile Bernoulli NB classification","Training","231","695","7661","128","0.8007396483236998","0.7801401358222071","0.35953307392996114","0.24946004319654427","0.6434540389972145","0.9168262326471996","8715"
"NR-AR","Smile Bernoulli NB classification","Test","3","46","219","0","0.9333333333333332","0.9132075471698113","0.11538461538461538","0.061224489795918366","1.0","0.8264150943396227","268"
"NR-AR","Smile Bernoulli NB classification","Score","3","20","497","8","0.8061368032354496","0.6170212765957447","0.1764705882352941","0.13043478260869565","0.2727272727272727","0.9613152804642167","528"
"NR-AhR","Weka RF classification","Training","545","228","6475","385","0.9199954602256453","0.776003442528542","0.6400469759248385","0.705045278137128","0.5860215053763441","0.9659853796807399","7633"
"NR-AhR","Weka RF classification","Test","29","4","215","0","1.0","0.9908675799086758","0.9354838709677419","0.8787878787878788","1.0","0.9817351598173516","248"
"NR-AhR","Weka RF classification","Score","38","38","436","31","0.8911208952485795","0.7352779306549257","0.5241379310344828","0.5","0.5507246376811594","0.919831223628692","543"
"NR-AhR","Smile SVC Tanimoto classification","Training","765","839","5864","165","0.9077589235441034","0.8487064049318311","0.6037884767166536","0.4769326683291771","0.8225806451612904","0.874832164702372","7633"
