"ToxAssay","Method","Dataset","TP","FP","TN","FN","RocAUC","BA","f1","Precision","Recall","Specificity","Count"
"NR-AR","Weka RF classification","Training","202","64","8292","157","0.8403827383389118","0.7775074638209696","0.6464000000000001","0.7593984962406015","0.5626740947075209","0.9923408329344183","8715"
"NR-AR","Weka RF classification","Test","3","0","265","0","1.0","1.0","1.0","1.0","1.0","1.0","268"
"NR-AR","Weka RF classification","Score","2","2","515","9","0.7497802004571809","0.5889748549323017","0.26666666666666666","0.5","0.18181818181818182","0.9961315280464217","528"
"NR-AR","Weka RF on folded fp classification","Training","210","102","8254","149","0.8247925531134658","0.7863757098797122","0.6259314456035768","0.6730769230769231","0.584958217270195","0.9877932024892293","8715"
"NR-AR","Weka RF on folded fp classification","Test","2","1","264","1","0.9949685534591194","0.8314465408805032","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.9962264150943396","268"
"NR-AR","Weka RF on folded fp classification","Score","4","4","513","7","0.7714084754703678","0.6779497098646035","0.4210526315789474","0.5","0.36363636363636365","0.9922630560928434","528"
"NR-AR","Smile SVC Tanimoto classification","Training","207","92","8264","152","0.8171523872892893","0.7827958093262093","0.6291793313069909","0.6923076923076923","0.5766016713091922","0.9889899473432264","8715"
"NR-AR","Smile SVC Tanimoto classification","Test","3","5","260","0","0.9974842767295596","0.9905660377358491","0.5454545454545454","0.375","1.0","0.9811320754716981","268"
"NR-AR","Smile SVC Tanimoto classification","Score","3","6","511","8","0.7817830138913279","0.6305609284332688","0.3","0.3333333333333333","0.2727272727272727","0.988394584139265","528"
"NR-AR","Smile SVC RBF classification","Training","204","123","8233","155","0.8153474360324819","0.7767625818220123","0.5947521865889213","0.6238532110091743","0.5682451253481894","0.9852800382958353","8715"
"NR-AR","Smile SVC RBF classification","Test","2","6","259","1","0.9748427672955974","0.8220125786163521","0.36363636363636365","0.25","0.6666666666666666","0.9773584905660377","268"
"NR-AR","Smile SVC RBF classification","Score","2","9","508","9","0.7562862669245609","0.5822050290135397","0.18181818181818182","0.18181818181818182","0.18181818181818182","0.9825918762088974","528"
"NR-AR","Smile SVC Poly classification","Training","219","265","8091","140","0.8097912396943251","0.7891570582611398","0.5195729537366548","0.4524793388429752","0.6100278551532033","0.9682862613690761","8715"
"NR-AR","Smile SVC Poly classification","Test","2","4","261","1","0.9849056603773584","0.8257861635220125","0.4444444444444444","0.3333333333333333","0.6666666666666666","0.9849056603773585","268"
"NR-AR","Smile SVC Poly classification","Score","2","16","501","9","0.6884121681026862","0.5754352030947776","0.13793103448275862","0.1111111111111111","0.18181818181818182","0.9690522243713733","528"
"NR-AR","Smile Bernoulli NB classification","Training","213","238","8118","146","0.8007396483236998","0.7824161178530331","0.525925925925926","0.4722838137472284","0.5933147632311978","0.9715174724748683","8715"
"NR-AR","Smile Bernoulli NB classification","Test","2","10","255","1","0.9333333333333332","0.8144654088050314","0.26666666666666666","0.16666666666666666","0.6666666666666666","0.9622641509433962","268"
"NR-AR","Smile Bernoulli NB classification","Score","3","7","510","8","0.8061368032354496","0.6295938104448743","0.28571428571428564","0.3","0.2727272727272727","0.9864603481624759","528"
"NR-AhR","Weka RF classification","Training","504","142","6561","426","0.9199954602256453","0.7603754698185213","0.6395939086294417","0.7801857585139319","0.5419354838709678","0.9788154557660749","7633"
"NR-AhR","Weka RF classification","Test","29","1","218","0","1.0","0.9977168949771689","0.983050847457627","0.9666666666666667","1.0","0.9954337899543378","248"
"NR-AhR","Weka RF classification","Score","29","19","455","40","0.8911208952485795","0.6901027334434049","0.4957264957264957","0.6041666666666666","0.42028985507246375","0.959915611814346","543"
"NR-AhR","Smile SVC Tanimoto classification","Training","675","430","6273","255","0.9077589235441034","0.8308280355931144","0.6633906633906634","0.6108597285067874","0.7258064516129032","0.9358496195733254","7633"
"NR-AhR","Smile SVC Tanimoto classification","Test","29","11","208","0","0.995118878916706","0.9748858447488584","0.8405797101449275","0.725","1.0","0.9497716894977168","248"
"NR-AhR","Smile SVC Tanimoto classification","Score","48","48","426","21","0.9140677551519593","0.7971931755641166","0.5818181818181818","0.5","0.6956521739130435","0.8987341772151899","543"
"NR-AhR","Smile SVC Poly classification","Training","675","600","6103","255","0.9009269641742649","0.8181471464390042","0.6122448979591837","0.5294117647058824","0.7258064516129032","0.9104878412651052","7633"
"NR-AhR","Smile SVC Poly classification","Test","29","10","209","0","0.9908675799086758","0.9771689497716896","0.8529411764705882","0.7435897435897436","1.0","0.954337899543379","248"
"NR-AhR","Smile SVC Poly classification","Score","52","75","399","17","0.8877728857090464","0.7976976701522657","0.5306122448979592","0.4094488188976378","0.7536231884057971","0.8417721518987342","543"
"NR-AhR","Weka RF on folded fp classification","Training","481","182","6521","449","0.8986814602352616","0.7450261397961754","0.6038920276208412","0.7254901960784313","0.5172043010752688","0.9728479785170819","7633"
"NR-AhR","Weka RF on folded fp classification","Test","27","4","215","2","0.9971658006613131","0.9563848212879862","0.9","0.8709677419354839","0.9310344827586207","0.9817351598173516","248"
"NR-AhR","Weka RF on folded fp classification","Score","27","21","453","42","0.8760624961780794","0.6735002751788662","0.46153846153846156","0.5625","0.391304347826087","0.9556962025316456","543"
"NR-AhR","Smile Bernoulli NB classification","Training","415","225","6478","515","0.8923533676944314","0.7063347498070996","0.5286624203821656","0.6484375","0.44623655913978494","0.9664329404744144","7633"
