"ToxAssay","Method","Dataset","TP","FP","TN","FN","RocAUC","BA","f1","Precision","Recall","Specificity","Count"
"NR-AR","Weka RF on folded fp classification","Training","213","95","8259","145","0.8323174727792334","0.791800134549","0.6396396396396397","0.6915584415584416","0.5949720670391061","0.9886282020588939","8712"
"NR-AR","Weka RF on folded fp classification","Test","2","1","264","1","0.9849056603773585","0.8314465408805032","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.9962264150943396","268"
"NR-AR","Weka RF on folded fp classification","Score","4","1","516","7","0.7879374010902019","0.6808510638297872","0.5000000000000001","0.8","0.36363636363636365","0.9980657640232108","528"
"NR-AR","Weka RF classification","Training","204","64","8290","154","0.8293875880553706","0.781085700758209","0.6517571884984026","0.7611940298507462","0.5698324022346368","0.9923389992817812","8712"
"NR-AR","Weka RF classification","Test","3","0","265","0","1.0","1.0","1.0","1.0","1.0","1.0","268"
"NR-AR","Weka RF classification","Score","2","2","515","9","0.6880604888341818","0.5889748549323017","0.26666666666666666","0.5","0.18181818181818182","0.9961315280464217","528"
"NR-AR","Weka RF classification on Rdkit descriptors","Training","206","69","8285","152","0.828735406582733","0.7835797390070391","0.65086887835703","0.7490909090909091","0.5754189944134078","0.9917404836006704","8712"
"NR-AR","Weka RF classification on Rdkit descriptors","Test","3","0","265","0","1.0","1.0","1.0","1.0","1.0","1.0","268"
"NR-AR","Weka RF classification on Rdkit descriptors","Score","2","2","515","9","0.6928081589590295","0.5889748549323017","0.26666666666666666","0.5","0.18181818181818182","0.9961315280464217","528"
"NR-AR","Smile SVC Tanimoto classification","Training","205","94","8260","153","0.8189187463136096","0.7806868017595692","0.624048706240487","0.68561872909699","0.5726256983240223","0.9887479051951161","8712"
"NR-AR","Smile SVC Tanimoto classification","Test","2","1","264","1","0.9987421383647799","0.8314465408805032","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.9962264150943396","268"
"NR-AR","Smile SVC Tanimoto classification","Score","2","2","515","9","0.8074556004923473","0.5889748549323017","0.26666666666666666","0.5","0.18181818181818182","0.9961315280464217","528"
"NR-AR","Smile SVC RBF classification","Training","200","113","8241","158","0.8111925441664471","0.772566381741995","0.5961251862891207","0.6389776357827476","0.5586592178770949","0.9864735456068949","8712"
"NR-AR","Smile SVC RBF classification","Test","2","5","260","1","0.9798742138364779","0.8238993710691824","0.4","0.2857142857142857","0.6666666666666666","0.9811320754716981","268"
"NR-AR","Smile SVC RBF classification","Score","3","9","508","8","0.7675400035167894","0.6276595744680851","0.2608695652173913","0.25","0.2727272727272727","0.9825918762088974","528"
