"ToxField","RocAUC","BA"
"NR-AR","0.7497802004571809","0.5889748549323017"
"NR-AhR","0.8911208952485795","0.6901027334434049"
"NR-AR-LBD","0.7796352583586628","0.4990328820116054"
"NR-ER","0.8158891547049427","0.7182017543859649"
"NR-ER-LBD","0.7768218623481785","0.6023785425101215"
"NR-Aromatase","0.8019016348587457","0.5678568985566729"
"NR-PPAR-gamma","0.7656947544642858","0.5357142857142857"
"SR-ARE","0.7670070473177019","0.5902919603049044"
"SR-ATAD5","0.7960051836826676","0.5265382014874915"
"SR-HSE","0.7810132575757566","0.5246212121212122"
"SR-MMP","0.9471824686940976","0.7483005366726296"
"SR-p53","0.8112006670372429","0.5227348526959422"
