"ToxField","RocAUC","BA"
"NR-AR","0.7879374010902019","0.6808510638297872"
"NR-AhR","0.9004769767015237","0.7138139790864062"
"NR-AR-LBD","0.686653771760156","0.5704614534401768"
"NR-ER","0.7735745614035077","0.7004585326953748"
"NR-ER-LBD","0.7921052631578951","0.601417004048583"
"NR-Aromatase","0.7930432998153092","0.5246596894452424"
"NR-PPAR-gamma","0.8370186941964296","0.5714285714285714"
"SR-ARE","0.7765856464835318","0.6103840069034949"
"SR-ATAD5","0.7204192021636228","0.6141537074599955"
"SR-HSE","0.7687026515151504","0.5179924242424243"
"SR-MMP","0.9462432915921292","0.7602415026833631"
"SR-p53","0.83715953307393","0.5237076153418566"
