"ToxAssay","Method","Dataset","TP","FP","TN","FN","RocAUC","BA","f1","Precision","Recall","Specificity","Count"
"NR-AR","Weka RF classification","Training","214","148","8208","145","0.8431727539532584","0.7891942273561873","0.593619972260749","0.5911602209944752","0.596100278551532","0.9822881761608425","8715"
"NR-AR","Weka RF classification","Test","3","1","264","0","1.0","0.9981132075471698","0.8571428571428571","0.75","1.0","0.9962264150943396","268"
"NR-AR","Weka RF classification","Score","3","5","512","8","0.7514506769825919","0.6315280464216635","0.3157894736842105","0.375","0.2727272727272727","0.9903288201160542","528"
"NR-AR","Weka RF on folded fp classification","Training","223","373","7983","136","0.8359704500693805","0.7882656666902237","0.4670157068062827","0.37416107382550334","0.6211699164345403","0.9553614169459071","8715"
"NR-AR","Weka RF on folded fp classification","Test","3","14","251","0","0.9836477987421384","0.9735849056603774","0.3","0.17647058823529413","1.0","0.9471698113207547","268"
"NR-AR","Weka RF on folded fp classification","Score","6","33","484","5","0.8086864779321217","0.7408123791102514","0.24000000000000002","0.15384615384615385","0.5454545454545454","0.9361702127659575","528"
"NR-AR","Smile SVC RBF classification","Training","232","759","7597","127","0.8190810132928654","0.7777033099495834","0.34370370370370373","0.2341069626639758","0.6462395543175488","0.909167065581618","8715"
"NR-AR","Smile SVC RBF classification","Test","3","24","241","0","0.9924528301886792","0.9547169811320755","0.19999999999999998","0.1111111111111111","1.0","0.909433962264151","268"
"NR-AR","Smile SVC RBF classification","Score","5","62","455","6","0.7112713205556486","0.6673114119922631","0.1282051282051282","0.07462686567164178","0.45454545454545453","0.8800773694390716","528"
"NR-AR","Smile SVC Tanimoto classification","Training","213","199","8157","146","0.8140948541971494","0.7847497703183275","0.5525291828793775","0.5169902912621359","0.5933147632311978","0.9761847774054572","8715"
"NR-AR","Smile SVC Tanimoto classification","Test","3","11","254","0","0.9987421383647799","0.9792452830188679","0.35294117647058826","0.21428571428571427","1.0","0.9584905660377359","268"
"NR-AR","Smile SVC Tanimoto classification","Score","4","49","468","7","0.7837172498681199","0.6344294003868471","0.125","0.07547169811320754","0.36363636363636365","0.9052224371373307","528"
"NR-AR","Smile SVC Poly classification","Training","273","2380","5976","86","0.8124489133289968","0.7378102035999685","0.18127490039840635","0.10290237467018469","0.7604456824512534","0.7151747247486836","8715"
"NR-AR","Smile SVC Poly classification","Test","3","3","262","0","1.0","0.9943396226415094","0.6666666666666666","0.5","1.0","0.9886792452830189","268"
"NR-AR","Smile SVC Poly classification","Score","9","191","326","2","0.8039388078072772","0.7243713733075435","0.08530805687203791","0.045","0.8181818181818182","0.6305609284332688","528"
"NR-AR","Smile Bernoulli NB classification","Training","219","464","7892","140","0.8029129569798541","0.7772494469638683","0.4203454894433781","0.3206442166910688","0.6100278551532033","0.9444710387745333","8715"
"NR-AR","Smile Bernoulli NB classification","Test","2","29","236","1","0.8314465408805031","0.7786163522012579","0.1176470588235294","0.06451612903225806","0.6666666666666666","0.8905660377358491","268"
"NR-AR","Smile Bernoulli NB classification","Score","3","13","504","8","0.7718480745560048","0.6237911025145068","0.2222222222222222","0.1875","0.2727272727272727","0.9748549323017408","528"
"NR-AhR","Weka RF classification","Training","566","248","6455","364","0.9221403030900941","0.7858018957969389","0.6490825688073395","0.6953316953316954","0.6086021505376344","0.9630016410562434","7633"
"NR-AhR","Weka RF classification","Test","29","0","219","0","1.0","1.0","1.0","1.0","1.0","1.0","248"
"NR-AhR","Weka RF classification","Score","41","34","440","28","0.8879104751421757","0.7612364703724087","0.5694444444444444","0.5466666666666666","0.5942028985507246","0.9282700421940928","543"
"NR-AhR","Weka RF on folded fp classification","Training","625","369","6334","305","0.9157297566969772","0.8084965165653639","0.6496881496881497","0.6287726358148893","0.6720430107526881","0.9449500223780397","7633"
"NR-AhR","Weka RF on folded fp classification","Test","29","7","212","0","1.0","0.9840182648401826","0.8923076923076924","0.8055555555555556","1.0","0.9680365296803652","248"
"NR-AhR","Weka RF on folded fp classification","Score","48","55","419","21","0.8961811288448643","0.7898092093193909","0.5581395348837209","0.46601941747572817","0.6956521739130435","0.8839662447257384","543"
"NR-AhR","Smile SVC Tanimoto classification","Training","755","758","5945","175","0.911813760168369","0.849372131560415","0.6180925092099877","0.4990085922009253","0.8118279569892473","0.8869163061315829","7633"
"NR-AhR","Smile SVC Tanimoto classification","Test","29","13","206","0","1.0","0.9703196347031964","0.8169014084507042","0.6904761904761905","1.0","0.9406392694063926","248"
"NR-AhR","Smile SVC Tanimoto classification","Score","62","122","352","7","0.915565951201614","0.8205833791964777","0.4901185770750988","0.33695652173913043","0.8985507246376812","0.7426160337552743","543"
"NR-AhR","Smile SVC Poly classification","Training","835","1855","4848","95","0.9034543191220762","0.8105538524717708","0.46132596685082866","0.3104089219330855","0.8978494623655914","0.7232582425779501","7633"
"NR-AhR","Smile SVC Poly classification","Test","29","8","211","0","1.0","0.9817351598173516","0.8787878787878788","0.7837837837837838","1.0","0.9634703196347032","248"
