"ToxAssay","Method","Dataset","TP","FP","TN","FN","RocAUC","BA","f1","Precision","Recall","Specificity","Count"
"NR-AR","Weka RF classification","Training","206","68","8288","153","0.8431727539532584","0.7828391454908388","0.65086887835703","0.7518248175182481","0.5738161559888579","0.9918621349928195","8715"
"NR-AR","Weka RF classification","Test","3","0","265","0","1.0","1.0","1.0","1.0","1.0","1.0","268"
"NR-AR","Weka RF classification","Score","2","1","516","9","0.7514506769825919","0.5899419729206963","0.28571428571428575","0.6666666666666666","0.18181818181818182","0.9980657640232108","528"
"NR-AR","Weka RF on folded fp classification","Training","209","113","8243","150","0.8359704500693805","0.7843247425498465","0.6138032305433186","0.6490683229813664","0.5821727019498607","0.9864767831498324","8715"
"NR-AR","Weka RF on folded fp classification","Test","2","1","264","1","0.9836477987421384","0.8314465408805032","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.9962264150943396","268"
"NR-AR","Weka RF on folded fp classification","Score","3","4","513","8","0.8086864779321217","0.632495164410058","0.33333333333333326","0.42857142857142855","0.2727272727272727","0.9922630560928434","528"
"NR-AR","Smile SVC RBF classification","Training","201","80","8276","158","0.8165558483154336","0.7751573102776048","0.6281249999999999","0.7153024911032029","0.5598885793871866","0.990426041168023","8715"
"NR-AR","Smile SVC RBF classification","Test","2","1","264","1","0.9949685534591194","0.8314465408805032","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.9962264150943396","268"
"NR-AR","Smile SVC RBF classification","Score","2","3","514","9","0.6850712150518684","0.5880077369439072","0.25000000000000006","0.4","0.18181818181818182","0.9941972920696325","528"
"NR-AR","Smile SVC Tanimoto classification","Training","203","71","8285","156","0.8140948541971494","0.7784813607822378","0.6413902053712481","0.7408759124087592","0.5654596100278552","0.9915031115366204","8715"
"NR-AR","Smile SVC Tanimoto classification","Test","3","0","265","0","1.0","1.0","1.0","1.0","1.0","1.0","268"
"NR-AR","Smile SVC Tanimoto classification","Score","1","2","515","10","0.7782662212062584","0.5435203094777563","0.14285714285714288","0.3333333333333333","0.09090909090909091","0.9961315280464217","528"
"NR-AR","Smile SVC Poly classification","Training","224","602","7754","135","0.812135726200794","0.7759556957721239","0.3780590717299578","0.2711864406779661","0.6239554317548747","0.927955959789373","8715"
"NR-AR","Smile SVC Poly classification","Test","2","0","265","1","1.0","0.8333333333333333","0.8","1.0","0.6666666666666666","1.0","268"
"NR-AR","Smile SVC Poly classification","Score","5","12","505","6","0.8011253736592202","0.7156673114119922","0.35714285714285715","0.29411764705882354","0.45454545454545453","0.97678916827853","528"
"NR-AR","Smile Bernoulli NB classification","Training","219","448","7908","140","0.8029129569798541","0.778206842847066","0.4269005847953216","0.328335832083958","0.6100278551532033","0.9463858305409286","8715"
"NR-AR","Smile Bernoulli NB classification","Test","2","29","236","1","0.8314465408805031","0.7786163522012579","0.1176470588235294","0.06451612903225806","0.6666666666666666","0.8905660377358491","268"
"NR-AR","Smile Bernoulli NB classification","Score","3","13","504","8","0.7718480745560048","0.6237911025145068","0.2222222222222222","0.1875","0.2727272727272727","0.9748549323017408","528"
"NR-AhR","Weka RF classification","Training","525","197","6506","405","0.9221403030900941","0.7675631517904838","0.6355932203389831","0.7271468144044322","0.5645161290322581","0.9706101745487096","7633"
"NR-AhR","Weka RF classification","Test","29","0","219","0","1.0","1.0","1.0","1.0","1.0","1.0","248"
"NR-AhR","Weka RF classification","Score","31","22","452","38","0.8879104751421757","0.701430930104568","0.5081967213114755","0.5849056603773585","0.4492753623188406","0.9535864978902954","543"
"NR-AhR","Weka RF on folded fp classification","Training","516","174","6529","414","0.9157297566969772","0.7644400918221499","0.637037037037037","0.7478260869565218","0.5548387096774193","0.9740414739668805","7633"
"NR-AhR","Weka RF on folded fp classification","Test","29","1","218","0","1.0","0.9977168949771689","0.983050847457627","0.9666666666666667","1.0","0.9954337899543378","248"
"NR-AhR","Weka RF on folded fp classification","Score","30","30","444","39","0.8961811288448643","0.6857457347275729","0.46511627906976744","0.5","0.43478260869565216","0.9367088607594937","543"
"NR-AhR","Smile SVC Tanimoto classification","Training","640","335","6368","290","0.910688281125925","0.8190972105252182","0.6719160104986877","0.6564102564102564","0.6881720430107527","0.9500223780396837","7633"
"NR-AhR","Smile SVC Tanimoto classification","Test","29","1","218","0","1.0","0.9977168949771689","0.983050847457627","0.9666666666666667","1.0","0.9954337899543378","248"
"NR-AhR","Smile SVC Tanimoto classification","Score","45","27","447","24","0.9127835871093982","0.7976059438635112","0.6382978723404256","0.625","0.6521739130434783","0.9430379746835443","543"
"NR-AhR","Smile SVC Poly classification","Training","677","506","6197","253","0.9037065733686916","0.8262342010237753","0.6407950780880265","0.5722738799661876","0.7279569892473118","0.9245114128002387","7633"
"NR-AhR","Smile SVC Poly classification","Test","29","1","218","0","1.0","0.9977168949771689","0.983050847457627","0.9666666666666667","1.0","0.9954337899543378","248"
"NR-AhR","Smile SVC Poly classification","Score","43","49","425","26","0.874197394973399","0.7599064391854706","0.5341614906832299","0.4673913043478261","0.6231884057971014","0.8966244725738397","543"
"NR-AhR","Smile SVC RBF classification","Training","486","243","6460","444","0.9035984529475853","0.743164110436829","0.5858951175406871","0.6666666666666666","0.5225806451612903","0.9637475757123676","7633"
"NR-AhR","Smile SVC RBF classification","Test","29","4","215","0","0.9866162809006456","0.9908675799086758","0.9354838709677419","0.8787878787878788","1.0","0.9817351598173516","248"
"NR-AhR","Smile SVC RBF classification","Score","27","15","459","42","0.8973888583134584","0.6798293891029169","0.4864864864864865","0.6428571428571429","0.391304347826087","0.9683544303797469","543"
"NR-AhR","Smile Bernoulli NB classification","Training","415","225","6478","515","0.8923533676944314","0.7063347498070996","0.5286624203821656","0.6484375","0.44623655913978494","0.9664329404744144","7633"
"NR-AhR","Smile Bernoulli NB classification","Test","27","16","203","2","0.9689025350338529","0.9289875610140135","0.7499999999999999","0.627906976744186","0.9310344827586207","0.9269406392694064","248"
"NR-AhR","Smile Bernoulli NB classification","Score","27","21","453","42","0.8846847673209832","0.6735002751788662","0.46153846153846156","0.5625","0.391304347826087","0.9556962025316456","543"
"NR-AR-LBD","Weka RF classification","Training","181","50","7741","92","0.9082069900321729","0.8282930007997393","0.7182539682539683","0.7835497835497836","0.663003663003663","0.9935823385958157","8064"
"NR-AR-LBD","Weka RF classification","Test","4","0","228","0","1.0","1.0","1.0","1.0","1.0","1.0","232"
"NR-AR-LBD","Weka RF classification","Score","0","1","516","7","0.6432716219950262","0.4990328820116054","0.0","0.0","0.0","0.9980657640232108","524"
"NR-AR-LBD","Weka RF on folded fp classification","Training","189","47","7744","84","0.9077800862552294","0.8431375452938795","0.742632612966601","0.8008474576271186","0.6923076923076923","0.9939673982800667","8064"
"NR-AR-LBD","Weka RF on folded fp classification","Test","4","0","228","0","1.0","1.0","1.0","1.0","1.0","1.0","232"
"NR-AR-LBD","Weka RF on folded fp classification","Score","0","2","515","7","0.6736667587731423","0.49806576402321084","0.0","0.0","0.0","0.9961315280464217","524"
"NR-AR-LBD","Smile SVC RBF classification","Training","173","44","7747","100","0.9063385807706303","0.8140260458319757","0.7061224489795919","0.7972350230414746","0.6336996336996337","0.9943524579643178","8064"
"NR-AR-LBD","Smile SVC RBF classification","Test","4","0","228","0","1.0","1.0","1.0","1.0","1.0","1.0","232"
"NR-AR-LBD","Smile SVC RBF classification","Score","0","2","515","7","0.7330754352030949","0.49806576402321084","0.0","0.0","0.0","0.9961315280464217","524"
"NR-AR-LBD","Smile SVC Tanimoto classification","Training","193","42","7749","80","0.9019028718682481","0.8507844356900961","0.7598425196850392","0.8212765957446808","0.706959706959707","0.9946091644204852","8064"
"NR-AR-LBD","Smile SVC Tanimoto classification","Test","4","0","228","0","1.0","1.0","1.0","1.0","1.0","1.0","232"
"NR-AR-LBD","Smile SVC Tanimoto classification","Score","0","1","516","7","0.7949709864603488","0.4990328820116054","0.0","0.0","0.0","0.9980657640232108","524"
"NR-AR-LBD","Smile SVC Poly classification","Training","142","13","7778","131","0.9011285210746086","0.7592389640907161","0.663551401869159","0.9161290322580645","0.5201465201465202","0.998331408034912","8064"
"NR-AR-LBD","Smile SVC Poly classification","Test","4","0","228","0","1.0","1.0","1.0","1.0","1.0","1.0","232"
"NR-AR-LBD","Smile SVC Poly classification","Score","0","0","517","7","0.7612600165791625","0.5","0.0","0.0","0.0","1.0","524"
"NR-AR-LBD","Smile Bernoulli NB classification","Training","191","216","7575","82","0.8749012079778372","0.8359547011838117","0.5617647058823529","0.4692874692874693","0.6996336996336996","0.9722757027339237","8064"
