"ToxField","RocAUC","BA"
"NR-AR","0.7514506769825919","0.6315280464216635"
"NR-AhR","0.8879104751421757","0.7612364703724087"
"NR-AR-LBD","0.6432716219950262","0.5665929814865985"
"NR-ER","0.7308114035087702","0.6850578149920256"
"NR-ER-LBD","0.789271255060729","0.6444331983805668"
"NR-Aromatase","0.8156850673780698","0.6228196183049456"
"NR-PPAR-gamma","0.7656947544642858","0.5535714285714286"
"SR-ARE","0.7629943909103984","0.6812742700992377"
"SR-ATAD5","0.7476335361730855","0.6848659003831418"
"SR-HSE","0.7966382575757573","0.571969696969697"
"SR-MMP","0.9272808586762089","0.8273255813953488"
"SR-p53","0.8128126737076153","0.5522790439132852"
