Team Name,Rank,AUC-ROC,Balanced Accuracy,ToxField
dmlab,1,0.82752613,0.611933798,NR-AR
Bioinf@JKU-ensemble2,2,0.80799942,0.650116144,NR-AR
Bioinf@JKU,3,0.80712834,0.614547038,NR-AR
Bioinf@JKU-ensemble3,4,0.80466028,0.613675958,NR-AR
Bioinf@JKU-ensemble4,5,0.80466028,0.609320557,NR-AR
VIF Innovations and CODDES,6,0.79696574,0.681910569,NR-AR
Bioinf@JKU-ensemble1,7,0.78694832,0.657084785,NR-AR
AMAZIZ,8,0.77003484,0.710801394,NR-AR
RCC.ORG.RS,9,0.7630662,0.607578397,NR-AR
kibutz,10,0.75021777,0.735917538,NR-AR
 Bioinf@JKU,1,0.92788449,0.759406648,NR-AhR
Bioinf@JKU-ensemble4,2,0.92431316,0.81612714,NR-AhR
Bioinf@JKU-ensemble3,3,0.92431316,0.766255963,NR-AhR
Bioinf@JKU-ensemble2,4,0.92399429,0.830756868,NR-AhR
Bioinf@JKU-ensemble1,5,0.92372644,0.78181679,NR-AhR
AMAZIZ,6,0.9133568,0.847771741,NR-AhR
T,7,0.9125405,0.852758858,NR-AhR
microsomes,8,0.90078059,0.698362287,NR-AhR
StructuralBionformatics@Charite,9,0.89625265,0.814991964,NR-AhR
filipsPL,10,0.89259203,0.815782761,NR-AhR
Bioinf@JKU-ensemble3,1,0.87913763,0.555531359,NR-AR-LBD
Bioinf@JKU-ensemble4,2,0.87913763,0.550304878,NR-AR-LBD
Bioinf@JKU,3,0.85017422,0.556402439,NR-AR-LBD
Bioinf@JKU-ensemble2,4,0.84984756,0.549433798,NR-AR-LBD
T,5,0.84832317,0.604094077,NR-AR-LBD
AMAZIZ,6,0.8459277,0.593641115,NR-AR-LBD
dmlab,7,0.81859756,0.485191638,NR-AR-LBD
StructuralBionformatics@Charite,8,0.78887195,0.650043554,NR-AR-LBD
Bioinf@JKU-ensemble1,9,0.76361063,0.554660279,NR-AR-LBD
ToxFit,10,0.7565331,0.49912892,NR-AR-LBD
 Bioinf@JKU-ensemble1,1,0.80976175,0.741049968,NR-ER
Bioinf@JKU-ensemble4,2,0.80877082,0.748956357,NR-ER
Bioinf@JKU-ensemble3,3,0.80877082,0.748703352,NR-ER
AMAZIZ,4,0.80626186,0.742061986,NR-ER
Bioinf@JKU-ensemble2,5,0.79854522,0.746805819,NR-ER
Bioinf@JKU,6,0.79270504,0.709487666,NR-ER
microsomes,7,0.78511491,0.620999367,NR-ER
T,8,0.78359688,0.717077799,NR-ER
RCC.ORG.RS,9,0.7812355,0.686084756,NR-ER
filipsPL,10,0.77113641,0.693991145,NR-ER
microsomes,1,0.82732759,0.55,NR-ER-LBD
Bioinf@JKU,2,0.81439655,0.634482759,NR-ER-LBD
Bioinf@JKU-ensemble4,3,0.80737069,0.626724138,NR-ER-LBD
Bioinf@JKU-ensemble3,4,0.80737069,0.610344828,NR-ER-LBD
AMAZIZ,5,0.8062931,0.676724138,NR-ER-LBD
T,6,0.80508621,0.701724138,NR-ER-LBD
Bioinf@JKU-ensemble2,7,0.80107759,0.625862069,NR-ER-LBD
Bioinf@JKU-ensemble1,8,0.80043103,0.634482759,NR-ER-LBD
StructuralBionformatics@Charite,9,0.79788793,0.714655172,NR-ER-LBD
frozenarm,10,0.79047414,0.523275862,NR-ER-LBD
dmlab,1,0.83773793,0.562057574,NR-Aromatase
Bioinf@JKU,2,0.83380525,0.631823187,NR-Aromatase
T,3,0.82462902,0.726993865,NR-Aromatase
Bioinf@JKU-ensemble2,4,0.82119448,0.649284254,NR-Aromatase
Bioinf@JKU-ensemble4,5,0.81914949,0.621598238,NR-Aromatase
Bioinf@JKU-ensemble3,6,0.81914949,0.616957684,NR-Aromatase
AMAZIZ,7,0.81873001,0.697734781,NR-Aromatase
Bioinf@JKU-ensemble1,8,0.81791726,0.604137172,NR-Aromatase
RCC.ORG.RS,9,0.79227623,0.729589429,NR-Aromatase
StructuralBionformatics@Charite,10,0.78071417,0.73666824,NR-Aromatase
Bioinf@JKU-ensemble4,1,0.86085197,0.6447398,NR-PPAR-gamma
Bioinf@JKU-ensemble3,2,0.86085197,0.599837024,NR-PPAR-gamma
