"dataset","model","estimator","features","toxField","time","dataset_compounds","tested_compounds","n_predicted","hitrate"
"CMC","tunedBest","weka_rfc_9984f7f8c436","rdkit_desc","NR-AR","7.465","4614","4614","295","0.06393584742089294"
"CMC","tunedConsensus","weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_fe92cddaa8ca|smile_svc_7220277d26c2|smile_svc_a9b9d0058249","rdkit_desc|cdk_fp|cdk_desc|rdkit_fp|rdkit_fp","NR-AR","35.341","4614","4608","451","0.0978732638888889"
"CMC","tunedBest","weka_rfc_38d073c502e7","rdkit_desc","NR-AhR","7.655","4614","4614","364","0.0788903337667967"
"CMC","tunedConsensus","weka_rfc_38d073c502e7|weka_rfc_fc5aac0e41b6|smile_svc_7220277d26c2|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","rdkit_desc|rdkit_fp|rdkit_fp|rdkit_fp|rdkit_desc","NR-AhR","41.009","4614","4608","891","0.193359375"
"CMC","tunedBest","weka_rfc_9984f7f8c436","cdk_desc","NR-AR-LBD","5.849","4614","4608","327","0.07096354166666667"
"CMC","tunedConsensus","weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_7220277d26c2|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","cdk_desc|cdk_fp|cdk_fp|cdk_fp|rdkit_desc","NR-AR-LBD","27.068","4614","4608","344","0.07465277777777778"
"CMC","tunedBest","weka_rfc_fc5aac0e41b6","rdkit_fp","NR-ER","12.776","4614","4614","945","0.2048114434330299"
"CMC","tunedConsensus","weka_rfc_fc5aac0e41b6|weka_rfc_9984f7f8c436|smile_svc_7220277d26c2|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","rdkit_fp|cdk_desc|cdk_fp|rdkit_fp|cdk_desc","NR-ER","42.799","4614","4608","1598","0.3467881944444444"
"CMC","tunedBest","weka_rfc_9984f7f8c436","cdk_desc","NR-ER-LBD","6.897","4614","4608","272","0.059027777777777776"
"CMC","tunedConsensus","weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_7220277d26c2|smile_svc_fe92cddaa8ca|smile_svc_a9b9d0058249","cdk_desc|cdk_fp|rdkit_fp|rdkit_desc|rdkit_fp","NR-ER-LBD","35.738","4614","4608","302","0.06553819444444445"
"CMC","tunedBest","weka_rfc_9984f7f8c436","rdkit_desc","NR-Aromatase","5.557","4614","4614","201","0.043563068920676205"
"CMC","tunedConsensus","weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_7220277d26c2|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","rdkit_desc|rdkit_fp|cdk_fp|rdkit_fp|rdkit_desc","NR-Aromatase","31.753","4614","4608","715","0.15516493055555555"
"CMC","tunedBest","weka_rfc_9984f7f8c436","cdk_desc","NR-PPAR-gamma","6.196","4614","4608","121","0.026258680555555556"
"CMC","tunedConsensus","weka_rfc_9984f7f8c436|smile_svc_7220277d26c2|weka_rfc_fc5aac0e41b6|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","cdk_desc|rdkit_fp|cdk_fp|cdk_fp|cdk_desc","NR-PPAR-gamma","30.124","4614","4608","195","0.042317708333333336"
"CMC","tunedBest","weka_rfc_9984f7f8c436","cdk_desc","SR-ARE","6.875","4614","4608","1186","0.2573784722222222"
"CMC","tunedConsensus","weka_rfc_9984f7f8c436|smile_svc_7220277d26c2|weka_rfc_fc5aac0e41b6|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","cdk_desc|rdkit_fp|cdk_fp|cdk_fp|rdkit_desc","SR-ARE","35.704","4614","4608","1670","0.3624131944444444"
"CMC","tunedBest","smile_svc_7220277d26c2","cdk_fp","SR-ATAD5","16.665","4614","4614","469","0.10164716081491114"
"CMC","tunedConsensus","smile_svc_7220277d26c2|weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_fe92cddaa8ca|smile_svc_a9b9d0058249","cdk_fp|rdkit_desc|cdk_fp|rdkit_desc|rdkit_fp","SR-ATAD5","32.929","4614","4608","170","0.03689236111111111"
"CMC","tunedBest","weka_rfc_9984f7f8c436","cdk_desc","SR-HSE","7.016","4614","4608","203","0.04405381944444445"
"CMC","tunedConsensus","weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_7220277d26c2|smile_svc_fe92cddaa8ca|smile_svc_a9b9d0058249","cdk_desc|cdk_fp|cdk_fp|rdkit_desc|cdk_fp","SR-HSE","38.165","4614","4608","280","0.06076388888888889"
"CMC","tunedBest","weka_rfc_9984f7f8c436","rdkit_desc","SR-MMP","6.36","4614","4614","838","0.18162115301257042"
"CMC","tunedConsensus","weka_rfc_9984f7f8c436|smile_svc_7220277d26c2|weka_rfc_fc5aac0e41b6|smile_svc_fe92cddaa8ca|smile_svc_a9b9d0058249","rdkit_desc|rdkit_fp|rdkit_fp|cdk_desc|cdk_desc","SR-MMP","22.927","4614","4608","1308","0.2838541666666667"
"CMC","tunedBest","weka_rfc_9984f7f8c436","rdkit_desc","SR-p53","7.469","4614","4614","176","0.03814477676636324"
"CMC","tunedConsensus","weka_rfc_9984f7f8c436|smile_svc_7220277d26c2|smile_svc_a9b9d0058249|weka_rfc_fc5aac0e41b6|smile_svc_fe92cddaa8ca","rdkit_desc|rdkit_fp|rdkit_fp|cdk_fp|rdkit_desc","SR-p53","43.978","4614","4608","559","0.1213107638888889"
"NCI","tunedBest","weka_rfc_9984f7f8c436","rdkit_desc","NR-AR","11.518","261513","261513","5282","0.020197848672914923"
"NCI","tunedConsensus","weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_fe92cddaa8ca|smile_svc_7220277d26c2|smile_svc_a9b9d0058249","rdkit_desc|cdk_fp|cdk_desc|rdkit_fp|rdkit_fp","NR-AR","1699.284","261513","242074","12596","0.05203367565289953"
"NCI","tunedBest","weka_rfc_38d073c502e7","rdkit_desc","NR-AhR","16.098","261513","261513","45635","0.17450375315949876"
"NCI","tunedConsensus","weka_rfc_38d073c502e7|weka_rfc_fc5aac0e41b6|smile_svc_7220277d26c2|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","rdkit_desc|rdkit_fp|rdkit_fp|rdkit_fp|rdkit_desc","NR-AhR","1951.777","261513","242074","91018","0.37599246511397344"
"NCI","tunedBest","weka_rfc_9984f7f8c436","cdk_desc","NR-AR-LBD","9.161","261513","242074","6738","0.027834463841635203"
"NCI","tunedConsensus","weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_7220277d26c2|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","cdk_desc|cdk_fp|cdk_fp|cdk_fp|rdkit_desc","NR-AR-LBD","1378.126","261513","242074","8136","0.0336095574080653"
"NCI","tunedBest","weka_rfc_fc5aac0e41b6","rdkit_fp","NR-ER","369.556","261513","261513","78719","0.3010137163353256"
"NCI","tunedConsensus","weka_rfc_fc5aac0e41b6|weka_rfc_9984f7f8c436|smile_svc_7220277d26c2|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","rdkit_fp|cdk_desc|cdk_fp|rdkit_fp|cdk_desc","NR-ER","2093.18","261513","242074","121228","0.5007890149293192"
"NCI","tunedBest","weka_rfc_9984f7f8c436","cdk_desc","NR-ER-LBD","11.826","261513","242074","13738","0.05675124135594901"
"NCI","tunedConsensus","weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_7220277d26c2|smile_svc_fe92cddaa8ca|smile_svc_a9b9d0058249","cdk_desc|cdk_fp|rdkit_fp|rdkit_desc|rdkit_fp","NR-ER-LBD","1776.984","261513","242074","14408","0.059518990060890474"
"NCI","tunedBest","weka_rfc_9984f7f8c436","rdkit_desc","NR-Aromatase","12.41","261513","261513","16903","0.06463541009433565"
"NCI","tunedConsensus","weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_7220277d26c2|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","rdkit_desc|rdkit_fp|cdk_fp|rdkit_fp|rdkit_desc","NR-Aromatase","1585.432","261513","242074","54174","0.22379107215149086"
"NCI","tunedBest","weka_rfc_9984f7f8c436","cdk_desc","NR-PPAR-gamma","12.529","261513","242074","2666","0.01101316126473723"
"NCI","tunedConsensus","weka_rfc_9984f7f8c436|smile_svc_7220277d26c2|weka_rfc_fc5aac0e41b6|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","cdk_desc|rdkit_fp|cdk_fp|cdk_fp|cdk_desc","NR-PPAR-gamma","1572.701","261513","242074","9557","0.039479663243471005"
"NCI","tunedBest","weka_rfc_9984f7f8c436","cdk_desc","SR-ARE","14.837","261513","242074","91518","0.3780579492221387"
"NCI","tunedConsensus","weka_rfc_9984f7f8c436|smile_svc_7220277d26c2|weka_rfc_fc5aac0e41b6|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","cdk_desc|rdkit_fp|cdk_fp|cdk_fp|rdkit_desc","SR-ARE","1705.716","261513","242074","125299","0.5176061865380007"
"NCI","tunedBest","smile_svc_7220277d26c2","cdk_fp","SR-ATAD5","531.023","261513","261510","56026","0.2142403732170854"
"NCI","tunedConsensus","smile_svc_7220277d26c2|weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_fe92cddaa8ca|smile_svc_a9b9d0058249","cdk_fp|rdkit_desc|cdk_fp|rdkit_desc|rdkit_fp","SR-ATAD5","1620.346","261513","242074","17535","0.07243652767335608"
"NCI","tunedBest","weka_rfc_9984f7f8c436","cdk_desc","SR-HSE","15.619","261513","242074","27602","0.11402298470715566"
