"dataset","model","estimator","features","toxField","time","dataset_compounds","tested_compounds","n_predicted","hitrate"
"CMC","best","weka_rfc_68c9a741c70c","cdk_desc","NR-AR","5.004","4614","4608","251","0.05447048611111111"
"CMC","consensus","weka_rfc_68c9a741c70c|weka_rfc_e458fe780135|smile_svc_63dcee685acc|smile_svc_75766c802543|smile_svc_fa5708a69b52","cdk_desc|cdk_fp|rdkit_fp|cdk_desc|rdkit_fp","NR-AR","9.367","4614","4608","322","0.06987847222222222"
"CMC","best","weka_rfc_68c9a741c70c","cdk_desc","NR-AhR","4.75","4614","4608","209","0.045355902777777776"
"CMC","consensus","weka_rfc_68c9a741c70c|smile_svc_63dcee685acc|smile_svc_fa5708a69b52|weka_rfc_e458fe780135|smile_nb_2a4861a549d5","cdk_desc|rdkit_fp|rdkit_fp|cdk_fp|rdkit_fp","NR-AhR","13.323","4614","4608","506","0.10980902777777778"
"CMC","best","weka_rfc_68c9a741c70c","cdk_desc","NR-AR-LBD","4.052","4614","4608","225","0.048828125"
"CMC","consensus","weka_rfc_68c9a741c70c|weka_rfc_e458fe780135|smile_svc_63dcee685acc|smile_svc_75766c802543|smile_svc_fa5708a69b52","cdk_desc|cdk_fp|rdkit_fp|cdk_desc|rdkit_fp","NR-AR-LBD","8.066","4614","4608","298","0.0646701388888889"
"CMC","best","smile_svc_63dcee685acc","rdkit_fp","NR-ER","8.027","4614","4614","662","0.14347637624620718"
"CMC","consensus","smile_svc_63dcee685acc|weka_rfc_e458fe780135|weka_rfc_68c9a741c70c|smile_svc_75766c802543|smile_svc_fa5708a69b52","rdkit_fp|cdk_fp|cdk_desc|cdk_desc|rdkit_fp","NR-ER","10.716","4614","4608","567","0.123046875"
"CMC","best","weka_rfc_68c9a741c70c","cdk_desc","NR-ER-LBD","4.452","4614","4608","147","0.031901041666666664"
"CMC","consensus","weka_rfc_68c9a741c70c|smile_svc_63dcee685acc|weka_rfc_e458fe780135|smile_svc_fa5708a69b52|smile_svc_75766c802543","cdk_desc|rdkit_fp|cdk_fp|rdkit_fp|cdk_desc","NR-ER-LBD","9.739","4614","4608","237","0.051432291666666664"
"CMC","best","weka_rfc_68c9a741c70c","cdk_desc","NR-Aromatase","3.838","4614","4608","130","0.028211805555555556"
"CMC","consensus","weka_rfc_68c9a741c70c|smile_svc_63dcee685acc|smile_svc_fa5708a69b52|weka_rfc_e458fe780135|smile_nb_2a4861a549d5","cdk_desc|rdkit_fp|rdkit_fp|cdk_fp|rdkit_fp","NR-Aromatase","10.753","4614","4608","301","0.06532118055555555"
"CMC","best","weka_rfc_68c9a741c70c","cdk_desc","NR-PPAR-gamma","3.969","4614","4608","81","0.017578125"
"CMC","consensus","weka_rfc_68c9a741c70c|smile_svc_63dcee685acc|smile_svc_fa5708a69b52|weka_rfc_e458fe780135|smile_svc_75766c802543","cdk_desc|rdkit_fp|rdkit_fp|cdk_fp|cdk_desc","NR-PPAR-gamma","8.618","4614","4608","183","0.039713541666666664"
"CMC","best","weka_rfc_68c9a741c70c","cdk_desc","SR-ARE","4.482","4614","4608","689","0.14952256944444445"
"CMC","consensus","weka_rfc_68c9a741c70c|smile_svc_63dcee685acc|smile_svc_75766c802543|weka_rfc_e458fe780135|smile_svc_fa5708a69b52","cdk_desc|rdkit_fp|cdk_desc|cdk_fp|rdkit_fp","SR-ARE","11.168","4614","4608","1017","0.220703125"
"CMC","best","weka_rfc_68c9a741c70c","cdk_desc","SR-ATAD5","4.866","4614","4608","71","0.015407986111111112"
"CMC","consensus","weka_rfc_68c9a741c70c|smile_svc_63dcee685acc|weka_rfc_e458fe780135|smile_svc_75766c802543|smile_svc_fa5708a69b52","cdk_desc|rdkit_fp|cdk_fp|cdk_desc|rdkit_fp","SR-ATAD5","10.754","4614","4608","116","0.025173611111111112"
