"dataset","model","estimator","features","toxField","time","dataset_compounds","tested_compounds","n_predicted","hitrate"
"CMC","tunedBest","weka_rfc_9984f7f8c436","rdkit_desc","NR-AR","8.808","4614","4614","295","0.06393584742089294"
"CMC","tunedConsensus","weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_fe92cddaa8ca|smile_svc_7220277d26c2|smile_svc_a9b9d0058249","rdkit_desc|cdk_fp|cdk_desc|rdkit_fp|rdkit_fp","NR-AR","11.751","4614","4608","451","0.0978732638888889"
"CMC","tunedBest","weka_rfc_38d073c502e7","rdkit_desc","NR-AhR","9.113","4614","4614","364","0.0788903337667967"
"CMC","tunedConsensus","weka_rfc_38d073c502e7|weka_rfc_fc5aac0e41b6|smile_svc_7220277d26c2|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","rdkit_desc|rdkit_fp|rdkit_fp|rdkit_fp|rdkit_desc","NR-AhR","14.425","4614","4608","945","0.205078125"
"CMC","tunedBest","weka_rfc_9984f7f8c436","cdk_desc","NR-AR-LBD","6.853","4614","4608","327","0.07096354166666667"
"CMC","tunedConsensus","weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_7220277d26c2|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","cdk_desc|cdk_fp|cdk_fp|cdk_fp|rdkit_desc","NR-AR-LBD","9.894","4614","4608","354","0.07682291666666667"
"CMC","tunedBest","weka_rfc_fc5aac0e41b6","rdkit_fp","NR-ER","10.078","4614","4614","945","0.2048114434330299"
"CMC","tunedConsensus","weka_rfc_fc5aac0e41b6|weka_rfc_9984f7f8c436|smile_svc_7220277d26c2|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","rdkit_fp|cdk_desc|cdk_fp|rdkit_fp|cdk_desc","NR-ER","15.66","4614","4608","1691","0.3669704861111111"
"CMC","tunedBest","weka_rfc_9984f7f8c436","cdk_desc","NR-ER-LBD","7.944","4614","4608","272","0.059027777777777776"
"CMC","tunedConsensus","weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_7220277d26c2|smile_svc_fe92cddaa8ca|smile_svc_a9b9d0058249","cdk_desc|cdk_fp|rdkit_fp|rdkit_desc|rdkit_fp","NR-ER-LBD","12.291","4614","4608","322","0.06987847222222222"
"CMC","tunedBest","weka_rfc_9984f7f8c436","rdkit_desc","NR-Aromatase","6.678","4614","4614","201","0.043563068920676205"
"CMC","tunedConsensus","weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_7220277d26c2|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","rdkit_desc|rdkit_fp|cdk_fp|rdkit_fp|rdkit_desc","NR-Aromatase","10.688","4614","4608","731","0.1586371527777778"
"CMC","tunedBest","weka_rfc_9984f7f8c436","cdk_desc","NR-PPAR-gamma","7.182","4614","4608","121","0.026258680555555556"
"CMC","tunedConsensus","weka_rfc_9984f7f8c436|smile_svc_7220277d26c2|weka_rfc_fc5aac0e41b6|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","cdk_desc|rdkit_fp|cdk_fp|cdk_fp|cdk_desc","NR-PPAR-gamma","9.891","4614","4608","211","0.04578993055555555"
"CMC","tunedBest","weka_rfc_9984f7f8c436","cdk_desc","SR-ARE","7.799","4614","4608","1187","0.2575954861111111"
"CMC","tunedConsensus","weka_rfc_9984f7f8c436|smile_svc_7220277d26c2|weka_rfc_fc5aac0e41b6|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","cdk_desc|rdkit_fp|cdk_fp|cdk_fp|rdkit_desc","SR-ARE","13.01","4614","4608","1719","0.373046875"
"CMC","tunedBest","smile_svc_7220277d26c2","cdk_fp","SR-ATAD5","10.968","4614","4614","477","0.1033810143042913"
"CMC","tunedConsensus","smile_svc_7220277d26c2|weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_fe92cddaa8ca|smile_svc_a9b9d0058249","cdk_fp|rdkit_desc|cdk_fp|rdkit_desc|rdkit_fp","SR-ATAD5","11.152","4614","4608","178","0.038628472222222224"
"CMC","tunedBest","weka_rfc_9984f7f8c436","cdk_desc","SR-HSE","8.696","4614","4608","203","0.04405381944444445"
"CMC","tunedConsensus","weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_7220277d26c2|smile_svc_fe92cddaa8ca|smile_svc_a9b9d0058249","cdk_desc|cdk_fp|cdk_fp|rdkit_desc|cdk_fp","SR-HSE","13.661","4614","4608","273","0.059244791666666664"
"CMC","tunedBest","weka_rfc_9984f7f8c436","rdkit_desc","SR-MMP","7.381","4614","4614","838","0.18162115301257042"
"CMC","tunedConsensus","weka_rfc_9984f7f8c436|smile_svc_7220277d26c2|weka_rfc_fc5aac0e41b6|smile_svc_fe92cddaa8ca|smile_svc_a9b9d0058249","rdkit_desc|rdkit_fp|rdkit_fp|cdk_desc|cdk_desc","SR-MMP","8.625","4614","4608","1309","0.2840711805555556"
"CMC","tunedBest","weka_rfc_9984f7f8c436","rdkit_desc","SR-p53","8.64","4614","4614","176","0.03814477676636324"
"CMC","tunedConsensus","weka_rfc_9984f7f8c436|smile_svc_7220277d26c2|smile_svc_a9b9d0058249|weka_rfc_fc5aac0e41b6|smile_svc_fe92cddaa8ca","rdkit_desc|rdkit_fp|rdkit_fp|cdk_fp|rdkit_desc","SR-p53","16.362","4614","4608","587","0.1273871527777778"
"NCI","tunedBest","weka_rfc_9984f7f8c436","rdkit_desc","NR-AR","22.786","261513","261513","5282","0.020197848672914923"
"NCI","tunedConsensus","weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_fe92cddaa8ca|smile_svc_7220277d26c2|smile_svc_a9b9d0058249","rdkit_desc|cdk_fp|cdk_desc|rdkit_fp|rdkit_fp","NR-AR","515.758","261513","242074","12645","0.052236093095499724"
"NCI","tunedBest","weka_rfc_38d073c502e7","rdkit_desc","NR-AhR","23.723","261513","261513","45635","0.17450375315949876"
"NCI","tunedConsensus","weka_rfc_38d073c502e7|weka_rfc_fc5aac0e41b6|smile_svc_7220277d26c2|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","rdkit_desc|rdkit_fp|rdkit_fp|rdkit_fp|rdkit_desc","NR-AhR","512.162","261513","242074","93213","0.38505994034881896"
"NCI","tunedBest","weka_rfc_9984f7f8c436","cdk_desc","NR-AR-LBD","18.965","261513","242074","6738","0.027834463841635203"
"NCI","tunedConsensus","weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_7220277d26c2|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","cdk_desc|cdk_fp|cdk_fp|cdk_fp|rdkit_desc","NR-AR-LBD","349.02","261513","242074","8303","0.034299429100192506"
"NCI","tunedBest","weka_rfc_fc5aac0e41b6","rdkit_fp","NR-ER","115.728","261513","261513","78719","0.3010137163353256"
"NCI","tunedConsensus","weka_rfc_fc5aac0e41b6|weka_rfc_9984f7f8c436|smile_svc_7220277d26c2|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","rdkit_fp|cdk_desc|cdk_fp|rdkit_fp|cdk_desc","NR-ER","593.516","261513","242074","123638","0.5107446483306758"
"NCI","tunedBest","weka_rfc_9984f7f8c436","cdk_desc","NR-ER-LBD","20.158","261513","242074","13738","0.05675124135594901"
"NCI","tunedConsensus","weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_7220277d26c2|smile_svc_fe92cddaa8ca|smile_svc_a9b9d0058249","cdk_desc|cdk_fp|rdkit_fp|rdkit_desc|rdkit_fp","NR-ER-LBD","442.873","261513","242074","14686","0.06066739922503036"
"NCI","tunedBest","weka_rfc_9984f7f8c436","rdkit_desc","NR-Aromatase","21.261","261513","261513","16903","0.06463541009433565"
"NCI","tunedConsensus","weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_7220277d26c2|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","rdkit_desc|rdkit_fp|cdk_fp|rdkit_fp|rdkit_desc","NR-Aromatase","423.045","261513","242074","54270","0.2241876451002586"
"NCI","tunedBest","weka_rfc_9984f7f8c436","cdk_desc","NR-PPAR-gamma","20.325","261513","242074","2666","0.01101316126473723"
"NCI","tunedConsensus","weka_rfc_9984f7f8c436|smile_svc_7220277d26c2|weka_rfc_fc5aac0e41b6|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","cdk_desc|rdkit_fp|cdk_fp|cdk_fp|cdk_desc","NR-PPAR-gamma","400.024","261513","242074","9641","0.03982666457364277"
"NCI","tunedBest","weka_rfc_9984f7f8c436","cdk_desc","SR-ARE","21.191","261513","242074","91518","0.3780579492221387"
"NCI","tunedConsensus","weka_rfc_9984f7f8c436|smile_svc_7220277d26c2|weka_rfc_fc5aac0e41b6|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","cdk_desc|rdkit_fp|cdk_fp|cdk_fp|rdkit_desc","SR-ARE","411.125","261513","242074","126075","0.5208118178738733"
"NCI","tunedBest","smile_svc_7220277d26c2","cdk_fp","SR-ATAD5","155.167","261513","261510","56025","0.21423654927153837"
"NCI","tunedConsensus","smile_svc_7220277d26c2|weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_fe92cddaa8ca|smile_svc_a9b9d0058249","cdk_fp|rdkit_desc|cdk_fp|rdkit_desc|rdkit_fp","SR-ATAD5","466.944","261513","242074","17602","0.07271330254385022"
"NCI","tunedBest","weka_rfc_9984f7f8c436","cdk_desc","SR-HSE","20.91","261513","242074","27602","0.11402298470715566"
"NCI","tunedConsensus","weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_7220277d26c2|smile_svc_fe92cddaa8ca|smile_svc_a9b9d0058249","cdk_desc|cdk_fp|cdk_fp|rdkit_desc|cdk_fp","SR-HSE","500.595","261513","242074","31141","0.12864248122474944"
"NCI","tunedBest","weka_rfc_9984f7f8c436","rdkit_desc","SR-MMP","21.766","261513","261513","88841","0.33971924913866614"
"NCI","tunedConsensus","weka_rfc_9984f7f8c436|smile_svc_7220277d26c2|weka_rfc_fc5aac0e41b6|smile_svc_fe92cddaa8ca|smile_svc_a9b9d0058249","rdkit_desc|rdkit_fp|rdkit_fp|cdk_desc|cdk_desc","SR-MMP","276.81","261513","242074","111958","0.462494939563935"
"NCI","tunedBest","weka_rfc_9984f7f8c436","rdkit_desc","SR-p53","23.427","261513","261513","7938","0.03035413153456998"
"NCI","tunedConsensus","weka_rfc_9984f7f8c436|smile_svc_7220277d26c2|smile_svc_a9b9d0058249|weka_rfc_fc5aac0e41b6|smile_svc_fe92cddaa8ca","rdkit_desc|rdkit_fp|rdkit_fp|cdk_fp|rdkit_desc","SR-p53","469.275","261513","242074","47584","0.19656799160587257"
