"dataset","model","estimator","features","toxField","time","dataset_compounds","tested_compounds","n_predicted","hitrate"
"CMC","tunedBest","weka_rfc_9984f7f8c436","rdkit_desc","NR-AR","8.542","4614","4614","295","0.06393584742089294"
"CMC","tunedConsensus","weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_fe92cddaa8ca|smile_svc_7220277d26c2|smile_svc_a9b9d0058249","rdkit_desc|cdk_fp|cdk_desc|rdkit_fp|rdkit_fp","NR-AR","11.154","4614","4608","451","0.0978732638888889"
"CMC","tunedBest","weka_rfc_38d073c502e7","rdkit_desc","NR-AhR","8.794","4614","4614","364","0.0788903337667967"
"CMC","tunedConsensus","weka_rfc_38d073c502e7|weka_rfc_fc5aac0e41b6|smile_svc_7220277d26c2|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","rdkit_desc|rdkit_fp|rdkit_fp|rdkit_fp|rdkit_desc","NR-AhR","14.334","4614","4608","899","0.1950954861111111"
"CMC","tunedBest","weka_rfc_9984f7f8c436","cdk_desc","NR-AR-LBD","7.162","4614","4608","327","0.07096354166666667"
"CMC","tunedConsensus","weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_7220277d26c2|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","cdk_desc|cdk_fp|cdk_fp|cdk_fp|rdkit_desc","NR-AR-LBD","8.65","4614","4608","347","0.07530381944444445"
"CMC","tunedBest","weka_rfc_fc5aac0e41b6","rdkit_fp","NR-ER","9.316","4614","4614","945","0.2048114434330299"
"CMC","tunedConsensus","weka_rfc_fc5aac0e41b6|weka_rfc_9984f7f8c436|smile_svc_7220277d26c2|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","rdkit_fp|cdk_desc|cdk_fp|rdkit_fp|cdk_desc","NR-ER","14.19","4614","4608","1638","0.35546875"
"CMC","tunedBest","weka_rfc_9984f7f8c436","cdk_desc","NR-ER-LBD","7.771","4614","4608","272","0.059027777777777776"
"CMC","tunedConsensus","weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_7220277d26c2|smile_svc_fe92cddaa8ca|smile_svc_a9b9d0058249","cdk_desc|cdk_fp|rdkit_fp|rdkit_desc|rdkit_fp","NR-ER-LBD","11.08","4614","4608","309","0.06705729166666667"
"CMC","tunedBest","weka_rfc_9984f7f8c436","rdkit_desc","NR-Aromatase","6.318","4614","4614","201","0.043563068920676205"
"CMC","tunedConsensus","weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_7220277d26c2|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","rdkit_desc|rdkit_fp|cdk_fp|rdkit_fp|rdkit_desc","NR-Aromatase","10.203","4614","4608","719","0.1560329861111111"
"CMC","tunedBest","weka_rfc_9984f7f8c436","cdk_desc","NR-PPAR-gamma","7.092","4614","4608","121","0.026258680555555556"
"CMC","tunedConsensus","weka_rfc_9984f7f8c436|smile_svc_7220277d26c2|weka_rfc_fc5aac0e41b6|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","cdk_desc|rdkit_fp|cdk_fp|cdk_fp|cdk_desc","NR-PPAR-gamma","9.937","4614","4608","188","0.04079861111111111"
"CMC","tunedBest","weka_rfc_9984f7f8c436","cdk_desc","SR-ARE","7.527","4614","4608","1187","0.2575954861111111"
"CMC","tunedConsensus","weka_rfc_9984f7f8c436|smile_svc_7220277d26c2|weka_rfc_fc5aac0e41b6|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","cdk_desc|rdkit_fp|cdk_fp|cdk_fp|rdkit_desc","SR-ARE","12.569","4614","4608","1690","0.3667534722222222"
"CMC","tunedBest","smile_svc_7220277d26c2","cdk_fp","SR-ATAD5","10.805","4614","4614","478","0.1035977459904638"
"CMC","tunedConsensus","smile_svc_7220277d26c2|weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_fe92cddaa8ca|smile_svc_a9b9d0058249","cdk_fp|rdkit_desc|cdk_fp|rdkit_desc|rdkit_fp","SR-ATAD5","11.088","4614","4608","171","0.037109375"
"CMC","tunedBest","weka_rfc_9984f7f8c436","cdk_desc","SR-HSE","7.685","4614","4608","203","0.04405381944444445"
"CMC","tunedConsensus","weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_7220277d26c2|smile_svc_fe92cddaa8ca|smile_svc_a9b9d0058249","cdk_desc|cdk_fp|cdk_fp|rdkit_desc|cdk_fp","SR-HSE","11.415","4614","4608","271","0.05881076388888889"
"CMC","tunedBest","weka_rfc_9984f7f8c436","rdkit_desc","SR-MMP","7.112","4614","4614","838","0.18162115301257042"
"CMC","tunedConsensus","weka_rfc_9984f7f8c436|smile_svc_7220277d26c2|weka_rfc_fc5aac0e41b6|smile_svc_fe92cddaa8ca|smile_svc_a9b9d0058249","rdkit_desc|rdkit_fp|rdkit_fp|cdk_desc|cdk_desc","SR-MMP","8.666","4614","4608","1309","0.2840711805555556"
"CMC","tunedBest","weka_rfc_9984f7f8c436","rdkit_desc","SR-p53","8.429","4614","4614","176","0.03814477676636324"
"CMC","tunedConsensus","weka_rfc_9984f7f8c436|smile_svc_7220277d26c2|smile_svc_a9b9d0058249|weka_rfc_fc5aac0e41b6|smile_svc_fe92cddaa8ca","rdkit_desc|rdkit_fp|rdkit_fp|cdk_fp|rdkit_desc","SR-p53","13.995","4614","4608","570","0.12369791666666667"
"NCI","tunedBest","weka_rfc_9984f7f8c436","rdkit_desc","NR-AR","15.564","261513","261513","5282","0.020197848672914923"
"NCI","tunedConsensus","weka_rfc_9984f7f8c436|weka_rfc_fc5aac0e41b6|smile_svc_fe92cddaa8ca|smile_svc_7220277d26c2|smile_svc_a9b9d0058249","rdkit_desc|cdk_fp|cdk_desc|rdkit_fp|rdkit_fp","NR-AR","426.869","261513","242084","12655","0.052275243303977134"
"NCI","tunedBest","weka_rfc_38d073c502e7","rdkit_desc","NR-AhR","18.318","261513","261513","45635","0.17450375315949876"
"NCI","tunedConsensus","weka_rfc_38d073c502e7|weka_rfc_fc5aac0e41b6|smile_svc_7220277d26c2|smile_svc_a9b9d0058249|smile_svc_fe92cddaa8ca","rdkit_desc|rdkit_fp|rdkit_fp|rdkit_fp|rdkit_desc","NR-AhR","548.469","261513","242084","93090","0.3845359462004924"
"NCI","tunedBest","weka_rfc_9984f7f8c436","cdk_desc","NR-AR-LBD","14.511","261513","242084","6745","0.027862229639298755"
