"dataset","model","estimator","features","toxField","time","dataset_compounds","tested_compounds","n_predicted","hitrate"
"CMC","tunedBest","weka_rfc_8bf30290c5c9","rdkit_desc","NR-AR","8.426","4614","4614","260","0.05635023840485479"
"CMC","tunedConsensus","weka_rfc_8bf30290c5c9|weka_rfc_e45331a1a7de|smile_svc_68183d19af31|smile_svc_7a6b39991279|smile_svc_16a4834eb4e0","rdkit_desc|cdk_fp|cdk_desc|rdkit_fp|rdkit_fp","NR-AR","11.183","4614","4608","280","0.06076388888888889"
"CMC","tunedBest","weka_rfc_8bf30290c5c9","rdkit_desc","NR-AhR","8.348","4614","4614","256","0.055483311660164715"
"CMC","tunedConsensus","weka_rfc_8bf30290c5c9|weka_rfc_e45331a1a7de|smile_svc_7a6b39991279|smile_svc_16a4834eb4e0|smile_svc_68183d19af31","rdkit_desc|rdkit_fp|rdkit_fp|rdkit_fp|rdkit_desc","NR-AhR","14.412","4614","4608","359","0.0779079861111111"
"CMC","tunedBest","weka_rfc_8bf30290c5c9","cdk_desc","NR-AR-LBD","6.695","4614","4608","201","0.043619791666666664"
"CMC","tunedConsensus","weka_rfc_8bf30290c5c9|weka_rfc_e45331a1a7de|smile_svc_68183d19af31|smile_svc_7a6b39991279|smile_svc_16a4834eb4e0","cdk_desc|cdk_fp|rdkit_desc|cdk_fp|cdk_fp","NR-AR-LBD","8.732","4614","4608","188","0.04079861111111111"
"CMC","tunedBest","weka_rfc_e45331a1a7de","rdkit_fp","NR-ER","9.964","4614","4614","382","0.08279150411790204"
"CMC","tunedConsensus","weka_rfc_e45331a1a7de|weka_rfc_8bf30290c5c9|smile_svc_7a6b39991279|smile_svc_16a4834eb4e0|smile_svc_68183d19af31","rdkit_fp|cdk_desc|cdk_fp|rdkit_fp|cdk_desc","NR-ER","15.48","4614","4608","449","0.0974392361111111"
"CMC","tunedBest","weka_rfc_8bf30290c5c9","cdk_desc","NR-ER-LBD","8.003","4614","4608","137","0.029730902777777776"
"CMC","tunedConsensus","weka_rfc_8bf30290c5c9|weka_rfc_e45331a1a7de|smile_svc_7a6b39991279|smile_svc_68183d19af31|smile_svc_16a4834eb4e0","cdk_desc|cdk_fp|rdkit_fp|rdkit_desc|rdkit_fp","NR-ER-LBD","13.061","4614","4608","162","0.03515625"
"CMC","tunedBest","weka_rfc_8bf30290c5c9","rdkit_desc","NR-Aromatase","6.286","4614","4614","92","0.019939315127871695"
