"NAME [String]","METHOD [String]","layers [String]","foldSize [Int]","featuresColumn [String]","scalerType [String]","lambda [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"data_lipinski","SVC_NNC_FP","50","1000","rdkit_fp","MaxMin","0.001","0.6370058028348166","0.6532738095238095","0.6528239202657807","0.6049196787148594"
"data_lipinski","SVC_NNC_FP","75","1000","rdkit_fp","MaxMin","0.001","0.6062637871530419","0.6235119047619048","0.629014396456257","0.5662650602409638"
"data_lipinski","SVC_NNC_FP","100","1000","rdkit_fp","MaxMin","0.001","0.6119907370345168","0.6294642857142857","0.6229235880398671","0.5835843373493976"
"data_lipinski","SVC_NNC_FP","50","1500","rdkit_fp","MaxMin","0.001","0.6180035757648534","0.663690476190476","0.6699889258028794","0.5203313253012049"
"data_lipinski","SVC_NNC_FP","75","1500","rdkit_fp","MaxMin","0.001","0.6605917023576032","0.6934523809523809","0.6738648947951273","0.6144578313253013"
"data_lipinski","SVC_NNC_FP","100","1500","rdkit_fp","MaxMin","0.001","0.6222498891839043","0.689484126984127","0.6135105204872646","0.5637550200803213"
"data_lipinski","SVC_NNC_FP","50","2000","rdkit_fp","MaxMin","0.001","0.6350480132045346","0.6584821428571429","0.6389811738648948","0.6076807228915663"
"data_lipinski","SVC_NNC_FP","75","2000","rdkit_fp","MaxMin","0.001","0.6503650259954546","0.6369047619047619","0.660575858250277","0.6536144578313252"
"data_lipinski","SVC_NNC_FP","100","2000","rdkit_fp","MaxMin","0.001","0.6143030038203756","0.6666666666666666","0.5971760797342193","0.579066265060241"
"data_lipinski","SVC_NNC_FP","50","1000","cdk_fp","MaxMin","0.001","0.6425922636652183","0.6470734126984127","0.6594684385382059","0.6212349397590362"
"data_lipinski","SVC_NNC_FP","75","1000","cdk_fp","MaxMin","0.001","0.6557962192068384","0.6547619047619048","0.694905869324474","0.6177208835341365"
"data_lipinski","SVC_NNC_FP","100","1000","cdk_fp","MaxMin","0.001","0.6316599222656591","0.6490575396825397","0.6901993355481727","0.5557228915662651"
"data_lipinski","SVC_NNC_FP","50","1500","cdk_fp","MaxMin","0.001","0.6186869108030497","0.6656746031746031","0.6572535991140642","0.5331325301204819"
"data_lipinski","SVC_NNC_FP","75","1500","cdk_fp","MaxMin","0.001","0.5652759848919487","0.6004464285714285","0.5833333333333335","0.5120481927710843"
"data_lipinski","SVC_NNC_FP","100","1500","cdk_fp","MaxMin","0.001","0.5818549437691705","0.6103670634920635","0.6414728682170543","0.4937248995983936"
"data_lipinski","SVC_NNC_FP","50","2000","cdk_fp","MaxMin","0.001","0.5983727267875488","0.6011904761904763","0.6118493909191584","0.5820783132530121"
