"NAME [String]","METHOD [String]","alpha [Double]","featuresColumn [String]","method [String]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"data_lipinski","SMILE_NB","0.0","rdkit_fp","Bernoulli","0.6481908623790104","0.7132936507936508","0.6866002214839424","0.5446787148594378"
"data_lipinski","SMILE_NB","0.5","rdkit_fp","Bernoulli","0.7286775377627158","0.7757936507936508","0.721483942414175","0.6887550200803212"
"data_lipinski","SMILE_NB","1.0","rdkit_fp","Bernoulli","0.6851085126775095","0.71875","0.6960132890365449","0.6405622489959839"
"data_lipinski","SMILE_NB","2.0","rdkit_fp","Bernoulli","0.6055256926561915","0.6155753968253969","0.6472868217054264","0.553714859437751"
"data_lipinski","SMILE_NB","0.0","cdk_fp","Bernoulli","0.6462330264209293","0.6773313492063493","0.637873754152824","0.6234939759036144"
"data_lipinski","SMILE_NB","0.5","cdk_fp","Bernoulli","0.7099582345624654","0.7450396825396826","0.7021040974529347","0.6827309236947792"
"data_lipinski","SMILE_NB","1.0","cdk_fp","Bernoulli","0.6656111340896994","0.6825396825396826","0.6616832779623477","0.6526104417670681"
"data_lipinski","SMILE_NB","2.0","cdk_fp","Bernoulli","0.5812219438848047","0.5739087301587301","0.6029900332225915","0.5667670682730924"
"data_lipinski","SMILE_NB","0.0","rdkit_fp","Multinomial","0.6481908623790104","0.7132936507936508","0.6866002214839424","0.5446787148594378"
"data_lipinski","SMILE_NB","0.5","rdkit_fp","Multinomial","0.7534113474940738","0.799107142857143","0.7342192691029901","0.7269076305220883"
"data_lipinski","SMILE_NB","1.0","rdkit_fp","Multinomial","0.7472053681688733","0.7941468253968255","0.7331118493909192","0.7143574297188755"
"data_lipinski","SMILE_NB","2.0","rdkit_fp","Multinomial","0.6910082884138994","0.7686011904761906","0.6688815060908085","0.6355421686746988"
"data_lipinski","SMILE_NB","0.0","cdk_fp","Multinomial","0.6462330264209293","0.6773313492063493","0.637873754152824","0.6234939759036144"
"data_lipinski","SMILE_NB","0.5","cdk_fp","Multinomial","0.7265031425072754","0.7534722222222223","0.7159468438538207","0.710090361445783"
"data_lipinski","SMILE_NB","1.0","cdk_fp","Multinomial","0.7203246355670004","0.7490079365079365","0.7104097452934663","0.7015562248995983"
"data_lipinski","SMILE_NB","2.0","cdk_fp","Multinomial","0.6592340662020545","0.6850198412698413","0.6802325581395349","0.6124497991967871"
"data_chagas","SMILE_NB","0.0","rdkit_fp","Bernoulli","0.6230473385101566","0.616583595128937","0.6260135319598139","0.6265448884417189"
"data_chagas","SMILE_NB","0.5","rdkit_fp","Bernoulli","0.7989340568351365","0.7962623358458303","0.8086256006115293","0.7919142340480497"
"data_chagas","SMILE_NB","1.0","rdkit_fp","Bernoulli","0.7999442275072215","0.797293607006872","0.8090578589108935","0.7934812166038988"
"data_chagas","SMILE_NB","2.0","rdkit_fp","Bernoulli","0.8000178537596767","0.7979729804735646","0.8080067887303417","0.7940737920751235"
"data_chagas","SMILE_NB","0.0","cdk_fp","Bernoulli","0.6446008204873178","0.6349300089917077","0.6544891161910306","0.6443833362792152"
"data_chagas","SMILE_NB","0.5","cdk_fp","Bernoulli","0.7928144977713939","0.7904887714663132","0.8027503003057651","0.7852044215421033"
"data_chagas","SMILE_NB","1.0","cdk_fp","Bernoulli","0.7918709609739033","0.7907374310358204","0.8011065812463602","0.7837688706395293"
"data_chagas","SMILE_NB","2.0","cdk_fp","Bernoulli","0.7892633246023827","0.7881287257307145","0.7979510956610373","0.7817101524153961"
"data_chagas","SMILE_NB","0.0","rdkit_fp","Multinomial","0.6230038888076727","0.616663521419136","0.6258451787274318","0.6265029662764503"
"data_chagas","SMILE_NB","0.5","rdkit_fp","Multinomial","0.79663739085337","0.7967008203545611","0.80574653283343","0.7874648193721192"
"data_chagas","SMILE_NB","1.0","rdkit_fp","Multinomial","0.797254149758189","0.7980884295594053","0.8058454972335488","0.7878285224816127"
"data_chagas","SMILE_NB","2.0","rdkit_fp","Multinomial","0.7961726850748295","0.7978375498151697","0.8041119139487491","0.7865685914605693"
"data_chagas","SMILE_NB","0.0","cdk_fp","Multinomial","0.6446835403369334","0.635060999300645","0.6546074184624341","0.6443822032477213"
"data_chagas","SMILE_NB","0.5","cdk_fp","Multinomial","0.7906316053566349","0.7912747133199387","0.7997517927344188","0.7808683100155472"
"data_chagas","SMILE_NB","1.0","cdk_fp","Multinomial","0.7893357294307407","0.7906286424741616","0.7977543043826437","0.7796242414354166"
"data_chagas","SMILE_NB","2.0","cdk_fp","Multinomial","0.7860959305454402","0.7885372378806209","0.7936285126674437","0.7761220410882563"
"data_solubility","SMILE_NB","0.0","rdkit_fp","Bernoulli","0.7676792090724565","0.7906788511749349","0.7881810333075839","0.7241777427348504"
"data_solubility","SMILE_NB","0.5","rdkit_fp","Bernoulli","0.8524634999586218","0.9085378590078329","0.8844912982232926","0.7643613426447398"
"data_solubility","SMILE_NB","1.0","rdkit_fp","Bernoulli","0.8717458551438176","0.9063968668407312","0.9173899213886489","0.7914507772020727"
"data_solubility","SMILE_NB","2.0","rdkit_fp","Bernoulli","0.8700598174520987","0.8888511749347255","0.9235697732539648","0.7977585041676054"
"data_solubility","SMILE_NB","0.0","cdk_fp","Bernoulli","0.7696709387918742","0.7930026109660575","0.8030399418366884","0.7129702635728767"
"data_solubility","SMILE_NB","0.5","cdk_fp","Bernoulli","0.8675286667985751","0.91443864229765","0.9198436860998773","0.7683036719981978"
"data_solubility","SMILE_NB","1.0","cdk_fp","Bernoulli","0.8819433949998197","0.9093211488250653","0.9352024355886763","0.8013066005857176"
"data_solubility","SMILE_NB","2.0","cdk_fp","Bernoulli","0.8801917877510754","0.8933420365535245","0.9353387558504114","0.8118945708492903"
"data_solubility","SMILE_NB","0.0","rdkit_fp","Multinomial","0.7682874347473848","0.7907310704960837","0.788658154223656","0.7254730795224149"
"data_solubility","SMILE_NB","0.5","rdkit_fp","Multinomial","0.7789344951128799","0.8709660574412533","0.8072431499068478","0.6585942779905384"
"data_solubility","SMILE_NB","1.0","rdkit_fp","Multinomial","0.7624190912807326","0.8601044386422977","0.7827509428818104","0.6444018923180895"
"data_solubility","SMILE_NB","2.0","rdkit_fp","Multinomial","0.7418511240551412","0.8392167101827676","0.7532830463034489","0.633053615679207"
"data_solubility","SMILE_NB","0.0","cdk_fp","Multinomial","0.7699061436703203","0.7927415143603134","0.8034716226655155","0.7135052939851318"
"data_solubility","SMILE_NB","0.5","cdk_fp","Multinomial","0.7878537625177998","0.8729503916449085","0.8310310355795882","0.6595798603289029"
"data_solubility","SMILE_NB","1.0","cdk_fp","Multinomial","0.7706977664422135","0.8549869451697129","0.8057209069841414","0.6513854471727866"
"data_solubility","SMILE_NB","2.0","cdk_fp","Multinomial","0.7439520801609564","0.8317493472584857","0.7652792293361204","0.6348276638882632"
"data_herg","SMILE_NB","0.0","rdkit_fp","Bernoulli","0.5790441924443026","0.5764283327764784","0.5842812534850006","0.5764229910714287"
"data_herg","SMILE_NB","0.5","rdkit_fp","Bernoulli","0.838627672043156","0.7834669785054013","0.8646146983383517","0.8678013392857149"
