"NAME [String]","METHOD [String]","gamma [Double]","scalerType [String]","featuresColumn [String]","C [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"data_lipinski","SMILE_SVC_RBF","1.0E-4","MaxMin","rdkit_fp","0.001","0.7507736764441745","0.7272727272727273","0.7388414055080721","0.786206896551724"
"data_lipinski","SMILE_SVC_RBF","0.001","MaxMin","rdkit_fp","0.001","0.7513883394546004","0.7283422459893049","0.7378917378917378","0.7879310344827585"
"data_lipinski","SMILE_SVC_RBF","0.01","MaxMin","rdkit_fp","0.001","0.7445753046609479","0.7176470588235293","0.745963912630579","0.7701149425287355"
"data_lipinski","SMILE_SVC_RBF","0.1","MaxMin","rdkit_fp","0.001","0.6564073611177511","0.6524064171122996","0.6604938271604939","0.6563218390804597"
"data_lipinski","SMILE_SVC_RBF","1.0","MaxMin","rdkit_fp","0.001","0.6257933145244391","0.6366310160427808","0.6286799620132953","0.6120689655172413"
"data_lipinski","SMILE_SVC_RBF","1.0E-4","Standard","rdkit_fp","0.001","0.7094634328350803","0.6545454545454545","0.7117758784425451","0.7620689655172413"
"data_lipinski","SMILE_SVC_RBF","0.001","Standard","rdkit_fp","0.001","0.5875845800457025","0.4903743315508021","0.603988603988604","0.6683908045977012"
"data_lipinski","SMILE_SVC_RBF","0.01","Standard","rdkit_fp","0.001","0.564951491884104","0.5387700534759358","0.5830959164292498","0.5729885057471263"
"data_lipinski","SMILE_SVC_RBF","0.1","Standard","rdkit_fp","0.001","0.5","0.5","0.5","0.5"
"data_lipinski","SMILE_SVC_RBF","1.0","Standard","rdkit_fp","0.001","0.5","0.5","0.5","0.5"
"data_lipinski","SMILE_SVC_RBF","1.0E-4","MaxMin","cdk_fp","0.001","0.6696463371018252","0.6941176470588235","0.6918328584995251","0.6229885057471265"
"data_lipinski","SMILE_SVC_RBF","0.001","MaxMin","cdk_fp","0.001","0.6637240250379759","0.6834224598930482","0.6899335232668565","0.6178160919540231"
"data_lipinski","SMILE_SVC_RBF","0.01","MaxMin","cdk_fp","0.001","0.6778583614734167","0.6764705882352942","0.7203228869895536","0.6367816091954024"
"data_lipinski","SMILE_SVC_RBF","0.1","MaxMin","cdk_fp","0.001","0.6538175599140216","0.6951871657754013","0.657644824311491","0.6086206896551725"
"data_lipinski","SMILE_SVC_RBF","1.0","MaxMin","cdk_fp","0.001","0.644753216299306","0.6810160427807488","0.6348528015194681","0.6183908045977012"
"data_lipinski","SMILE_SVC_RBF","1.0E-4","Standard","cdk_fp","0.001","0.6383972145184676","0.6278074866310162","0.6856600189933524","0.6017241379310344"
"data_lipinski","SMILE_SVC_RBF","0.001","Standard","cdk_fp","0.001","0.5744411312024563","0.43529411764705883","0.6552706552706552","0.6327586206896553"
"data_lipinski","SMILE_SVC_RBF","0.01","Standard","cdk_fp","0.001","0.571736287360583","0.46978609625668444","0.6365147198480532","0.6089080459770113"
"data_lipinski","SMILE_SVC_RBF","0.1","Standard","cdk_fp","0.001","0.5","0.5","0.5","0.5"
"data_lipinski","SMILE_SVC_RBF","1.0","Standard","cdk_fp","0.001","0.5","0.5","0.5","0.5"
"data_lipinski","SMILE_SVC_RBF","1.0E-4","MaxMin","rdkit_desc","0.001","0.6358302750346925","0.6267379679144386","0.6215574548907882","0.6591954022988507"
"data_lipinski","SMILE_SVC_RBF","0.001","MaxMin","rdkit_desc","0.001","0.6276935632919405","0.6497326203208555","0.5982905982905983","0.6350574712643678"
"data_lipinski","SMILE_SVC_RBF","0.01","MaxMin","rdkit_desc","0.001","0.6389455951772832","0.6508021390374332","0.6177587844254511","0.6482758620689656"
"data_lipinski","SMILE_SVC_RBF","0.1","MaxMin","rdkit_desc","0.001","0.6427816271742349","0.623529411764706","0.6191832858499524","0.685632183908046"
"data_lipinski","SMILE_SVC_RBF","1.0","MaxMin","rdkit_desc","0.001","0.626841153570926","0.6508021390374331","0.5745489078822411","0.6551724137931035"
"data_lipinski","SMILE_SVC_RBF","1.0E-4","Standard","rdkit_desc","0.001","0.592998266268494","0.6582887700534761","0.6092117758784426","0.5114942528735632"
"data_lipinski","SMILE_SVC_RBF","0.001","Standard","rdkit_desc","0.001","0.6440857083633734","0.6417112299465241","0.6077872744539411","0.6827586206896551"
"data_lipinski","SMILE_SVC_RBF","0.01","Standard","rdkit_desc","0.001","0.6421745876557686","0.6385026737967915","0.6006647673314338","0.6873563218390805"
"data_lipinski","SMILE_SVC_RBF","0.1","Standard","rdkit_desc","0.001","0.6304319116805029","0.6213903743315508","0.6020892687559354","0.6678160919540229"
"data_lipinski","SMILE_SVC_RBF","1.0","Standard","rdkit_desc","0.001","0.5777531327677822","0.5775401069518716","0.5643399810066476","0.5913793103448275"
"data_lipinski","SMILE_SVC_RBF","1.0E-4","MaxMin","cdk_desc","0.001","0.7168640193769785","0.7032085561497325","0.7146248812915479","0.7327586206896551"
"data_lipinski","SMILE_SVC_RBF","0.001","MaxMin","cdk_desc","0.001","0.6955458493209226","0.6919786096256685","0.708452041785375","0.6862068965517243"
"data_lipinski","SMILE_SVC_RBF","0.01","MaxMin","cdk_desc","0.001","0.7209069217746253","0.6598930481283423","0.6942070275403608","0.8086206896551728"
"data_lipinski","SMILE_SVC_RBF","0.1","MaxMin","cdk_desc","0.001","0.7284243561345206","0.6631016042780749","0.7169990503323835","0.8051724137931036"
"data_lipinski","SMILE_SVC_RBF","1.0","MaxMin","cdk_desc","0.001","0.741374850660404","0.6855614973262033","0.7155745489078822","0.8229885057471265"
"data_lipinski","SMILE_SVC_RBF","1.0E-4","Standard","cdk_desc","0.001","0.6704826563514867","0.6336898395721925","0.6467236467236467","0.7310344827586208"
"data_lipinski","SMILE_SVC_RBF","0.001","Standard","cdk_desc","0.001","0.7089506887906708","0.6844919786096256","0.7084520417853749","0.7339080459770116"
"data_lipinski","SMILE_SVC_RBF","0.01","Standard","cdk_desc","0.001","0.7377457912166049","0.7032085561497327","0.7255460588793923","0.7844827586206897"
"data_lipinski","SMILE_SVC_RBF","0.1","Standard","cdk_desc","0.001","0.6716286245078221","0.6508021390374332","0.6885090218423552","0.6755747126436782"
"data_lipinski","SMILE_SVC_RBF","1.0","Standard","cdk_desc","0.001","0.5568536170463149","0.5828877005347595","0.5299145299145299","0.5577586206896552"
"data_lipinski","SMILE_SVC_RBF","1.0E-4","MaxMin","rdkit_fp","0.01","0.7465288799298264","0.727807486631016","0.7336182336182335","0.7781609195402296"
"data_lipinski","SMILE_SVC_RBF","0.001","MaxMin","rdkit_fp","0.01","0.7510384935559603","0.7256684491978611","0.7383665716999048","0.7890804597701149"
"data_lipinski","SMILE_SVC_RBF","0.01","MaxMin","rdkit_fp","0.01","0.749929579014546","0.713368983957219","0.7530864197530862","0.7833333333333332"
"data_lipinski","SMILE_SVC_RBF","0.1","MaxMin","rdkit_fp","0.01","0.6577002201297896","0.651336898395722","0.664292497625831","0.657471264367816"
"data_lipinski","SMILE_SVC_RBF","1.0","MaxMin","rdkit_fp","0.01","0.630917363506951","0.6441176470588235","0.6417378917378918","0.6068965517241379"
"data_lipinski","SMILE_SVC_RBF","1.0E-4","Standard","rdkit_fp","0.01","0.7241104111624733","0.7112299465240641","0.7122507122507121","0.7488505747126436"
"data_lipinski","SMILE_SVC_RBF","0.001","Standard","rdkit_fp","0.01","0.5860571410492529","0.4925133689839572","0.6058879392212726","0.6597701149425287"
"data_lipinski","SMILE_SVC_RBF","0.01","Standard","rdkit_fp","0.01","0.5656227604897878","0.5328877005347593","0.5838081671415005","0.5801724137931034"
