"NAME [String]","METHOD [String]","C [Double]","offset [Double]","featuresColumn [String]","degree [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"data_lipinski","SMILE_SVC_TAN","0.001","0.0","rdkit_fp","2","0.7198457451066727","0.8110119047619049","0.6411960132890366","0.7073293172690762"
"data_lipinski","SMILE_SVC_TAN","0.01","0.0","rdkit_fp","2","0.7159210392696663","0.785218253968254","0.6461794019933553","0.7163654618473895"
"data_lipinski","SMILE_SVC_TAN","0.1","0.0","rdkit_fp","2","0.7208800595516062","0.7961309523809524","0.64562569213732","0.720883534136546"
"data_lipinski","SMILE_SVC_TAN","1.0","0.0","rdkit_fp","2","0.7190800855692983","0.7976190476190477","0.641749723145072","0.717871485943775"
"data_lipinski","SMILE_SVC_TAN","10.0","0.0","rdkit_fp","2","0.717823675655001","0.7857142857142858","0.642857142857143","0.7248995983935742"
"data_lipinski","SMILE_SVC_TAN","0.001","1.0","rdkit_fp","2","0.7122792109745738","0.7723214285714286","0.6511627906976745","0.7133534136546184"
"data_lipinski","SMILE_SVC_TAN","0.01","1.0","rdkit_fp","2","0.7258249961825894","0.7971230158730159","0.6594684385382059","0.720883534136546"
"data_lipinski","SMILE_SVC_TAN","0.1","1.0","rdkit_fp","2","0.7206010735448253","0.795138888888889","0.6472868217054266","0.7193775100401606"
"data_lipinski","SMILE_SVC_TAN","1.0","1.0","rdkit_fp","2","0.7256428816039352","0.7916666666666667","0.6744186046511628","0.7108433734939757"
"data_lipinski","SMILE_SVC_TAN","10.0","1.0","rdkit_fp","2","0.7273114699477127","0.7921626984126985","0.652823920265781","0.7369477911646585"
"data_lipinski","SMILE_SVC_TAN","0.001","2.0","rdkit_fp","2","0.7212832040602425","0.777281746031746","0.6561461794019933","0.7304216867469879"
"data_lipinski","SMILE_SVC_TAN","0.01","2.0","rdkit_fp","2","0.7180844548366965","0.7881944444444445","0.6461794019933556","0.7198795180722891"
"data_lipinski","SMILE_SVC_TAN","0.1","2.0","rdkit_fp","2","0.7211624738155278","0.7901785714285714","0.6539313399778516","0.7193775100401606"
"data_lipinski","SMILE_SVC_TAN","1.0","2.0","rdkit_fp","2","0.7268649162912261","0.7906746031746033","0.6705426356589147","0.7193775100401605"
"data_lipinski","SMILE_SVC_TAN","10.0","2.0","rdkit_fp","2","0.7322748913705763","0.7946428571428572","0.6566998892580288","0.7454819277108432"
"data_lipinski","SMILE_SVC_TAN","0.001","3.0","rdkit_fp","2","0.72285858087203","0.7936507936507937","0.6389811738648948","0.7359437751004015"
"data_lipinski","SMILE_SVC_TAN","0.01","3.0","rdkit_fp","2","0.7198952695240171","0.7956349206349207","0.6461794019933556","0.717871485943775"
"data_lipinski","SMILE_SVC_TAN","0.1","3.0","rdkit_fp","2","0.7169693447099584","0.7931547619047619","0.637873754152824","0.7198795180722891"
"data_lipinski","SMILE_SVC_TAN","1.0","3.0","rdkit_fp","2","0.7300396213869874","0.7961309523809524","0.6710963455149501","0.7228915662650601"
"data_lipinski","SMILE_SVC_TAN","10.0","3.0","rdkit_fp","2","0.7243117912773278","0.7817460317460319","0.6572535991140642","0.7339357429718875"
"data_lipinski","SMILE_SVC_TAN","0.001","0.0","cdk_fp","2","0.7143246759648413","0.722718253968254","0.6943521594684385","0.7259036144578315"
"data_lipinski","SMILE_SVC_TAN","0.01","0.0","cdk_fp","2","0.7247801653272372","0.7430555555555556","0.6888150609080841","0.7424698795180722"
"data_lipinski","SMILE_SVC_TAN","0.1","0.0","cdk_fp","2","0.7285971590311041","0.7405753968253969","0.6982281284606866","0.7469879518072289"
"data_lipinski","SMILE_SVC_TAN","1.0","0.0","cdk_fp","2","0.7310048147555154","0.7415674603174605","0.7004429678848283","0.751004016064257"
"data_lipinski","SMILE_SVC_TAN","10.0","0.0","cdk_fp","2","0.7069763457669733","0.722718253968254","0.6733111849390919","0.7248995983935742"
"data_lipinski","SMILE_SVC_TAN","0.001","1.0","cdk_fp","2","0.7109565523074209","0.7078373015873016","0.6971207087486159","0.7279116465863453"
"data_lipinski","SMILE_SVC_TAN","0.01","1.0","cdk_fp","2","0.7242689380630681","0.7435515873015873","0.6993355481727574","0.7299196787148596"
"data_lipinski","SMILE_SVC_TAN","0.1","1.0","cdk_fp","2","0.723354658945861","0.75","0.6976744186046513","0.7223895582329318"
"data_lipinski","SMILE_SVC_TAN","1.0","1.0","cdk_fp","2","0.7263636958316843","0.7495039682539684","0.6921373200442968","0.7374497991967873"
"data_lipinski","SMILE_SVC_TAN","10.0","1.0","cdk_fp","2","0.7051155897121153","0.7380952380952381","0.6638981173864895","0.7133534136546184"
