"NAME [String]","METHOD [String]","regularizationType [String]","foldSize [Int]","featuresColumn [String]","scalerType [String]","C [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"data_lipinski","SVC_LIN_FP","L1","1000","rdkit_fp","MaxMin","0.001","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_LIN_FP","L2","1000","rdkit_fp","MaxMin","0.001","0.7064540461587955","0.7614087301587302","0.6561461794019934","0.7018072289156627"
"data_lipinski","SVC_LIN_FP","L1","1500","rdkit_fp","MaxMin","0.001","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_LIN_FP","L2","1500","rdkit_fp","MaxMin","0.001","0.7196802622079311","0.7733134920634921","0.6794019933554817","0.7063253012048193"
"data_lipinski","SVC_LIN_FP","L1","2000","rdkit_fp","MaxMin","0.001","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_LIN_FP","L2","2000","rdkit_fp","MaxMin","0.001","0.7248329326905258","0.7703373015873016","0.6832779623477299","0.7208835341365462"
"data_lipinski","SVC_LIN_FP","L1","1000","cdk_fp","MaxMin","0.001","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_LIN_FP","L2","1000","cdk_fp","MaxMin","0.001","0.6818120581254513","0.7132936507936508","0.616279069767442","0.715863453815261"
"data_lipinski","SVC_LIN_FP","L1","1500","cdk_fp","MaxMin","0.001","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_LIN_FP","L2","1500","cdk_fp","MaxMin","0.001","0.7056945482187147","0.7385912698412699","0.6771871539313401","0.7013052208835342"
"data_lipinski","SVC_LIN_FP","L1","2000","cdk_fp","MaxMin","0.001","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_LIN_FP","L2","2000","cdk_fp","MaxMin","0.001","0.6952858036057111","0.7266865079365079","0.6423034330011074","0.7168674698795181"
"data_lipinski","SVC_LIN_FP","L1","1000","rdkit_fp","Standard","0.001","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_LIN_FP","L2","1000","rdkit_fp","Standard","0.001","0.7486234621023778","0.771329365079365","0.7380952380952382","0.7364457831325301"
"data_lipinski","SVC_LIN_FP","L1","1500","rdkit_fp","Standard","0.001","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_LIN_FP","L2","1500","rdkit_fp","Standard","0.001","0.7457952426168313","0.791170634920635","0.751937984496124","0.6942771084337348"
"data_lipinski","SVC_LIN_FP","L1","2000","rdkit_fp","Standard","0.001","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_LIN_FP","L2","2000","rdkit_fp","Standard","0.001","0.7654070971964639","0.795138888888889","0.7696566998892581","0.731425702811245"
"data_lipinski","SVC_LIN_FP","L1","1000","cdk_fp","Standard","0.001","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_LIN_FP","L2","1000","cdk_fp","Standard","0.001","0.7041372855764142","0.7514880952380953","0.7148394241417498","0.6460843373493975"
"data_lipinski","SVC_LIN_FP","L1","1500","cdk_fp","Standard","0.001","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_LIN_FP","L2","1500","cdk_fp","Standard","0.001","0.7192798047116485","0.7574404761904763","0.7397563676633445","0.6606425702811246"
"data_lipinski","SVC_LIN_FP","L1","2000","cdk_fp","Standard","0.001","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_LIN_FP","L2","2000","cdk_fp","Standard","0.001","0.7057650128012974","0.7132936507936508","0.735326688815061","0.6686746987951807"
"data_lipinski","SVC_LIN_FP","L1","1000","rdkit_fp","MaxMin","0.01","0.5433060684969483","0.5868055555555556","0.5611849390919158","0.4819277108433735"
"data_lipinski","SVC_LIN_FP","L2","1000","rdkit_fp","MaxMin","0.01","0.7560709337905331","0.793154761904762","0.7436323366555925","0.7314257028112449"
"data_lipinski","SVC_LIN_FP","L1","1500","rdkit_fp","MaxMin","0.01","0.5419890849851974","0.5850694444444445","0.558970099667774","0.4819277108433735"
"data_lipinski","SVC_LIN_FP","L2","1500","rdkit_fp","MaxMin","0.01","0.762842204921569","0.8050595238095238","0.7530454042081949","0.7304216867469879"
"data_lipinski","SVC_LIN_FP","L1","2000","rdkit_fp","MaxMin","0.01","0.542567788688901","0.5868055555555556","0.558970099667774","0.4819277108433735"
"data_lipinski","SVC_LIN_FP","L2","2000","rdkit_fp","MaxMin","0.01","0.7669666299009252","0.8025793650793651","0.7508305647840533","0.7474899598393573"
"data_lipinski","SVC_LIN_FP","L1","1000","cdk_fp","MaxMin","0.01","0.5748218974087566","0.5634920634920635","0.47397563676633453","0.6869979919678714"
"data_lipinski","SVC_LIN_FP","L2","1000","cdk_fp","MaxMin","0.01","0.7312012446241222","0.7514880952380953","0.70265780730897","0.739457831325301"
"data_lipinski","SVC_LIN_FP","L1","1500","cdk_fp","MaxMin","0.01","0.5164635100016159","0.5615079365079365","0.4374307862679956","0.5504518072289156"
"data_lipinski","SVC_LIN_FP","L2","1500","cdk_fp","MaxMin","0.01","0.7519250590401474","0.7782738095238096","0.7375415282392027","0.7399598393574298"
"data_lipinski","SVC_LIN_FP","L1","2000","cdk_fp","MaxMin","0.01","0.5786575612157007","0.5634920634920635","0.505813953488372","0.6666666666666665"
"data_lipinski","SVC_LIN_FP","L2","2000","cdk_fp","MaxMin","0.01","0.7331263963198679","0.7311507936507937","0.7242524916943521","0.7439759036144578"
"data_lipinski","SVC_LIN_FP","L1","1000","rdkit_fp","Standard","0.01","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_LIN_FP","L2","1000","rdkit_fp","Standard","0.01","0.7564671291292894","0.777281746031746","0.7596899224806202","0.7324297188755019"
"data_lipinski","SVC_LIN_FP","L1","1500","rdkit_fp","Standard","0.01","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_LIN_FP","L2","1500","rdkit_fp","Standard","0.01","0.7415071878507015","0.7896825396825398","0.7591362126245847","0.6757028112449799"
"data_lipinski","SVC_LIN_FP","L1","2000","rdkit_fp","Standard","0.01","0.5118808567603749","0.5416666666666667","0.5","0.4939759036144578"
"data_lipinski","SVC_LIN_FP","L2","2000","rdkit_fp","Standard","0.01","0.7705206670165342","0.8000992063492064","0.7840531561461794","0.7274096385542168"
"data_lipinski","SVC_LIN_FP","L1","1000","cdk_fp","Standard","0.01","0.4959839357429719","0.5","0.5","0.4879518072289157"
"data_lipinski","SVC_LIN_FP","L2","1000","cdk_fp","Standard","0.01","0.6900108277332291","0.7475198412698413","0.7120708748615727","0.610441767068273"
"data_lipinski","SVC_LIN_FP","L1","1500","cdk_fp","Standard","0.01","0.4959839357429719","0.5","0.5","0.4879518072289157"
"data_lipinski","SVC_LIN_FP","L2","1500","cdk_fp","Standard","0.01","0.7097248351100971","0.7500000000000001","0.7436323366555925","0.6355421686746987"
"data_lipinski","SVC_LIN_FP","L1","2000","cdk_fp","Standard","0.01","0.4959839357429719","0.5","0.5","0.4879518072289157"
"data_lipinski","SVC_LIN_FP","L2","2000","cdk_fp","Standard","0.01","0.7004643713280586","0.7053571428571429","0.7414174972314509","0.6546184738955821"
"data_lipinski","SVC_LIN_FP","L1","1000","rdkit_fp","MaxMin","0.1","0.6692778867407615","0.6666666666666667","0.686046511627907","0.6551204819277108"
"data_lipinski","SVC_LIN_FP","L2","1000","rdkit_fp","MaxMin","0.1","0.7613677763842376","0.7941468253968254","0.7580287929125139","0.7319277108433734"
"data_lipinski","SVC_LIN_FP","L1","1500","rdkit_fp","MaxMin","0.1","0.6799324234924192","0.6912202380952381","0.7250830564784053","0.6234939759036144"
"data_lipinski","SVC_LIN_FP","L2","1500","rdkit_fp","MaxMin","0.1","0.7578147121524118","0.8129960317460319","0.7430786267995572","0.7173694779116464"
"data_lipinski","SVC_LIN_FP","L1","2000","rdkit_fp","MaxMin","0.1","0.673965819905684","0.6560019841269842","0.7062569213732004","0.6596385542168675"
"data_lipinski","SVC_LIN_FP","L2","2000","rdkit_fp","MaxMin","0.1","0.7698105081826013","0.8174603174603176","0.7419712070874863","0.7499999999999999"
"data_lipinski","SVC_LIN_FP","L1","1000","cdk_fp","MaxMin","0.1","0.6393988653024798","0.6378968253968255","0.6309523809523809","0.649347389558233"
"data_lipinski","SVC_LIN_FP","L2","1000","cdk_fp","MaxMin","0.1","0.7024339513832368","0.7539682539682541","0.6926910299003323","0.6606425702811244"
"data_lipinski","SVC_LIN_FP","L1","1500","cdk_fp","MaxMin","0.1","0.6434048532631821","0.6847718253968255","0.615171650055371","0.6302710843373495"
"data_lipinski","SVC_LIN_FP","L2","1500","cdk_fp","MaxMin","0.1","0.7347650105775632","0.7936507936507937","0.7043189368770765","0.7063253012048192"
"data_lipinski","SVC_LIN_FP","L1","2000","cdk_fp","MaxMin","0.1","0.6551636826004645","0.6966765873015873","0.58859357696567","0.6802208835341363"
"data_lipinski","SVC_LIN_FP","L2","2000","cdk_fp","MaxMin","0.1","0.7083583040171021","0.7237103174603174","0.7070874861572537","0.6942771084337348"
"data_lipinski","SVC_LIN_FP","L1","1000","rdkit_fp","Standard","0.1","0.6770891243082334","0.6865079365079366","0.7057032115171652","0.6390562248995983"
"data_lipinski","SVC_LIN_FP","L2","1000","rdkit_fp","Standard","0.1","0.7582783607668029","0.777281746031746","0.7641196013289037","0.7334337349397589"
"data_lipinski","SVC_LIN_FP","L1","1500","rdkit_fp","Standard","0.1","0.665062751930572","0.7177579365079365","0.6835548172757474","0.5938755020080321"
"data_lipinski","SVC_LIN_FP","L2","1500","rdkit_fp","Standard","0.1","0.7405031717864444","0.7896825396825398","0.7591362126245847","0.6726907630522088"
"data_lipinski","SVC_LIN_FP","L1","2000","rdkit_fp","Standard","0.1","0.6919661619901533","0.7061011904761905","0.7104097452934663","0.659387550200803"
"data_lipinski","SVC_LIN_FP","L2","2000","rdkit_fp","Standard","0.1","0.7734495568097417","0.8005952380952381","0.7868217054263567","0.7329317269076304"
"data_lipinski","SVC_LIN_FP","L1","1000","cdk_fp","Standard","0.1","0.6686165110793859","0.7420634920634922","0.7336655592469546","0.5301204819277109"
"data_lipinski","SVC_LIN_FP","L2","1000","cdk_fp","Standard","0.1","0.6859474627932179","0.7390873015873016","0.7148394241417497","0.6039156626506024"
"data_lipinski","SVC_LIN_FP","L1","1500","cdk_fp","Standard","0.1","0.6085042226862415","0.6336805555555556","0.6351052048726468","0.5567269076305221"
"data_lipinski","SVC_LIN_FP","L2","1500","cdk_fp","Standard","0.1","0.7095167769638909","0.7485119047619048","0.7475083056478405","0.6325301204819276"
"data_lipinski","SVC_LIN_FP","L1","2000","cdk_fp","Standard","0.1","0.5885260078705371","0.6178075396825398","0.5664451827242525","0.5813253012048192"
"data_lipinski","SVC_LIN_FP","L2","2000","cdk_fp","Standard","0.1","0.6992065715797855","0.7023809523809524","0.7436323366555926","0.6516064257028112"
"data_lipinski","SVC_LIN_FP","L1","1000","rdkit_fp","MaxMin","1.0","0.7225606467953763","0.7187500000000001","0.7541528239202658","0.6947791164658632"
"data_lipinski","SVC_LIN_FP","L2","1000","rdkit_fp","MaxMin","1.0","0.753534811078941","0.7837301587301588","0.7469545957918051","0.7299196787148594"
"data_lipinski","SVC_LIN_FP","L1","1500","rdkit_fp","MaxMin","1.0","0.7348723520883089","0.7604166666666667","0.7679955703211517","0.6762048192771083"
"data_lipinski","SVC_LIN_FP","L2","1500","rdkit_fp","MaxMin","1.0","0.752433136013971","0.8055555555555556","0.7358803986710963","0.7158634538152608"
"data_lipinski","SVC_LIN_FP","L1","2000","rdkit_fp","MaxMin","1.0","0.7289776029181324","0.7207341269841271","0.7347729789590254","0.7314257028112449"
"data_lipinski","SVC_LIN_FP","L2","2000","rdkit_fp","MaxMin","1.0","0.7686115910671107","0.8120039682539683","0.7242524916943521","0.769578313253012"
"data_lipinski","SVC_LIN_FP","L1","1000","cdk_fp","MaxMin","1.0","0.6628749679411631","0.6721230158730159","0.6799557032115172","0.6365461847389559"
"data_lipinski","SVC_LIN_FP","L2","1000","cdk_fp","MaxMin","1.0","0.6834713345815895","0.7628968253968255","0.6544850498338871","0.633032128514056"
"data_lipinski","SVC_LIN_FP","L1","1500","cdk_fp","MaxMin","1.0","0.6963745995425037","0.7058531746031746","0.7176079734219271","0.6656626506024095"
"data_lipinski","SVC_LIN_FP","L2","1500","cdk_fp","MaxMin","1.0","0.7247638116141197","0.7961309523809524","0.6843853820598007","0.6937751004016063"
"data_lipinski","SVC_LIN_FP","L1","2000","cdk_fp","MaxMin","1.0","0.6395008791163176","0.6319444444444445","0.6710963455149501","0.6154618473895583"
"data_lipinski","SVC_LIN_FP","L2","2000","cdk_fp","MaxMin","1.0","0.6995991070224048","0.722718253968254","0.6943521594684385","0.681726907630522"
"data_lipinski","SVC_LIN_FP","L1","1000","rdkit_fp","Standard","1.0","0.681689289457572","0.7063492063492064","0.7458471760797343","0.592871485943775"
"data_lipinski","SVC_LIN_FP","L2","1000","rdkit_fp","Standard","1.0","0.7573323007793449","0.7787698412698414","0.7607973421926911","0.7324297188755019"
"data_lipinski","SVC_LIN_FP","L1","1500","rdkit_fp","Standard","1.0","0.6782955928549933","0.7569444444444445","0.659468438538206","0.6184738955823293"
"data_lipinski","SVC_LIN_FP","L2","1500","rdkit_fp","Standard","1.0","0.7422814643587269","0.7941468253968255","0.7469545957918052","0.6857429718875501"
"data_lipinski","SVC_LIN_FP","L1","2000","rdkit_fp","Standard","1.0","0.7098424150644661","0.7470238095238095","0.7308970099667775","0.6516064257028112"
"data_lipinski","SVC_LIN_FP","L2","2000","rdkit_fp","Standard","1.0","0.7670200921812017","0.8015873015873016","0.7685492801771873","0.7309236947791163"
"data_lipinski","SVC_LIN_FP","L1","1000","cdk_fp","Standard","1.0","0.6123848012945099","0.7048611111111112","0.6533776301218162","0.4789156626506024"
"data_lipinski","SVC_LIN_FP","L2","1000","cdk_fp","Standard","1.0","0.6884121017106448","0.7430555555555556","0.7192691029900333","0.6029116465863453"
"data_lipinski","SVC_LIN_FP","L1","1500","cdk_fp","Standard","1.0","0.6730006960288551","0.7708333333333334","0.6578073089700996","0.5903614457831325"
"data_lipinski","SVC_LIN_FP","L2","1500","cdk_fp","Standard","1.0","0.7097306724127964","0.7589285714285715","0.7342192691029901","0.6360441767068273"
"data_lipinski","SVC_LIN_FP","L1","2000","cdk_fp","Standard","1.0","0.546639677943965","0.6051587301587302","0.5819490586932448","0.4528112449799197"
"data_lipinski","SVC_LIN_FP","L2","2000","cdk_fp","Standard","1.0","0.6937556427259426","0.7023809523809523","0.7297895902547067","0.6490963855421686"
"data_lipinski","SVC_LIN_FP","L1","1000","rdkit_fp","MaxMin","10.0","0.707210718103125","0.7460317460317462","0.721483942414175","0.6541164658634537"
"data_lipinski","SVC_LIN_FP","L2","1000","rdkit_fp","MaxMin","10.0","0.7605585223878163","0.7921626984126984","0.7425249169435217","0.7469879518072288"
"data_lipinski","SVC_LIN_FP","L1","1500","rdkit_fp","MaxMin","10.0","0.7247810455554221","0.7961309523809524","0.6849390919158361","0.6932730923694779"
"data_lipinski","SVC_LIN_FP","L2","1500","rdkit_fp","MaxMin","10.0","0.7466035700572685","0.8030753968253969","0.7364341085271319","0.7003012048192769"
"data_lipinski","SVC_LIN_FP","L1","2000","rdkit_fp","MaxMin","10.0","0.7289059338127705","0.7470238095238095","0.6982281284606866","0.7414658634538153"
"data_lipinski","SVC_LIN_FP","L2","2000","rdkit_fp","MaxMin","10.0","0.7707227488766435","0.8090277777777778","0.7325581395348837","0.770582329317269"
"data_lipinski","SVC_LIN_FP","L1","1000","cdk_fp","MaxMin","10.0","0.6914148843435758","0.7470238095238096","0.6710963455149501","0.6561244979919678"
"data_lipinski","SVC_LIN_FP","L2","1000","cdk_fp","MaxMin","10.0","0.6847169037908741","0.7658730158730159","0.6572535991140642","0.6310240963855421"
"data_lipinski","SVC_LIN_FP","L1","1500","cdk_fp","MaxMin","10.0","0.7473627437027549","0.7728174603174605","0.7569213732004431","0.7123493975903613"
"data_lipinski","SVC_LIN_FP","L2","1500","cdk_fp","MaxMin","10.0","0.7250342269780488","0.7906746031746033","0.6816168327796236","0.7028112449799195"
"data_lipinski","SVC_LIN_FP","L1","2000","cdk_fp","MaxMin","10.0","0.6617342385414674","0.6865079365079366","0.6666666666666666","0.6320281124497991"
"data_lipinski","SVC_LIN_FP","L2","2000","cdk_fp","MaxMin","10.0","0.7022622605594026","0.7232142857142857","0.6993355481727573","0.6842369477911646"
"data_lipinski","SVC_LIN_FP","L1","1000","rdkit_fp","Standard","10.0","0.7101238101168054","0.746031746031746","0.686046511627907","0.698293172690763"
"data_lipinski","SVC_LIN_FP","L2","1000","rdkit_fp","Standard","10.0","0.7540869457898038","0.7767857142857143","0.7530454042081951","0.7324297188755019"
"data_lipinski","SVC_LIN_FP","L1","1500","rdkit_fp","Standard","10.0","0.6513029322902537","0.716765873015873","0.5719822812846069","0.6651606425702811"
"data_lipinski","SVC_LIN_FP","L2","1500","rdkit_fp","Standard","10.0","0.7431201365076401","0.7936507936507937","0.7469545957918052","0.6887550200803212"
"data_lipinski","SVC_LIN_FP","L1","2000","rdkit_fp","Standard","10.0","0.654748979305928","0.7366071428571429","0.5293466223698783","0.698293172690763"
"data_lipinski","SVC_LIN_FP","L2","2000","rdkit_fp","Standard","10.0","0.7671854360965457","0.8020833333333334","0.7685492801771873","0.7309236947791163"
"data_lipinski","SVC_LIN_FP","L1","1000","cdk_fp","Standard","10.0","0.6352098130432399","0.6299603174603176","0.6727574750830566","0.6029116465863453"
"data_lipinski","SVC_LIN_FP","L2","1000","cdk_fp","Standard","10.0","0.6852489322368841","0.7420634920634921","0.7142857142857144","0.5993975903614458"
