"NAME [String]","METHOD [String]","degree [Int]","C [Double]","featuresColumn [String]","scalerType [String]","coef0 [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"data_lipinski","SVC_POLY_DESC","2","1.0E-5","rdkit_desc","MaxMin","2.0","0.6158720606433025","0.546524064171123","0.6177587844254511","0.6833333333333333"
"data_lipinski","SVC_POLY_DESC","3","1.0E-5","rdkit_desc","MaxMin","2.0","0.6223504527426097","0.6267379679144386","0.5569800569800569","0.6833333333333333"
"data_lipinski","SVC_POLY_DESC","4","1.0E-5","rdkit_desc","MaxMin","2.0","0.6340337752215147","0.6181818181818183","0.5764482431149097","0.707471264367816"
"data_lipinski","SVC_POLY_DESC","2","1.0E-4","rdkit_desc","MaxMin","2.0","0.6113209760381273","0.6406417112299466","0.535849952516619","0.6574712643678161"
"data_lipinski","SVC_POLY_DESC","3","1.0E-4","rdkit_desc","MaxMin","2.0","0.6590543297552538","0.6379679144385028","0.597815764482431","0.7413793103448276"
"data_lipinski","SVC_POLY_DESC","4","1.0E-4","rdkit_desc","MaxMin","2.0","0.6629968425551026","0.6625668449197861","0.5792972459639125","0.7471264367816092"
"data_lipinski","SVC_POLY_DESC","2","0.01","rdkit_desc","MaxMin","2.0","0.6747472879544097","0.6620320855614974","0.6058879392212724","0.7563218390804597"
"data_lipinski","SVC_POLY_DESC","3","0.01","rdkit_desc","MaxMin","2.0","0.6601895441764722","0.6566844919786096","0.6405508072174737","0.6833333333333335"
"data_lipinski","SVC_POLY_DESC","4","0.01","rdkit_desc","MaxMin","2.0","0.5223327132387308","0.5780748663101605","0.6182336182336181","0.3706896551724138"
"data_lipinski","SVC_POLY_DESC","2","0.01","rdkit_desc","MaxMin","2.0","0.6747472879544097","0.6620320855614974","0.6058879392212724","0.7563218390804597"
"data_lipinski","SVC_POLY_DESC","3","0.01","rdkit_desc","MaxMin","2.0","0.6601895441764722","0.6566844919786096","0.6405508072174737","0.6833333333333335"
"data_lipinski","SVC_POLY_DESC","4","0.01","rdkit_desc","MaxMin","2.0","0.608539609790455","0.5780748663101605","0.6182336182336181","0.6293103448275862"
"data_lipinski","SVC_POLY_DESC","2","0.1","rdkit_desc","MaxMin","2.0","0.684739747935601","0.6695187165775399","0.6191832858499524","0.7655172413793105"
"data_lipinski","SVC_POLY_DESC","3","0.1","rdkit_desc","MaxMin","2.0","0.6300934484842531","0.5909090909090909","0.6396011396011395","0.6597701149425288"
"data_lipinski","SVC_POLY_DESC","4","0.1","rdkit_desc","MaxMin","2.0","0.608539609790455","0.5780748663101605","0.6182336182336181","0.6293103448275862"
"data_lipinski","SVC_POLY_DESC","2","1.0","rdkit_desc","MaxMin","2.0","0.6335181446405246","0.5925133689839572","0.6339031339031337","0.6741379310344827"
"data_lipinski","SVC_POLY_DESC","3","1.0","rdkit_desc","MaxMin","2.0","0.6300934484842531","0.5909090909090909","0.6396011396011395","0.6597701149425288"
"data_lipinski","SVC_POLY_DESC","4","1.0","rdkit_desc","MaxMin","2.0","0.608539609790455","0.5780748663101605","0.6182336182336181","0.6293103448275862"
"data_lipinski","SVC_POLY_DESC","2","1.0E-5","cdk_desc","MaxMin","2.0","0.5763142599518528","0.5433155080213903","0.6339031339031338","0.5517241379310345"
"data_lipinski","SVC_POLY_DESC","3","1.0E-5","cdk_desc","MaxMin","2.0","0.7079646840859372","0.6732620320855616","0.7155745489078822","0.7350574712643678"
"data_lipinski","SVC_POLY_DESC","4","1.0E-5","cdk_desc","MaxMin","2.0","0.6990831291597575","0.6545454545454545","0.6685660018993351","0.7741379310344828"
"data_lipinski","SVC_POLY_DESC","2","1.0E-4","cdk_desc","MaxMin","2.0","0.691651914392505","0.6647058823529411","0.6999050332383665","0.7103448275862071"
"data_lipinski","SVC_POLY_DESC","3","1.0E-4","cdk_desc","MaxMin","2.0","0.7120179009631342","0.6807486631016043","0.7179487179487178","0.7373563218390805"
"data_lipinski","SVC_POLY_DESC","4","1.0E-4","cdk_desc","MaxMin","2.0","0.7386232837438605","0.6235294117647058","0.7440645773979104","0.8482758620689655"
"data_lipinski","SVC_POLY_DESC","2","0.01","cdk_desc","MaxMin","2.0","0.7098143586311267","0.6679144385026738","0.7293447293447292","0.732183908045977"
"data_lipinski","SVC_POLY_DESC","3","0.01","cdk_desc","MaxMin","2.0","0.7094342055577124","0.6299465240641711","0.701804368471035","0.7965517241379311"
"data_lipinski","SVC_POLY_DESC","4","0.01","cdk_desc","MaxMin","2.0","0.7103956878353993","0.6064171122994653","0.7155745489078821","0.8091954022988507"
"data_lipinski","SVC_POLY_DESC","2","0.01","cdk_desc","MaxMin","2.0","0.7096361055116972","0.6673796791443851","0.7293447293447292","0.732183908045977"
"data_lipinski","SVC_POLY_DESC","3","0.01","cdk_desc","MaxMin","2.0","0.7094342055577124","0.6299465240641711","0.701804368471035","0.7965517241379311"
"data_lipinski","SVC_POLY_DESC","4","0.01","cdk_desc","MaxMin","2.0","0.7105739409548288","0.606951871657754","0.7155745489078821","0.8091954022988507"
"data_lipinski","SVC_POLY_DESC","2","0.1","cdk_desc","MaxMin","2.0","0.7261034668967957","0.6529411764705884","0.7127255460588793","0.8126436781609198"
"data_lipinski","SVC_POLY_DESC","3","0.1","cdk_desc","MaxMin","2.0","0.7071435446914375","0.6272727272727274","0.6999050332383664","0.7942528735632185"
"data_lipinski","SVC_POLY_DESC","4","0.1","cdk_desc","MaxMin","2.0","0.7105739409548288","0.606951871657754","0.7155745489078821","0.8091954022988507"
"data_lipinski","SVC_POLY_DESC","2","1.0","cdk_desc","MaxMin","2.0","0.6970465915023049","0.6470588235294117","0.6866096866096866","0.7574712643678161"
"data_lipinski","SVC_POLY_DESC","3","1.0","cdk_desc","MaxMin","2.0","0.7071435446914375","0.6272727272727274","0.6999050332383664","0.7942528735632185"
"data_lipinski","SVC_POLY_DESC","4","1.0","cdk_desc","MaxMin","2.0","0.7105739409548288","0.606951871657754","0.7155745489078821","0.8091954022988507"
"data_lipinski","SVC_POLY_DESC","2","1.0E-5","rdkit_desc","Standard","2.0","0.4818193784612536","0.549197860962567","0.5560303893637226","0.34022988505747126"
"data_lipinski","SVC_POLY_DESC","3","1.0E-5","rdkit_desc","Standard","2.0","0.653386237215401","0.6342245989304812","0.6471984805318137","0.6787356321839081"
