"NAME [String]","METHOD [String]","degree [Int]","C [Double]","foldSize [Int]","featuresColumn [String]","scalerType [String]","coef0 [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"data_lipinski","SVC_POLY_FP","2","1.0E-4","1000","rdkit_fp","MaxMin","0.0","0.7298750650442302","0.7485119047619049","0.7403100775193799","0.7008032128514055"
"data_lipinski","SVC_POLY_FP","3","1.0E-4","1000","rdkit_fp","MaxMin","0.0","0.7082108889600485","0.7604166666666669","0.7070874861572536","0.6571285140562249"
"data_lipinski","SVC_POLY_FP","4","1.0E-4","1000","rdkit_fp","MaxMin","0.0","0.7211567754962264","0.7886904761904763","0.6965669988925804","0.6782128514056225"
"data_lipinski","SVC_POLY_FP","2","0.001","1000","rdkit_fp","MaxMin","0.0","0.7330172943527525","0.7534722222222223","0.7397563676633445","0.7058232931726907"
"data_lipinski","SVC_POLY_FP","3","0.001","1000","rdkit_fp","MaxMin","0.0","0.7325197337893471","0.795138888888889","0.7076411960132891","0.6947791164658634"
"data_lipinski","SVC_POLY_FP","4","0.001","1000","rdkit_fp","MaxMin","0.0","0.7021460704390096","0.7648809523809523","0.663344407530454","0.6782128514056225"
"data_lipinski","SVC_POLY_FP","2","0.01","1000","rdkit_fp","MaxMin","0.0","0.7388554772801061","0.7886904761904763","0.7275747508305649","0.700301204819277"
"data_lipinski","SVC_POLY_FP","3","0.01","1000","rdkit_fp","MaxMin","0.0","0.7245639998161714","0.7956349206349207","0.6832779623477298","0.6947791164658634"
"data_lipinski","SVC_POLY_FP","4","0.01","1000","rdkit_fp","MaxMin","0.0","0.7021460704390096","0.7648809523809523","0.663344407530454","0.6782128514056225"
"data_lipinski","SVC_POLY_FP","2","0.1","1000","rdkit_fp","MaxMin","0.0","0.7460900727309386","0.8070436507936508","0.7043189368770765","0.7269076305220883"
"data_lipinski","SVC_POLY_FP","3","0.1","1000","rdkit_fp","MaxMin","0.0","0.7245639998161714","0.7956349206349207","0.6832779623477298","0.6947791164658634"
"data_lipinski","SVC_POLY_FP","4","0.1","1000","rdkit_fp","MaxMin","0.0","0.525558768851708","0.23511904761904762","0.663344407530454","0.6782128514056225"
"data_lipinski","SVC_POLY_FP","2","1.0","1000","rdkit_fp","MaxMin","0.0","0.7460900727309386","0.8070436507936508","0.7043189368770765","0.7269076305220883"
"data_lipinski","SVC_POLY_FP","3","1.0","1000","rdkit_fp","MaxMin","0.0","0.5947112555055957","0.7956349206349207","0.6832779623477298","0.30522088353413657"
"data_lipinski","SVC_POLY_FP","4","1.0","1000","rdkit_fp","MaxMin","0.0","0.525558768851708","0.23511904761904762","0.663344407530454","0.6782128514056225"
"data_lipinski","SVC_POLY_FP","2","1.0E-4","1500","rdkit_fp","MaxMin","0.0","0.7413172438739825","0.7698412698412699","0.7477851605758583","0.7063253012048192"
"data_lipinski","SVC_POLY_FP","3","1.0E-4","1500","rdkit_fp","MaxMin","0.0","0.7295676337687405","0.7961309523809524","0.7043189368770763","0.6882530120481928"
"data_lipinski","SVC_POLY_FP","4","1.0E-4","1500","rdkit_fp","MaxMin","0.0","0.47678657598277946","0.7991071428571429","0.3250276854928018","0.3062248995983936"
"data_lipinski","SVC_POLY_FP","2","0.001","1500","rdkit_fp","MaxMin","0.0","0.7360332340806565","0.7653769841269842","0.7414174972314509","0.7013052208835341"
"data_lipinski","SVC_POLY_FP","3","0.001","1500","rdkit_fp","MaxMin","0.0","0.5272770669240269","0.18849206349206346","0.6910299003322259","0.702309236947791"
"data_lipinski","SVC_POLY_FP","4","0.001","1500","rdkit_fp","MaxMin","0.0","0.5260473418220686","0.21825396825396823","0.6661129568106312","0.6937751004016063"
"data_lipinski","SVC_POLY_FP","2","0.01","1500","rdkit_fp","MaxMin","0.0","0.7426906778090583","0.808531746031746","0.7081949058693247","0.7113453815261044"
"data_lipinski","SVC_POLY_FP","3","0.01","1500","rdkit_fp","MaxMin","0.0","0.7324419494144907","0.8095238095238096","0.6854928017718717","0.702309236947791"
"data_lipinski","SVC_POLY_FP","4","0.01","1500","rdkit_fp","MaxMin","0.0","0.7138780296527565","0.7817460317460319","0.6661129568106312","0.6937751004016063"
"data_lipinski","SVC_POLY_FP","2","0.1","1500","rdkit_fp","MaxMin","0.0","0.7484707193484161","0.826388888888889","0.70265780730897","0.7163654618473895"
"data_lipinski","SVC_POLY_FP","3","0.1","1500","rdkit_fp","MaxMin","0.0","0.7324419494144907","0.8095238095238096","0.6854928017718717","0.702309236947791"
"data_lipinski","SVC_POLY_FP","4","0.1","1500","rdkit_fp","MaxMin","0.0","0.7138780296527565","0.7817460317460319","0.6661129568106312","0.6937751004016063"
"data_lipinski","SVC_POLY_FP","2","1.0","1500","rdkit_fp","MaxMin","0.0","0.7484707193484161","0.826388888888889","0.70265780730897","0.7163654618473895"
"data_lipinski","SVC_POLY_FP","3","1.0","1500","rdkit_fp","MaxMin","0.0","0.7324419494144907","0.8095238095238096","0.6854928017718717","0.702309236947791"
"data_lipinski","SVC_POLY_FP","4","1.0","1500","rdkit_fp","MaxMin","0.0","0.5260473418220686","0.21825396825396823","0.6661129568106312","0.6937751004016063"
"data_lipinski","SVC_POLY_FP","2","1.0E-4","2000","rdkit_fp","MaxMin","0.0","0.7565078975925852","0.7812500000000001","0.7668881506090809","0.7213855421686746"
"data_lipinski","SVC_POLY_FP","3","1.0E-4","2000","rdkit_fp","MaxMin","0.0","0.7232593626629072","0.7792658730158731","0.703765227021041","0.6867469879518072"
"data_lipinski","SVC_POLY_FP","4","1.0E-4","2000","rdkit_fp","MaxMin","0.0","0.6119883743167577","0.8035714285714286","0.3200442967884829","0.7123493975903614"
"data_lipinski","SVC_POLY_FP","2","0.001","2000","rdkit_fp","MaxMin","0.0","0.7524191913464119","0.7852182539682541","0.7596899224806203","0.7123493975903614"
"data_lipinski","SVC_POLY_FP","3","0.001","2000","rdkit_fp","MaxMin","0.0","0.5350756570023171","0.18601190476190477","0.6993355481727576","0.7198795180722891"
"data_lipinski","SVC_POLY_FP","4","0.001","2000","rdkit_fp","MaxMin","0.0","0.5341421518484422","0.21676587301587302","0.673311184939092","0.7123493975903614"
"data_lipinski","SVC_POLY_FP","2","0.01","2000","rdkit_fp","MaxMin","0.0","0.7502834798033033","0.8070436507936508","0.7153931339977851","0.728413654618474"
"data_lipinski","SVC_POLY_FP","3","0.01","2000","rdkit_fp","MaxMin","0.0","0.7387639798766865","0.8070436507936508","0.6893687707641195","0.7198795180722891"
"data_lipinski","SVC_POLY_FP","4","0.01","2000","rdkit_fp","MaxMin","0.0","0.7229649031711934","0.7832341269841271","0.673311184939092","0.7123493975903614"
"data_lipinski","SVC_POLY_FP","2","0.1","2000","rdkit_fp","MaxMin","0.0","0.7523824997294456","0.8149801587301588","0.7032115171650054","0.7389558232931727"
"data_lipinski","SVC_POLY_FP","3","0.1","2000","rdkit_fp","MaxMin","0.0","0.7387639798766865","0.8070436507936508","0.6893687707641195","0.7198795180722891"
"data_lipinski","SVC_POLY_FP","4","0.1","2000","rdkit_fp","MaxMin","0.0","0.5341421518484422","0.21676587301587302","0.673311184939092","0.7123493975903614"
"data_lipinski","SVC_POLY_FP","2","1.0","2000","rdkit_fp","MaxMin","0.0","0.7523824997294456","0.8149801587301588","0.7032115171650054","0.7389558232931727"
