"NAME [String]","METHOD [String]","gamma [Double]","scalerType [String]","featuresColumn [String]","C [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"data_lipinski","SVC_RBF_DESC","1.0E-4","MaxMin","rdkit_desc","1.0E-4","0.5589226610750162","0.6609625668449197","0.5887939221272553","0.42701149425287355"
"data_lipinski","SVC_RBF_DESC","0.001","MaxMin","rdkit_desc","1.0E-4","0.5474739448482968","0.6443850267379678","0.5721747388414054","0.42586206896551726"
"data_lipinski","SVC_RBF_DESC","0.01","MaxMin","rdkit_desc","1.0E-4","0.5633026490700594","0.5101604278074867","0.5826210826210825","0.5971264367816091"
"data_lipinski","SVC_RBF_DESC","0.1","MaxMin","rdkit_desc","1.0E-4","0.5501666164952169","0.3609625668449198","0.547008547008547","0.7425287356321838"
"data_lipinski","SVC_RBF_DESC","1.0","MaxMin","rdkit_desc","1.0E-4","0.6194774148797136","0.6454545454545454","0.5612535612535613","0.6517241379310345"
"data_lipinski","SVC_RBF_DESC","1.0E-4","Standard","rdkit_desc","1.0E-4","0.642870216703888","0.6657754010695186","0.6111111111111109","0.6517241379310343"
"data_lipinski","SVC_RBF_DESC","0.001","Standard","rdkit_desc","1.0E-4","0.47281892099336326","0.5582887700534761","0.48717948717948717","0.37298850574712644"
"data_lipinski","SVC_RBF_DESC","0.01","Standard","rdkit_desc","1.0E-4","0.662320826778794","0.667379679144385","0.617283950617284","0.7022988505747128"
"data_lipinski","SVC_RBF_DESC","0.1","Standard","rdkit_desc","1.0E-4","0.5920060682062034","0.620855614973262","0.6011396011396011","0.554022988505747"
"data_lipinski","SVC_RBF_DESC","1.0","Standard","rdkit_desc","1.0E-4","0.5463044393064677","0.5401069518716578","0.5384615384615384","0.5603448275862069"
"data_lipinski","SVC_RBF_DESC","1.0E-4","MaxMin","cdk_desc","1.0E-4","0.6795137945802808","0.6176470588235294","0.698480531813865","0.7224137931034482"
"data_lipinski","SVC_RBF_DESC","0.001","MaxMin","cdk_desc","1.0E-4","0.7185820544283469","0.6941176470588234","0.728869895536562","0.7327586206896551"
"data_lipinski","SVC_RBF_DESC","0.01","MaxMin","cdk_desc","1.0E-4","0.6865892386063672","0.6326203208556149","0.7397910731244063","0.6873563218390806"
"data_lipinski","SVC_RBF_DESC","0.1","MaxMin","cdk_desc","1.0E-4","0.7294053466129192","0.6679144385026737","0.7450142450142448","0.7752873563218392"
"data_lipinski","SVC_RBF_DESC","1.0","MaxMin","cdk_desc","1.0E-4","0.7287485559290833","0.6604278074866311","0.7051282051282051","0.8206896551724139"
"data_lipinski","SVC_RBF_DESC","1.0E-4","Standard","cdk_desc","1.0E-4","0.6281773544112963","0.6438502673796792","0.6809116809116809","0.5597701149425288"
"data_lipinski","SVC_RBF_DESC","0.001","Standard","cdk_desc","1.0E-4","0.7217522070914001","0.6855614973262032","0.7331433998100663","0.746551724137931"
"data_lipinski","SVC_RBF_DESC","0.01","Standard","cdk_desc","1.0E-4","0.7061738610307463","0.6641711229946523","0.6842355175688508","0.7701149425287356"
