"NAME [String]","METHOD [String]","gamma [Double]","foldSize [Int]","featuresColumn [String]","scalerType [String]","C [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"data_lipinski","SVC_RBF_FP","1.0E-4","1000","rdkit_fp","MaxMin","0.001","0.749355487657533","0.746031746031746","0.7691029900332227","0.7329317269076303"
"data_lipinski","SVC_RBF_FP","0.001","1000","rdkit_fp","MaxMin","0.001","0.7412737883983332","0.7172619047619049","0.7530454042081951","0.7535140562248994"
"data_lipinski","SVC_RBF_FP","0.01","1000","rdkit_fp","MaxMin","0.001","0.7286652145681286","0.7470238095238096","0.7281284606866002","0.7108433734939759"
"data_lipinski","SVC_RBF_FP","0.1","1000","rdkit_fp","MaxMin","0.001","0.50637910631081","0.3030753968253968","0.6472868217054265","0.5687751004016065"
"data_lipinski","SVC_RBF_FP","1.0","1000","rdkit_fp","MaxMin","0.001","0.5673742404094043","0.695436507936508","0.5312846068660022","0.47540160642570284"
"data_lipinski","SVC_RBF_FP","1.0E-4","1500","rdkit_fp","MaxMin","0.001","0.7507549578157592","0.7976190476190477","0.7508305647840532","0.7038152610441765"
"data_lipinski","SVC_RBF_FP","0.001","1500","rdkit_fp","MaxMin","0.001","0.7495480723188064","0.7881944444444445","0.7807308970099668","0.6797188755020078"
"data_lipinski","SVC_RBF_FP","0.01","1500","rdkit_fp","MaxMin","0.001","0.7193668083185455","0.7842261904761906","0.7513842746400886","0.6224899598393573"
"data_lipinski","SVC_RBF_FP","0.1","1500","rdkit_fp","MaxMin","0.001","0.5404320308179933","0.695436507936508","0.3726467331118494","0.5532128514056225"
"data_lipinski","SVC_RBF_FP","1.0","1500","rdkit_fp","MaxMin","0.001","0.41723742515280765","0.29365079365079366","0.44601328903654486","0.5120481927710844"
"data_lipinski","SVC_RBF_FP","1.0E-4","2000","rdkit_fp","MaxMin","0.001","0.7448448278162484","0.7797619047619048","0.7790697674418604","0.6757028112449798"
"data_lipinski","SVC_RBF_FP","0.001","2000","rdkit_fp","MaxMin","0.001","0.7488164173860449","0.7678571428571429","0.7787929125138427","0.6997991967871486"
"data_lipinski","SVC_RBF_FP","0.01","2000","rdkit_fp","MaxMin","0.001","0.722435561737537","0.7842261904761906","0.7585825027685493","0.6244979919678714"
"data_lipinski","SVC_RBF_FP","0.1","2000","rdkit_fp","MaxMin","0.001","0.5341795383823964","0.34325396825396826","0.6101882613510522","0.6490963855421688"
"data_lipinski","SVC_RBF_FP","1.0","2000","rdkit_fp","MaxMin","0.001","0.5111119079492573","0.6676587301587302","0.5238095238095237","0.34186746987951805"
"data_lipinski","SVC_RBF_FP","1.0E-4","1000","cdk_fp","MaxMin","0.001","0.6710540482342808","0.6939484126984128","0.7358803986710963","0.5833333333333334"
"data_lipinski","SVC_RBF_FP","0.001","1000","cdk_fp","MaxMin","0.001","0.6845815802894116","0.7415674603174603","0.7142857142857143","0.5978915662650601"
"data_lipinski","SVC_RBF_FP","0.01","1000","cdk_fp","MaxMin","0.001","0.6491040759568358","0.7033730158730159","0.6716500553709857","0.572289156626506"
"data_lipinski","SVC_RBF_FP","0.1","1000","cdk_fp","MaxMin","0.001","0.6092401629404293","0.6483134920634921","0.6256921373200445","0.553714859437751"
"data_lipinski","SVC_RBF_FP","1.0","1000","cdk_fp","MaxMin","0.001","0.5646990416446147","0.7108134920634921","0.4446290143964563","0.5386546184738956"
"data_lipinski","SVC_RBF_FP","1.0E-4","1500","cdk_fp","MaxMin","0.001","0.7118852856979784","0.7549603174603176","0.7491694352159469","0.6315261044176705"
"data_lipinski","SVC_RBF_FP","0.001","1500","cdk_fp","MaxMin","0.001","0.7226769295713678","0.7713293650793651","0.7646733111849391","0.6320281124497991"
"data_lipinski","SVC_RBF_FP","0.01","1500","cdk_fp","MaxMin","0.001","0.6543492167266334","0.7043650793650794","0.6843853820598006","0.5742971887550201"
"data_lipinski","SVC_RBF_FP","0.1","1500","cdk_fp","MaxMin","0.001","0.6125477361642955","0.6775793650793652","0.6013289036544851","0.5587349397590361"
"data_lipinski","SVC_RBF_FP","1.0","1500","cdk_fp","MaxMin","0.001","0.6578414293942103","0.7194940476190477","0.6533776301218162","0.600652610441767"
"data_lipinski","SVC_RBF_FP","1.0E-4","2000","cdk_fp","MaxMin","0.001","0.6746613623189696","0.6805555555555556","0.7425249169435216","0.6009036144578312"
"data_lipinski","SVC_RBF_FP","0.001","2000","cdk_fp","MaxMin","0.001","0.6780689109335089","0.6929563492063493","0.7353266888150609","0.6059236947791163"
"data_lipinski","SVC_RBF_FP","0.01","2000","cdk_fp","MaxMin","0.001","0.6350308950827305","0.6408730158730159","0.689922480620155","0.5742971887550202"
"data_lipinski","SVC_RBF_FP","0.1","2000","cdk_fp","MaxMin","0.001","0.5104590566029344","0.41369047619047616","0.5614617940199336","0.5562248995983936"
"data_lipinski","SVC_RBF_FP","1.0","2000","cdk_fp","MaxMin","0.001","0.5034283034685809","0.31398809523809523","0.5968992248062016","0.5993975903614458"
"data_lipinski","SVC_RBF_FP","1.0E-4","1000","rdkit_fp","Standard","0.001","0.7126010965234136","0.7782738095238095","0.7375415282392027","0.6219879518072288"
"data_lipinski","SVC_RBF_FP","0.001","1000","rdkit_fp","Standard","0.001","0.6784901696116323","0.685515873015873","0.7425249169435217","0.607429718875502"
"data_lipinski","SVC_RBF_FP","0.01","1000","rdkit_fp","Standard","0.001","0.5857606783724042","0.7157738095238095","0.5897009966777408","0.4518072289156626"
"data_lipinski","SVC_RBF_FP","0.1","1000","rdkit_fp","Standard","0.001","0.5000239051443871","0.49404761904761907","0.5","0.5060240963855421"
"data_lipinski","SVC_RBF_FP","1.0","1000","rdkit_fp","Standard","0.001","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_RBF_FP","1.0E-4","1500","rdkit_fp","Standard","0.001","0.7225286342861293","0.7966269841269842","0.7685492801771872","0.6024096385542168"
"data_lipinski","SVC_RBF_FP","0.001","1500","rdkit_fp","Standard","0.001","0.49764084948135107","0.2743055555555555","0.6638981173864895","0.554718875502008"
"data_lipinski","SVC_RBF_FP","0.01","1500","rdkit_fp","Standard","0.001","0.4627676912893361","0.32192460317460314","0.5603543743078627","0.5060240963855422"
"data_lipinski","SVC_RBF_FP","0.1","1500","rdkit_fp","Standard","0.001","0.496077888519749","0.49404761904761907","0.4941860465116279","0.5"
"data_lipinski","SVC_RBF_FP","1.0","1500","rdkit_fp","Standard","0.001","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_RBF_FP","1.0E-4","2000","rdkit_fp","Standard","0.001","0.7129992376297364","0.7594246031746033","0.7425249169435217","0.6370481927710844"
"data_lipinski","SVC_RBF_FP","0.001","2000","rdkit_fp","Standard","0.001","0.6517579176061945","0.6994047619047619","0.6650055370985604","0.5908634538152612"
"data_lipinski","SVC_RBF_FP","0.01","2000","rdkit_fp","Standard","0.001","0.4194685719622677","0.3392857142857143","0.553156146179402","0.3659638554216868"
"data_lipinski","SVC_RBF_FP","0.1","2000","rdkit_fp","Standard","0.001","0.49600784088735894","0.49404761904761907","0.5","0.4939759036144578"
"data_lipinski","SVC_RBF_FP","1.0","2000","rdkit_fp","Standard","0.001","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_RBF_FP","1.0E-4","1000","cdk_fp","Standard","0.001","0.6561886156660603","0.7182539682539684","0.7076411960132891","0.5426706827309236"
"data_lipinski","SVC_RBF_FP","0.001","1000","cdk_fp","Standard","0.001","0.5797464498080916","0.6369047619047619","0.6389811738648948","0.4633534136546184"
"data_lipinski","SVC_RBF_FP","0.01","1000","cdk_fp","Standard","0.001","0.6045790304073436","0.7038690476190477","0.5476190476190477","0.5622489959839357"
"data_lipinski","SVC_RBF_FP","0.1","1000","cdk_fp","Standard","0.001","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_RBF_FP","1.0","1000","cdk_fp","Standard","0.001","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_RBF_FP","1.0E-4","1500","cdk_fp","Standard","0.001","0.6752147942082097","0.7490079365079365","0.6777408637873754","0.5988955823293173"
"data_lipinski","SVC_RBF_FP","0.001","1500","cdk_fp","Standard","0.001","0.6209259333383739","0.7103174603174603","0.611295681063123","0.5411646586345381"
"data_lipinski","SVC_RBF_FP","0.01","1500","cdk_fp","Standard","0.001","0.5711838679931983","0.7093253968253969","0.5775193798449613","0.4267068273092369"
"data_lipinski","SVC_RBF_FP","0.1","1500","cdk_fp","Standard","0.001","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_RBF_FP","1.0","1500","cdk_fp","Standard","0.001","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_RBF_FP","1.0E-4","2000","cdk_fp","Standard","0.001","0.6416542415509213","0.644345238095238","0.7203765227021042","0.5602409638554218"
"data_lipinski","SVC_RBF_FP","0.001","2000","cdk_fp","Standard","0.001","0.5597122710109542","0.5952380952380952","0.597452934662237","0.48644578313253006"
"data_lipinski","SVC_RBF_FP","0.01","2000","cdk_fp","Standard","0.001","0.5839568591827629","0.6721230158730159","0.5476190476190477","0.5321285140562249"
"data_lipinski","SVC_RBF_FP","0.1","2000","cdk_fp","Standard","0.001","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_RBF_FP","1.0","2000","cdk_fp","Standard","0.001","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_RBF_FP","1.0E-4","1000","rdkit_fp","MaxMin","0.01","0.7495400576095448","0.746031746031746","0.7696566998892581","0.7329317269076303"
"data_lipinski","SVC_RBF_FP","0.001","1000","rdkit_fp","MaxMin","0.01","0.7412737883983332","0.7172619047619049","0.7530454042081951","0.7535140562248994"
"data_lipinski","SVC_RBF_FP","0.01","1000","rdkit_fp","MaxMin","0.01","0.7108080717109857","0.6934523809523809","0.7281284606866002","0.7108433734939759"
"data_lipinski","SVC_RBF_FP","0.1","1000","rdkit_fp","MaxMin","0.01","0.4958345285905527","0.28720238095238093","0.6666666666666667","0.5336345381526105"
"data_lipinski","SVC_RBF_FP","1.0","1000","rdkit_fp","MaxMin","0.01","0.5736300684465437","0.7023809523809526","0.53156146179402","0.48694779116465864"
"data_lipinski","SVC_RBF_FP","1.0E-4","1500","rdkit_fp","MaxMin","0.01","0.7507549578157592","0.7976190476190477","0.7508305647840532","0.7038152610441765"
"data_lipinski","SVC_RBF_FP","0.001","1500","rdkit_fp","MaxMin","0.01","0.7495480723188064","0.7881944444444445","0.7807308970099668","0.6797188755020078"
"data_lipinski","SVC_RBF_FP","0.01","1500","rdkit_fp","MaxMin","0.01","0.72084336793464","0.7842261904761906","0.7558139534883721","0.6224899598393573"
"data_lipinski","SVC_RBF_FP","0.1","1500","rdkit_fp","MaxMin","0.01","0.6281758169629422","0.7078373015873016","0.6234772978959026","0.5532128514056225"
"data_lipinski","SVC_RBF_FP","1.0","1500","rdkit_fp","MaxMin","0.01","0.5474080939853915","0.7095734126984127","0.44269102990033227","0.4899598393574297"
"data_lipinski","SVC_RBF_FP","1.0E-4","2000","rdkit_fp","MaxMin","0.01","0.7448448278162484","0.7797619047619048","0.7790697674418604","0.6757028112449798"
"data_lipinski","SVC_RBF_FP","0.001","2000","rdkit_fp","MaxMin","0.01","0.7489087023620508","0.7678571428571429","0.7790697674418604","0.6997991967871486"
"data_lipinski","SVC_RBF_FP","0.01","2000","rdkit_fp","MaxMin","0.01","0.7232622813142567","0.7867063492063493","0.7585825027685493","0.6244979919678714"
"data_lipinski","SVC_RBF_FP","0.1","2000","rdkit_fp","MaxMin","0.01","0.5212072913284738","0.3263888888888889","0.6052048726467331","0.6320281124497992"
"data_lipinski","SVC_RBF_FP","1.0","2000","rdkit_fp","MaxMin","0.01","0.5115431965959075","0.6763392857142858","0.5119047619047619","0.3463855421686747"
"data_lipinski","SVC_RBF_FP","1.0E-4","1000","cdk_fp","MaxMin","0.01","0.6710540482342808","0.6939484126984128","0.7358803986710963","0.5833333333333334"
"data_lipinski","SVC_RBF_FP","0.001","1000","cdk_fp","MaxMin","0.01","0.6845815802894116","0.7415674603174603","0.7142857142857143","0.5978915662650601"
"data_lipinski","SVC_RBF_FP","0.01","1000","cdk_fp","MaxMin","0.01","0.6522834601603164","0.7033730158730159","0.6716500553709857","0.5818273092369477"
"data_lipinski","SVC_RBF_FP","0.1","1000","cdk_fp","MaxMin","0.01","0.4881798326565769","0.3621031746031746","0.6024363233665561","0.49999999999999994"
"data_lipinski","SVC_RBF_FP","1.0","1000","cdk_fp","MaxMin","0.01","0.6118390598199368","0.714781746031746","0.5564784053156148","0.5642570281124498"
"data_lipinski","SVC_RBF_FP","1.0E-4","1500","cdk_fp","MaxMin","0.01","0.7118852856979784","0.7549603174603176","0.7491694352159469","0.6315261044176705"
"data_lipinski","SVC_RBF_FP","0.001","1500","cdk_fp","MaxMin","0.01","0.7226769295713678","0.7713293650793651","0.7646733111849391","0.6320281124497991"
"data_lipinski","SVC_RBF_FP","0.01","1500","cdk_fp","MaxMin","0.01","0.6543492167266334","0.7043650793650794","0.6843853820598006","0.5742971887550201"
"data_lipinski","SVC_RBF_FP","0.1","1500","cdk_fp","MaxMin","0.01","0.6164324147827931","0.697420634920635","0.5996677740863788","0.5522088353413654"
"data_lipinski","SVC_RBF_FP","1.0","1500","cdk_fp","MaxMin","0.01","0.5619016301455361","0.7311507936507937","0.3466223698781838","0.6079317269076305"
"data_lipinski","SVC_RBF_FP","1.0E-4","2000","cdk_fp","MaxMin","0.01","0.6746613623189696","0.6805555555555556","0.7425249169435216","0.6009036144578312"
"data_lipinski","SVC_RBF_FP","0.001","2000","cdk_fp","MaxMin","0.01","0.677976625957503","0.6929563492063493","0.7350498338870433","0.6059236947791163"
"data_lipinski","SVC_RBF_FP","0.01","2000","cdk_fp","MaxMin","0.01","0.6350308950827305","0.6408730158730159","0.689922480620155","0.5742971887550202"
"data_lipinski","SVC_RBF_FP","0.1","2000","cdk_fp","MaxMin","0.01","0.5688576565397804","0.5863095238095238","0.5675526024363234","0.5527108433734941"
"data_lipinski","SVC_RBF_FP","1.0","2000","cdk_fp","MaxMin","0.01","0.5539113356341572","0.6939484126984127","0.39424141749723146","0.5735441767068273"
"data_lipinski","SVC_RBF_FP","1.0E-4","1000","rdkit_fp","Standard","0.01","0.7126010965234136","0.7782738095238095","0.7375415282392027","0.6219879518072288"
"data_lipinski","SVC_RBF_FP","0.001","1000","rdkit_fp","Standard","0.01","0.6974657581970555","0.7222222222222223","0.7386489479512736","0.6315261044176707"
"data_lipinski","SVC_RBF_FP","0.01","1000","rdkit_fp","Standard","0.01","0.5859452483244162","0.7157738095238095","0.5902547065337763","0.4518072289156626"
"data_lipinski","SVC_RBF_FP","0.1","1000","rdkit_fp","Standard","0.01","0.501984126984127","0.5059523809523809","0.5","0.5"
"data_lipinski","SVC_RBF_FP","1.0","1000","rdkit_fp","Standard","0.01","0.5","0.5","0.5","0.5"
