"NAME [String]","METHOD [String]","featuresColumn [String]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"data_lipinski","WEKA_NB_MN","rdkit_fp","0.7463468213941035","0.793154761904762","0.732281284606866","0.7136044176706827"
"data_lipinski","WEKA_NB_MN","cdk_fp","0.7228088248156895","0.7490079365079365","0.7095791805094133","0.7098393574297188"
"data_tuberculosis","WEKA_NB_MN","rdkit_fp","0.7002924375228456","0.691415143194949","0.6976541154371647","0.7118080539364231"
"data_tuberculosis","WEKA_NB_MN","cdk_fp","0.7065995412136828","0.699493641751539","0.7122139685792404","0.7080910133102688"
"data_chagas","WEKA_NB_MN","rdkit_fp","0.7972420570974076","0.7980850992973136","0.8058227467967404","0.7878183251981691"
"data_chagas","WEKA_NB_MN","cdk_fp","0.7893176093955449","0.7906219819499783","0.7977258663366332","0.779604979900023"
"data_solubility","WEKA_NB_MN","rdkit_fp","0.7627811181129868","0.8597127937336814","0.7823419820966055","0.646288578508673"
"data_solubility","WEKA_NB_MN","cdk_fp","0.76991589618311","0.8546736292428198","0.8051529058935794","0.6499211534129309"
"data_herg","WEKA_NB_MN","rdkit_fp","0.8407033622596837","0.7889798418532132","0.8790007806401249","0.8541294642857131"
"data_herg","WEKA_NB_MN","cdk_fp","0.8388295019289019","0.7830493373426887","0.8764358202297312","0.857003348214286"
"data_malaria","WEKA_NB_MN","rdkit_fp","0.9598009807035394","0.9678014161148715","0.9657837110519144","0.9458178149438323"
"data_malaria","WEKA_NB_MN","cdk_fp","0.9549477658118786","0.9655218099171735","0.9603514233702003","0.938970064148262"
"data_bubonic","WEKA_NB_MN","rdkit_fp","0.6822469147453779","0.672640908342256","0.6909086169405595","0.6831912189533182"
"data_bubonic","WEKA_NB_MN","cdk_fp","0.6678324688538521","0.6497858416148528","0.6856312421136372","0.6680803228330663"
"data_kcnq","WEKA_NB_MN","rdkit_fp","0.6710444217749744","0.6647270192897973","0.6764253185801321","0.6719809274549937"
"data_kcnq","WEKA_NB_MN","cdk_fp","0.6797952285213036","0.6771219870389911","0.6838959940189545","0.6783677045059652"
