name,method,feature,depth,bins,rmse,f1,f2,f3
MalariaNovartis,DTR,cdk_fp,5,32,0.5789163557114717,0.5918586833776959,0.5735747602989114,0.5713156234578081
MalariaNovartis,DTR,cdk_fp,5,64,0.5789163557114717,0.5918586833776959,0.5735747602989114,0.5713156234578081
MalariaNovartis,DTR,cdk_fp,5,128,0.5789163557114717,0.5918586833776959,0.5735747602989114,0.5713156234578081
MalariaNovartis,DTR,cdk_fp,10,32,0.5777124905038169,0.5789728763843712,0.5753107345062433,0.5788538606208364
MalariaNovartis,DTR,cdk_fp,10,64,0.5777124905038169,0.5789728763843712,0.5753107345062433,0.5788538606208364
MalariaNovartis,DTR,cdk_fp,10,128,0.5777124905038169,0.5789728763843712,0.5753107345062433,0.5788538606208364
MalariaNovartis,DTR,cdk_fp,15,32,0.5876968131266281,0.5801435107515007,0.5878194967498097,0.595127431878574
MalariaNovartis,DTR,cdk_fp,15,64,0.5876968131266281,0.5801435107515007,0.5878194967498097,0.595127431878574
MalariaNovartis,DTR,cdk_fp,15,128,0.5876968131266281,0.5801435107515007,0.5878194967498097,0.595127431878574
MalariaNovartis,DTR,cdk_fp,20,32,0.5943216954462927,0.5852752985241624,0.5946650399379441,0.6030247478767717
MalariaNovartis,DTR,cdk_fp,20,64,0.5943216954462927,0.5852752985241624,0.5946650399379441,0.6030247478767717
MalariaNovartis,DTR,cdk_fp,20,128,0.5943216954462927,0.5852752985241624,0.5946650399379441,0.6030247478767717
MalariaNovartis,DTR,cdk_fp,30,32,0.610135822112056,0.6158735995263209,0.6064415544093,0.608092312400547
MalariaNovartis,DTR,cdk_fp,30,64,0.610135822112056,0.6158735995263209,0.6064415544093,0.608092312400547
MalariaNovartis,DTR,cdk_fp,30,128,0.610135822112056,0.6158735995263209,0.6064415544093,0.608092312400547
MalariaNovartis,DTR,rdkit_fp,5,32,0.5823456019354629,0.6031135378394795,0.5724158641260764,0.5715074038408329
MalariaNovartis,DTR,rdkit_fp,5,64,0.5823456019354629,0.6031135378394795,0.5724158641260764,0.5715074038408329
MalariaNovartis,DTR,rdkit_fp,5,128,0.5823456019354629,0.6031135378394795,0.5724158641260764,0.5715074038408329
MalariaNovartis,DTR,rdkit_fp,10,32,0.5754293182514285,0.5849591618134669,0.5692100398358747,0.5721187531049441
MalariaNovartis,DTR,rdkit_fp,10,64,0.5754293182514285,0.5849591618134669,0.5692100398358747,0.5721187531049441
