name,method,feature,maxIter,maxDepth,lossType,rmse,f1,f2,f3
Xanthine-Bostaurus,GBT,cdk_fp,5,5,squared,0.8253897225139087,0.7803276916161489,0.8325055358336464,0.8633359400919313
Xanthine-Bostaurus,GBT,cdk_fp,5,5,absolute,0.8263829702769971,0.770115590251582,0.8570111170801775,0.8520222034992322
Xanthine-Bostaurus,GBT,cdk_fp,5,10,squared,0.8334611293031303,0.772124051001416,0.8326623173452427,0.8955970195627322
Xanthine-Bostaurus,GBT,cdk_fp,5,10,absolute,0.8346240587163312,0.7727244485321249,0.8333402987755753,0.8978074288412934
Xanthine-Bostaurus,GBT,cdk_fp,5,20,squared,0.8540289631406647,0.794479946269219,0.8506959126152012,0.9169110305375741
Xanthine-Bostaurus,GBT,cdk_fp,5,20,absolute,0.8626514983279747,0.7958137466009751,0.860832433730694,0.9313083146522553
Xanthine-Bostaurus,GBT,rdkit_fp,5,5,squared,0.802595680562306,0.7286101677247249,0.8699826380553743,0.8091942359068193
Xanthine-Bostaurus,GBT,rdkit_fp,5,5,absolute,0.8024389316506331,0.7399067220988775,0.8672411643120334,0.8001689085409885
Xanthine-Bostaurus,GBT,rdkit_fp,5,10,squared,0.8440885369411759,0.7636688440157718,0.8763995445488996,0.8921972222588566
Xanthine-Bostaurus,GBT,rdkit_fp,5,10,absolute,0.8439966682555934,0.7354334371474683,0.8780114035788731,0.9185451640404387
Xanthine-Bostaurus,GBT,rdkit_fp,5,20,squared,0.8642243397931331,0.8063344625916168,0.8775160764366505,0.908822480351132
Xanthine-Bostaurus,GBT,rdkit_fp,5,20,absolute,0.870812251094007,0.8030848210709735,0.8958769671183787,0.9134749650926687
Xanthine-Bostaurus,GBT,cdk_desc,5,5,squared,0.9439038550103198,1.1099894001751183,0.8863415532444526,0.8353806116113889
Xanthine-Bostaurus,GBT,cdk_desc,5,5,absolute,0.9461044777046714,1.1182055846614398,0.8863727920898878,0.8337350563626866
Xanthine-Bostaurus,GBT,cdk_desc,5,10,squared,1.016688432683786,1.197696111181146,0.9367941041635898,0.9155750827066226
Xanthine-Bostaurus,GBT,cdk_desc,5,10,absolute,1.0210966714177379,1.1949912587230913,0.9447895113310256,0.9235092441990965
Xanthine-Bostaurus,GBT,cdk_desc,5,20,squared,1.0230500930846471,1.2084477681549741,0.9341335772129569,0.9265689338860106
Xanthine-Bostaurus,GBT,cdk_desc,5,20,absolute,1.0264670930491115,1.2158075862710331,0.9368431138674524,0.9267505790088495
Xanthine-Bostaurus,GBT,rdkit_desc,5,5,squared,0.9880508642156147,0.9798479817571071,0.9912086132676974,0.9930959976220398
Xanthine-Bostaurus,GBT,rdkit_desc,5,5,absolute,1.0121722353146896,1.0039069922947252,0.9922295192878746,1.0403801943614697
Xanthine-Bostaurus,GBT,rdkit_desc,5,10,squared,1.0236892290357078,1.0136285021724865,1.0809796421768558,0.9764595427577816
Xanthine-Bostaurus,GBT,rdkit_desc,5,10,absolute,1.0440855482537723,1.0455288528953088,1.0803340851088772,1.006393706757131
Xanthine-Bostaurus,GBT,rdkit_desc,5,20,squared,1.0370345813153832,1.0192333516789476,1.0943302381428868,0.9975401541243155
Xanthine-Bostaurus,GBT,rdkit_desc,5,20,absolute,1.0364179880775106,1.0173678031400069,1.093385627606788,0.9985005334857374
Xanthine-Bostaurus,GBT,cdk_fp,10,5,squared,0.8154264625005477,0.7700853482815202,0.8222924739135278,0.8539015653065952
Xanthine-Bostaurus,GBT,cdk_fp,10,5,absolute,0.8237680194283011,0.7640016914195045,0.8565068730780446,0.8507954937873543
Xanthine-Bostaurus,GBT,cdk_fp,10,10,squared,0.8311900670629975,0.7685093363288794,0.8302056931009896,0.8948551717591233
Xanthine-Bostaurus,GBT,cdk_fp,10,10,absolute,0.831160041901811,0.7716235352860561,0.8292284307875468,0.8926281596318302
Xanthine-Bostaurus,GBT,cdk_fp,10,20,squared,0.854535977395668,0.7953291445733247,0.8508439612075651,0.9174348264061142
Xanthine-Bostaurus,GBT,cdk_fp,10,20,absolute,0.8743925285791332,0.8151349891395843,0.8579113092898836,0.9501312873079316
Xanthine-Bostaurus,GBT,rdkit_fp,10,5,squared,0.7959918020943273,0.7353541464789123,0.8498623616397862,0.8027588981642834
Xanthine-Bostaurus,GBT,rdkit_fp,10,5,absolute,0.7963551677636811,0.7251001123051034,0.8631403191082445,0.8008250718776954
Xanthine-Bostaurus,GBT,rdkit_fp,10,10,squared,0.843433228702347,0.7653829084454368,0.8728998285658367,0.8920169490957677
Xanthine-Bostaurus,GBT,rdkit_fp,10,10,absolute,0.8425116872908414,0.7303457184965078,0.8683689246803584,0.9288204186956582
Xanthine-Bostaurus,GBT,rdkit_fp,10,20,squared,0.8633234798977526,0.8050730321868549,0.8752177686261267,0.9096796388802761
Xanthine-Bostaurus,GBT,rdkit_fp,10,20,absolute,0.8776878778609356,0.8135555376133177,0.9006334317224025,0.918874664247087
Xanthine-Bostaurus,GBT,cdk_desc,10,5,squared,0.9467485734002943,1.1250262637659032,0.8925728413958153,0.8226466150391644
Xanthine-Bostaurus,GBT,cdk_desc,10,5,absolute,0.9500070053931676,1.1309945655680462,0.8806378794730536,0.8383885711384031
Xanthine-Bostaurus,GBT,cdk_desc,10,10,squared,1.0187846275780272,1.2014235951292072,0.9387137016638087,0.916216585941066
Xanthine-Bostaurus,GBT,cdk_desc,10,10,absolute,1.0277751553741865,1.191247037148114,0.9498002024033773,0.942278226571068
Xanthine-Bostaurus,GBT,cdk_desc,10,20,squared,1.0230188239616913,1.2083393479711835,0.9341481900278802,0.9265689338860106
Xanthine-Bostaurus,GBT,cdk_desc,10,20,absolute,1.0305005707554264,1.2139724904244793,0.9414222436647768,0.9361069781770237
Xanthine-Bostaurus,GBT,rdkit_desc,10,5,squared,0.9767313785862634,0.9599778758501402,0.990661297230135,0.979554962678515
Xanthine-Bostaurus,GBT,rdkit_desc,10,5,absolute,1.0051706626673238,0.9928064142304834,0.99945512305945,1.0232504507120386
Xanthine-Bostaurus,GBT,rdkit_desc,10,10,squared,1.0209909732497617,1.01073159585022,1.0797251103598273,0.972516213539238
Xanthine-Bostaurus,GBT,rdkit_desc,10,10,absolute,1.0599414723703404,1.0551380898829943,1.101072731616362,1.0236135956116654
Xanthine-Bostaurus,GBT,rdkit_desc,10,20,squared,1.0370349694376846,1.0190067679000858,1.0944660139645637,0.997632126448405
Xanthine-Bostaurus,GBT,rdkit_desc,10,20,absolute,1.0487659172807398,1.0399632012764137,1.0920196291057516,1.0143149214600542
Xanthine-Bostaurus,GBT,cdk_fp,50,5,squared,0.8069524789966344,0.7665237680121947,0.8130957059956985,0.8412379629820101
Xanthine-Bostaurus,GBT,cdk_fp,50,5,absolute,0.8118826082616641,0.7501185008157059,0.8466236554700968,0.8389056684991898
Xanthine-Bostaurus,GBT,cdk_fp,50,10,squared,0.8315237339387482,0.7691381024430061,0.8360531320814214,0.8893799672918171
Xanthine-Bostaurus,GBT,cdk_fp,50,10,absolute,0.8514391758548642,0.7790984729918937,0.8560989371949838,0.9191201173777152
