"NAME [String]","METHOD [String]","foldSize [Int]","elasticNetParam [Double]","scalerType [String]","featuresColumn [String]","maxIter [Int]","lambda [Double]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"ADMECaco2","LR_EL_FOLD_FP","500","0.0","MaxMin","rdkit_fp","10","1.0","0.6286405697191865","0.6089060701401491","0.6717680314657989","0.6052476075516113"
"ADMECaco2","LR_EL_FOLD_FP","1000","0.0","MaxMin","rdkit_fp","10","1.0","0.6255342950039832","0.5852318343952574","0.6947539969877883","0.5966170536289039"
"ADMECaco2","LR_EL_FOLD_FP","1500","0.0","MaxMin","rdkit_fp","10","1.0","0.6352755921583823","0.6145831456806989","0.678860229123023","0.6123834016714247"
"ADMECaco2","LR_EL_FOLD_FP","2000","0.0","MaxMin","rdkit_fp","10","1.0","0.6467027726786171","0.6116186619688471","0.7056803932443403","0.6228092628226638"
"ADMECaco2","LR_EL_FOLD_FP","500","0.25","MaxMin","rdkit_fp","10","1.0","0.7715059350279038","0.7454743756645521","0.8263645203571698","0.7426789090619892"
"ADMECaco2","LR_EL_FOLD_FP","1000","0.25","MaxMin","rdkit_fp","10","1.0","0.7617633124669169","0.733265854604452","0.8124142174900735","0.7396098653062253"
"ADMECaco2","LR_EL_FOLD_FP","1500","0.25","MaxMin","rdkit_fp","10","1.0","0.7613612188282941","0.7348006452241352","0.8136925480589364","0.7355904632018109"
"ADMECaco2","LR_EL_FOLD_FP","2000","0.25","MaxMin","rdkit_fp","10","1.0","0.7586871289166742","0.7322529463416941","0.8148837289880291","0.7289247114202994"
"ADMECaco2","LR_EL_FOLD_FP","500","0.5","MaxMin","rdkit_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1000","0.5","MaxMin","rdkit_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1500","0.5","MaxMin","rdkit_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","2000","0.5","MaxMin","rdkit_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","500","0.75","MaxMin","rdkit_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1000","0.75","MaxMin","rdkit_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1500","0.75","MaxMin","rdkit_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","2000","0.75","MaxMin","rdkit_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","500","1.0","MaxMin","rdkit_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1000","1.0","MaxMin","rdkit_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1500","1.0","MaxMin","rdkit_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","2000","1.0","MaxMin","rdkit_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","500","0.0","Standard","rdkit_fp","10","1.0","0.6286405697191865","0.6089060701401493","0.6717680314657987","0.6052476075516117"
"ADMECaco2","LR_EL_FOLD_FP","1000","0.0","Standard","rdkit_fp","10","1.0","0.6255342950039834","0.5852318343952577","0.6947539969877886","0.5966170536289039"
"ADMECaco2","LR_EL_FOLD_FP","1500","0.0","Standard","rdkit_fp","10","1.0","0.6352755921583823","0.614583145680699","0.6788602291230231","0.6123834016714247"
"ADMECaco2","LR_EL_FOLD_FP","2000","0.0","Standard","rdkit_fp","10","1.0","0.6467027726786171","0.6116186619688475","0.7056803932443414","0.6228092628226626"
"ADMECaco2","LR_EL_FOLD_FP","500","0.25","Standard","rdkit_fp","10","1.0","0.7715059350279038","0.7454743756645522","0.8263645203571697","0.7426789090619892"
"ADMECaco2","LR_EL_FOLD_FP","1000","0.25","Standard","rdkit_fp","10","1.0","0.7617633124669169","0.7332658546044519","0.8124142174900733","0.7396098653062253"
"ADMECaco2","LR_EL_FOLD_FP","1500","0.25","Standard","rdkit_fp","10","1.0","0.7613612188282941","0.734800645224135","0.8136925480589364","0.735590463201811"
"ADMECaco2","LR_EL_FOLD_FP","2000","0.25","Standard","rdkit_fp","10","1.0","0.7586871289166742","0.7322529463416942","0.8148837289880292","0.7289247114202992"
"ADMECaco2","LR_EL_FOLD_FP","500","0.5","Standard","rdkit_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1000","0.5","Standard","rdkit_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1500","0.5","Standard","rdkit_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","2000","0.5","Standard","rdkit_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","500","0.75","Standard","rdkit_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1000","0.75","Standard","rdkit_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1500","0.75","Standard","rdkit_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","2000","0.75","Standard","rdkit_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","500","1.0","Standard","rdkit_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1000","1.0","Standard","rdkit_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1500","1.0","Standard","rdkit_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","2000","1.0","Standard","rdkit_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","500","0.0","MaxMin","cdk_fp","10","1.0","0.6285951184953243","0.599849864680135","0.6704256372362494","0.6155098535695889"
"ADMECaco2","LR_EL_FOLD_FP","1000","0.0","MaxMin","cdk_fp","10","1.0","0.6260370425428489","0.6072071382726315","0.6738871992817372","0.5970167900741778"
"ADMECaco2","LR_EL_FOLD_FP","1500","0.0","MaxMin","cdk_fp","10","1.0","0.6362338390504231","0.6106431307724473","0.686300270213166","0.6117581161656558"
"ADMECaco2","LR_EL_FOLD_FP","2000","0.0","MaxMin","cdk_fp","10","1.0","0.6378464871426597","0.6148639873783397","0.695135255260721","0.6035402187889182"
"ADMECaco2","LR_EL_FOLD_FP","500","0.25","MaxMin","cdk_fp","10","1.0","0.7737739673367093","0.7386913655041908","0.8270297747196081","0.7556007617863293"
"ADMECaco2","LR_EL_FOLD_FP","1000","0.25","MaxMin","cdk_fp","10","1.0","0.7679051831795446","0.732147782025751","0.8265658257013554","0.7450019418115271"
"ADMECaco2","LR_EL_FOLD_FP","1500","0.25","MaxMin","cdk_fp","10","1.0","0.7646660487670358","0.7303733462475193","0.8209194662749969","0.7427053337785913"
"ADMECaco2","LR_EL_FOLD_FP","2000","0.25","MaxMin","cdk_fp","10","1.0","0.7669823035452313","0.7333065341199513","0.8240643669216252","0.7435760095941174"
"ADMECaco2","LR_EL_FOLD_FP","500","0.5","MaxMin","cdk_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1000","0.5","MaxMin","cdk_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
