"NAME [String]","METHOD [String]","lambda [Double]","maxIter [Int]","featuresColumn [String]","scalerType [String]","elasticNetParam [Double]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"Caco2","LR_EL_FP","1.0","10","rdkit_fp","MaxMin","0.0","0.728983341421173","0.7225938689748388","0.6958749286847148","0.7684812266039656"
"Caco2","LR_EL_FP","0.1","10","rdkit_fp","MaxMin","0.0","0.7356921238981609","0.7339277687125081","0.6968912827382135","0.7762573202437609"
"Caco2","LR_EL_FP","0.05","10","rdkit_fp","MaxMin","0.0","0.7367533950961908","0.736527194089826","0.6968748367069734","0.776858154491773"
"Caco2","LR_EL_FP","0.01","10","rdkit_fp","MaxMin","0.0","0.7378031879225185","0.739201960574661","0.6968499203339924","0.777357682858902"
"Caco2","LR_EL_FP","0.005","10","rdkit_fp","MaxMin","0.0","0.7379504090224501","0.7395838733216132","0.6968459874111459","0.7774213663345909"
"Caco2","LR_EL_FP","1.0","100","rdkit_fp","MaxMin","0.0","0.728983341421173","0.7225938689748388","0.6958749286847148","0.7684812266039656"
"Caco2","LR_EL_FP","0.1","100","rdkit_fp","MaxMin","0.0","0.7356921238981609","0.7339277687125081","0.6968912827382135","0.7762573202437609"
"Caco2","LR_EL_FP","0.05","100","rdkit_fp","MaxMin","0.0","0.7367533950961908","0.736527194089826","0.6968748367069734","0.776858154491773"
"Caco2","LR_EL_FP","0.01","100","rdkit_fp","MaxMin","0.0","0.7378031879225185","0.739201960574661","0.6968499203339924","0.777357682858902"
"Caco2","LR_EL_FP","0.005","100","rdkit_fp","MaxMin","0.0","0.7379504090224501","0.7395838733216132","0.6968459874111459","0.7774213663345909"
"Caco2","LR_EL_FP","1.0","500","rdkit_fp","MaxMin","0.0","0.728983341421173","0.7225938689748388","0.6958749286847148","0.7684812266039656"
"Caco2","LR_EL_FP","0.1","500","rdkit_fp","MaxMin","0.0","0.7356921238981609","0.7339277687125081","0.6968912827382135","0.7762573202437609"
"Caco2","LR_EL_FP","0.05","500","rdkit_fp","MaxMin","0.0","0.7367533950961908","0.736527194089826","0.6968748367069734","0.776858154491773"
"Caco2","LR_EL_FP","0.01","500","rdkit_fp","MaxMin","0.0","0.7378031879225185","0.739201960574661","0.6968499203339924","0.777357682858902"
"Caco2","LR_EL_FP","0.005","500","rdkit_fp","MaxMin","0.0","0.7379504090224501","0.7395838733216132","0.6968459874111459","0.7774213663345909"
"Caco2","LR_EL_FP","1.0","10","cdk_fp","MaxMin","0.0","0.722083076847436","0.7381337285988623","0.6775417231083914","0.7505737788350544"
"Caco2","LR_EL_FP","0.1","10","cdk_fp","MaxMin","0.0","0.7367083591300746","0.7690178960985493","0.6797442350124487","0.7613629462792257"
"Caco2","LR_EL_FP","0.05","10","cdk_fp","MaxMin","0.0","0.7392583026813142","0.774910442772855","0.6802655465732959","0.762598918697792"
"Caco2","LR_EL_FP","0.01","10","cdk_fp","MaxMin","0.0","0.7417911872181967","0.7808675870784879","0.6807887180756954","0.7637172565004068"
"Caco2","LR_EL_FP","0.005","10","cdk_fp","MaxMin","0.0","0.7421469036347145","0.7817119704528597","0.6808621348671976","0.7638666055840861"
"Caco2","LR_EL_FP","1.0","100","cdk_fp","MaxMin","0.0","0.722083076847436","0.7381337285988623","0.6775417231083914","0.7505737788350544"
"Caco2","LR_EL_FP","0.1","100","cdk_fp","MaxMin","0.0","0.7367083591300746","0.7690178960985493","0.6797442350124487","0.7613629462792257"
"Caco2","LR_EL_FP","0.05","100","cdk_fp","MaxMin","0.0","0.7392583026813142","0.774910442772855","0.6802655465732959","0.762598918697792"
"Caco2","LR_EL_FP","0.01","100","cdk_fp","MaxMin","0.0","0.7417911872181967","0.7808675870784879","0.6807887180756954","0.7637172565004068"
"Caco2","LR_EL_FP","0.005","100","cdk_fp","MaxMin","0.0","0.7421469036347145","0.7817119704528597","0.6808621348671976","0.7638666055840861"
"Caco2","LR_EL_FP","1.0","500","cdk_fp","MaxMin","0.0","0.722083076847436","0.7381337285988623","0.6775417231083914","0.7505737788350544"
"Caco2","LR_EL_FP","0.1","500","cdk_fp","MaxMin","0.0","0.7367083591300746","0.7690178960985493","0.6797442350124487","0.7613629462792257"
"Caco2","LR_EL_FP","0.05","500","cdk_fp","MaxMin","0.0","0.7392583026813142","0.774910442772855","0.6802655465732959","0.762598918697792"
"Caco2","LR_EL_FP","0.01","500","cdk_fp","MaxMin","0.0","0.7417911872181967","0.7808675870784879","0.6807887180756954","0.7637172565004068"
"Caco2","LR_EL_FP","0.005","500","cdk_fp","MaxMin","0.0","0.7421469036347145","0.7817119704528597","0.6808621348671976","0.7638666055840861"
"Caco2","LR_EL_FP","1.0","10","rdkit_fp","Standard","0.0","0.7289833414211713","0.7225938689748408","0.6958749286847148","0.7684812266039582"
"Caco2","LR_EL_FP","0.1","10","rdkit_fp","Standard","0.0","0.7356921238981594","0.7339277687125131","0.696891282738217","0.776257320243748"
"Caco2","LR_EL_FP","0.05","10","rdkit_fp","Standard","0.0","0.7367533950962039","0.7365271940898682","0.6968748367070028","0.7768581544917407"
"Caco2","LR_EL_FP","0.01","10","rdkit_fp","Standard","0.0","0.7378031879222148","0.73920196057455","0.6968499203340108","0.7773576828580839"
"Caco2","LR_EL_FP","0.005","10","rdkit_fp","Standard","0.0","0.7379504090223956","0.7395838733219448","0.6968459874111993","0.7774213663340427"
"Caco2","LR_EL_FP","1.0","100","rdkit_fp","Standard","0.0","0.7289833414211713","0.7225938689748408","0.6958749286847148","0.7684812266039582"
"Caco2","LR_EL_FP","0.1","100","rdkit_fp","Standard","0.0","0.7356921238981594","0.7339277687125131","0.696891282738217","0.776257320243748"
"Caco2","LR_EL_FP","0.05","100","rdkit_fp","Standard","0.0","0.7367533950962039","0.7365271940898682","0.6968748367070028","0.7768581544917407"
"Caco2","LR_EL_FP","0.01","100","rdkit_fp","Standard","0.0","0.7378031879222148","0.73920196057455","0.6968499203340108","0.7773576828580839"
"Caco2","LR_EL_FP","0.005","100","rdkit_fp","Standard","0.0","0.7379504090223956","0.7395838733219448","0.6968459874111993","0.7774213663340427"
"Caco2","LR_EL_FP","1.0","500","rdkit_fp","Standard","0.0","0.7289833414211713","0.7225938689748408","0.6958749286847148","0.7684812266039582"
"Caco2","LR_EL_FP","0.1","500","rdkit_fp","Standard","0.0","0.7356921238981594","0.7339277687125131","0.696891282738217","0.776257320243748"
"Caco2","LR_EL_FP","0.05","500","rdkit_fp","Standard","0.0","0.7367533950962039","0.7365271940898682","0.6968748367070028","0.7768581544917407"
"Caco2","LR_EL_FP","0.01","500","rdkit_fp","Standard","0.0","0.7378031879222148","0.73920196057455","0.6968499203340108","0.7773576828580839"
"Caco2","LR_EL_FP","0.005","500","rdkit_fp","Standard","0.0","0.7379504090223956","0.7395838733219448","0.6968459874111993","0.7774213663340427"
"Caco2","LR_EL_FP","1.0","10","cdk_fp","Standard","0.0","0.7220830768474396","0.7381337285988729","0.677541723108391","0.7505737788350547"
"Caco2","LR_EL_FP","0.1","10","cdk_fp","Standard","0.0","0.7367083591300762","0.7690178960985993","0.6797442350124523","0.761362946279177"
"Caco2","LR_EL_FP","0.05","10","cdk_fp","Standard","0.0","0.7392583026813485","0.7749104427730316","0.6802655465733081","0.7625989186977061"
"Caco2","LR_EL_FP","0.01","10","cdk_fp","Standard","0.0","0.7417911872182829","0.7808675870787809","0.680788718075793","0.7637172565002749"
"Caco2","LR_EL_FP","0.005","10","cdk_fp","Standard","0.0","0.7421469036353526","0.7817119704543323","0.6808621348675171","0.7638666055842085"
"Caco2","LR_EL_FP","1.0","100","cdk_fp","Standard","0.0","0.7220830768474396","0.7381337285988729","0.677541723108391","0.7505737788350547"
"Caco2","LR_EL_FP","0.1","100","cdk_fp","Standard","0.0","0.7367083591300762","0.7690178960985993","0.6797442350124523","0.761362946279177"
"Caco2","LR_EL_FP","0.05","100","cdk_fp","Standard","0.0","0.7392583026813485","0.7749104427730316","0.6802655465733081","0.7625989186977061"
"Caco2","LR_EL_FP","0.01","100","cdk_fp","Standard","0.0","0.7417911872182829","0.7808675870787809","0.680788718075793","0.7637172565002749"
"Caco2","LR_EL_FP","0.005","100","cdk_fp","Standard","0.0","0.7421469036353526","0.7817119704543323","0.6808621348675171","0.7638666055842085"
"Caco2","LR_EL_FP","1.0","500","cdk_fp","Standard","0.0","0.7220830768474396","0.7381337285988729","0.677541723108391","0.7505737788350547"
"Caco2","LR_EL_FP","0.1","500","cdk_fp","Standard","0.0","0.7367083591300762","0.7690178960985993","0.6797442350124523","0.761362946279177"
"Caco2","LR_EL_FP","0.05","500","cdk_fp","Standard","0.0","0.7392583026813485","0.7749104427730316","0.6802655465733081","0.7625989186977061"
"Caco2","LR_EL_FP","0.01","500","cdk_fp","Standard","0.0","0.7417911872182829","0.7808675870787809","0.680788718075793","0.7637172565002749"
"Caco2","LR_EL_FP","0.005","500","cdk_fp","Standard","0.0","0.7421469036353526","0.7817119704543323","0.6808621348675171","0.7638666055842085"
"Caco2","LR_EL_FP","1.0","10","rdkit_fp","MaxMin","0.25","0.7512190464576172","0.7622778776648684","0.6617714733107368","0.8296077883972465"
"Caco2","LR_EL_FP","0.1","10","rdkit_fp","MaxMin","0.25","0.6945401016110565","0.6892897409153959","0.6631568203743314","0.7311737435434423"
"Caco2","LR_EL_FP","0.05","10","rdkit_fp","MaxMin","0.25","0.7103053696707026","0.6766846140193316","0.6863062869400006","0.7679252080527756"
"Caco2","LR_EL_FP","0.01","10","rdkit_fp","MaxMin","0.25","0.7255214768985789","0.7174261398949402","0.6900029677945353","0.7691353230062614"
"Caco2","LR_EL_FP","0.005","10","rdkit_fp","MaxMin","0.25","0.7302707352583923","0.7229677141741715","0.6948187697951586","0.7730257218058466"
"Caco2","LR_EL_FP","1.0","100","rdkit_fp","MaxMin","0.25","0.7504936472008974","0.7609255764587489","0.6613543684460319","0.8292009966979114"
"Caco2","LR_EL_FP","0.1","100","rdkit_fp","MaxMin","0.25","0.6930045473468908","0.6832478503865237","0.6858496635974493","0.7099161280566993"
"Caco2","LR_EL_FP","0.05","100","rdkit_fp","MaxMin","0.25","0.7035228471294316","0.6880744593290645","0.6962933530320267","0.7262007290272039"
"Caco2","LR_EL_FP","0.01","100","rdkit_fp","MaxMin","0.25","0.7204372407347011","0.7079149090512402","0.7089965796526143","0.7444002335002485"
"Caco2","LR_EL_FP","0.005","100","rdkit_fp","MaxMin","0.25","0.7152288113159168","0.7207466839092569","0.6753078285980104","0.7496319214404831"
"Caco2","LR_EL_FP","1.0","500","rdkit_fp","MaxMin","0.25","0.7504936472008974","0.7609255764587489","0.6613543684460319","0.8292009966979114"
"Caco2","LR_EL_FP","0.1","500","rdkit_fp","MaxMin","0.25","0.6930526831240731","0.6831170686342286","0.6857712561558844","0.7102697245821062"
"Caco2","LR_EL_FP","0.05","500","rdkit_fp","MaxMin","0.25","0.705099639051519","0.6880724921892432","0.7027494343868472","0.7244769905784665"
"Caco2","LR_EL_FP","0.01","500","rdkit_fp","MaxMin","0.25","0.7200121724691364","0.7010810157347015","0.7153468609864045","0.7436086406863034"
"Caco2","LR_EL_FP","0.005","500","rdkit_fp","MaxMin","0.25","0.7208840850507013","0.7020797718107931","0.713209290113422","0.7473631932278889"
"Caco2","LR_EL_FP","1.0","10","cdk_fp","MaxMin","0.25","0.7405106896066621","0.7596937669130567","0.6523684210378035","0.8094698808691262"
"Caco2","LR_EL_FP","0.1","10","cdk_fp","MaxMin","0.25","0.6747277869741793","0.6208108707073391","0.6430702362712363","0.7603022539439623"
"Caco2","LR_EL_FP","0.05","10","cdk_fp","MaxMin","0.25","0.7076142553184649","0.6901919848069787","0.6682144372375264","0.7644363439108895"
"Caco2","LR_EL_FP","0.01","10","cdk_fp","MaxMin","0.25","0.7239951416078529","0.7444664425882458","0.6742188118726817","0.7533001703626312"
"Caco2","LR_EL_FP","0.005","10","cdk_fp","MaxMin","0.25","0.7335910786758761","0.7699405705069302","0.6757789466169213","0.7550537189037768"
"Caco2","LR_EL_FP","1.0","100","cdk_fp","MaxMin","0.25","0.739886515895753","0.7582140560963588","0.651985643049039","0.8094598485418609"
"Caco2","LR_EL_FP","0.1","100","cdk_fp","MaxMin","0.25","0.664708792621917","0.5987724739528625","0.655897936002809","0.7394559679100792"
"Caco2","LR_EL_FP","0.05","100","cdk_fp","MaxMin","0.25","0.6733640073259908","0.6028943349204499","0.67421539936311","0.7429822876944124"
"Caco2","LR_EL_FP","0.01","100","cdk_fp","MaxMin","0.25","0.6788294516271751","0.6276004789261515","0.6715166749202425","0.7373712010351312"
"Caco2","LR_EL_FP","0.005","100","cdk_fp","MaxMin","0.25","0.6979615767298629","0.6578820617839941","0.6726490720817713","0.7633535963238234"
"Caco2","LR_EL_FP","1.0","500","cdk_fp","MaxMin","0.25","0.739886515895753","0.7582140560963588","0.651985643049039","0.8094598485418609"
"Caco2","LR_EL_FP","0.1","500","cdk_fp","MaxMin","0.25","0.6647299747385721","0.5988554042623628","0.6559069085249088","0.7394276114284446"
"Caco2","LR_EL_FP","0.05","500","cdk_fp","MaxMin","0.25","0.6728762572716017","0.6031036687043647","0.6720994768971283","0.743425626213312"
"Caco2","LR_EL_FP","0.01","500","cdk_fp","MaxMin","0.25","0.6847572183673963","0.6268695444397038","0.6809996638704758","0.7464024467920093"
"Caco2","LR_EL_FP","0.005","500","cdk_fp","MaxMin","0.25","0.6879629840054174","0.6322487800242701","0.682653119149875","0.7489870528421071"
"Caco2","LR_EL_FP","1.0","10","rdkit_fp","Standard","0.25","0.7512190464576172","0.762277877664869","0.6617714733107365","0.8296077883972458"
"Caco2","LR_EL_FP","0.1","10","rdkit_fp","Standard","0.25","0.6945401016110573","0.6892897409154027","0.6631568203743305","0.7311737435434383"
"Caco2","LR_EL_FP","0.05","10","rdkit_fp","Standard","0.25","0.7103053696707025","0.6766846140193343","0.6863062869399997","0.7679252080527732"
