"NAME [String]","METHOD [String]","lambda [Double]","l1Ratio [Double]","scalerType [String]","featuresColumn [String]","maxIter [Int]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"MouseRatTox","MLTK_EL_FOLD_FP","1.0","0.5","MaxMin","rdkit_fp","10","1.5168997443923746","1.58851023975716","1.4867959684721832","1.4753930249477798"
"MouseRatTox","MLTK_EL_FOLD_FP","0.1","0.5","MaxMin","rdkit_fp","10","1.5168997443923746","1.58851023975716","1.4867959684721832","1.4753930249477798"
"MouseRatTox","MLTK_EL_FOLD_FP","0.05","0.5","MaxMin","rdkit_fp","10","1.5168997443923746","1.58851023975716","1.4867959684721832","1.4753930249477798"
"MouseRatTox","MLTK_EL_FOLD_FP","0.01","0.5","MaxMin","rdkit_fp","10","1.5168997443923746","1.58851023975716","1.4867959684721832","1.4753930249477798"
"MouseRatTox","MLTK_EL_FOLD_FP","0.005","0.5","MaxMin","rdkit_fp","10","1.5168997443923746","1.58851023975716","1.4867959684721832","1.4753930249477798"
"MouseRatTox","MLTK_EL_FOLD_FP","1.0","0.6","MaxMin","rdkit_fp","10","1.5168997443923746","1.58851023975716","1.4867959684721832","1.4753930249477798"
"MouseRatTox","MLTK_EL_FOLD_FP","0.1","0.6","MaxMin","rdkit_fp","10","1.5168997443923746","1.58851023975716","1.4867959684721832","1.4753930249477798"
"MouseRatTox","MLTK_EL_FOLD_FP","0.05","0.6","MaxMin","rdkit_fp","10","1.5168997443923746","1.58851023975716","1.4867959684721832","1.4753930249477798"
"MouseRatTox","MLTK_EL_FOLD_FP","0.01","0.6","MaxMin","rdkit_fp","10","1.5168997443923746","1.58851023975716","1.4867959684721832","1.4753930249477798"
"MouseRatTox","MLTK_EL_FOLD_FP","0.005","0.6","MaxMin","rdkit_fp","10","1.5168997443923746","1.58851023975716","1.4867959684721832","1.4753930249477798"
"MouseRatTox","MLTK_EL_FOLD_FP","1.0","0.7","MaxMin","rdkit_fp","10","1.5168997443923746","1.58851023975716","1.4867959684721832","1.4753930249477798"
"MouseRatTox","MLTK_EL_FOLD_FP","0.1","0.7","MaxMin","rdkit_fp","10","1.5168997443923746","1.58851023975716","1.4867959684721832","1.4753930249477798"
"MouseRatTox","MLTK_EL_FOLD_FP","0.05","0.7","MaxMin","rdkit_fp","10","1.5168997443923746","1.58851023975716","1.4867959684721832","1.4753930249477798"
"MouseRatTox","MLTK_EL_FOLD_FP","0.01","0.7","MaxMin","rdkit_fp","10","1.5168997443923746","1.58851023975716","1.4867959684721832","1.4753930249477798"
"MouseRatTox","MLTK_EL_FOLD_FP","0.005","0.7","MaxMin","rdkit_fp","10","1.5168997443923746","1.58851023975716","1.4867959684721832","1.4753930249477798"
"MouseRatTox","MLTK_EL_FOLD_FP","1.0","0.8","MaxMin","rdkit_fp","10","1.5168997443923746","1.58851023975716","1.4867959684721832","1.4753930249477798"
"MouseRatTox","MLTK_EL_FOLD_FP","0.1","0.8","MaxMin","rdkit_fp","10","1.5168997443923746","1.58851023975716","1.4867959684721832","1.4753930249477798"
"MouseRatTox","MLTK_EL_FOLD_FP","0.05","0.8","MaxMin","rdkit_fp","10","1.5168997443923746","1.58851023975716","1.4867959684721832","1.4753930249477798"
"MouseRatTox","MLTK_EL_FOLD_FP","0.01","0.8","MaxMin","rdkit_fp","10","1.5168997443923746","1.58851023975716","1.4867959684721832","1.4753930249477798"
