name,method,feature,depth,trees,rmse,f1,f2,f3
Xanthine-Bostaurus,RandomForest,cdk_fp,2,5,0.9182285343009422,0.9799587163947107,0.8820540301040795,0.8926728564040365
Xanthine-Bostaurus,RandomForest,cdk_fp,2,10,0.9055583039292957,0.9609861203268295,0.9056844303527211,0.850004361108337
Xanthine-Bostaurus,RandomForest,cdk_fp,2,20,0.9154295815955482,0.9768173458890841,0.8875392002700078,0.881932198627553
Xanthine-Bostaurus,RandomForest,cdk_fp,2,30,0.9130030220220748,0.9953942744269167,0.8698339346089391,0.873780857030369
Xanthine-Bostaurus,RandomForest,cdk_fp,2,40,0.9025998416267884,0.9675949121734638,0.8609023642822601,0.8793022484246414
Xanthine-Bostaurus,RandomForest,cdk_fp,2,50,0.9027857803232959,0.9536438319545925,0.885090315028714,0.8696231939865813
Xanthine-Bostaurus,RandomForest,cdk_fp,2,60,0.8931368009023415,0.9541690737018494,0.8589003269548586,0.8663410020503163
Xanthine-Bostaurus,RandomForest,cdk_fp,2,70,0.9092348341307863,0.9711097936008128,0.8810227920835179,0.8755719167080284
Xanthine-Bostaurus,RandomForest,cdk_fp,5,5,0.7374812102345972,0.8926565588938243,0.6723322968051476,0.6474547750048198
Xanthine-Bostaurus,RandomForest,cdk_fp,5,10,0.7187343727337289,0.8061986433291631,0.6856774830177162,0.6643269918543073
Xanthine-Bostaurus,RandomForest,cdk_fp,5,20,0.7124995598954125,0.8259185030573922,0.6654141349618687,0.6461660416669767
Xanthine-Bostaurus,RandomForest,cdk_fp,5,30,0.7070433207923756,0.8104502283659379,0.6557820226961356,0.6548977113150536
Xanthine-Bostaurus,RandomForest,cdk_fp,5,40,0.6942327017678636,0.7936808196982806,0.6359591488724631,0.6530581367328472
Xanthine-Bostaurus,RandomForest,cdk_fp,5,50,0.6994115820421047,0.7976118441493025,0.6592675474214551,0.6413553545555566
Xanthine-Bostaurus,RandomForest,cdk_fp,5,60,0.6902692213119099,0.7785326846647646,0.6486596635087688,0.6436153157621967
Xanthine-Bostaurus,RandomForest,cdk_fp,5,70,0.6980436267685912,0.7910961891647145,0.6468390515911315,0.6561956395499282
Xanthine-Bostaurus,RandomForest,cdk_fp,10,5,0.7065993987419412,0.8634740494573082,0.6500802042591538,0.6062439425093618
Xanthine-Bostaurus,RandomForest,cdk_fp,10,10,0.6883121233118109,0.801892016428231,0.6541368741485707,0.6089074793586311
Xanthine-Bostaurus,RandomForest,cdk_fp,10,20,0.6905505729637493,0.8341661121944502,0.6313275547867572,0.6061580519100405
Xanthine-Bostaurus,RandomForest,cdk_fp,10,30,0.6774597590153597,0.8083272656362828,0.6248133154624761,0.5992386959473204
Xanthine-Bostaurus,RandomForest,cdk_fp,10,40,0.6715602049889379,0.7814089551763074,0.6205787595584368,0.6126929002320696
Xanthine-Bostaurus,RandomForest,cdk_fp,10,50,0.6715688945509131,0.7922453957166421,0.6345087277594375,0.5879525601766599
Xanthine-Bostaurus,RandomForest,cdk_fp,10,60,0.672207814738397,0.7804556703245478,0.631377594805715,0.6047901790849282
Xanthine-Bostaurus,RandomForest,cdk_fp,10,70,0.6727664379556928,0.7797606043170405,0.630598328933642,0.6079403806163959
Xanthine-Bostaurus,RandomForest,cdk_fp,15,5,0.7043440564320044,0.862610369485418,0.6432052819949283,0.6072165178156671
Xanthine-Bostaurus,RandomForest,cdk_fp,15,10,0.6851361479231063,0.7889266725125677,0.6524400560836411,0.6140417151731105
Xanthine-Bostaurus,RandomForest,cdk_fp,15,20,0.6898232630210807,0.8271344983254666,0.63357381449111,0.6087614762466655
Xanthine-Bostaurus,RandomForest,cdk_fp,15,30,0.6761428831746483,0.8005084392841626,0.6275930670370952,0.6003271432026875
Xanthine-Bostaurus,RandomForest,cdk_fp,15,40,0.6707236598088754,0.7744070101401196,0.6251917366859354,0.6125722326005713
Xanthine-Bostaurus,RandomForest,cdk_fp,15,50,0.6685493721145904,0.7846862094978536,0.6330571704982413,0.5879047363476766
Xanthine-Bostaurus,RandomForest,cdk_fp,15,60,0.6690218742972786,0.7746055200806611,0.6283166593730469,0.6041434434381276
Xanthine-Bostaurus,RandomForest,cdk_fp,15,70,0.670234173397332,0.772881259864822,0.6304628882418117,0.6073583720853625
Xanthine-Bostaurus,RandomForest,cdk_fp,20,5,0.7009562893247369,0.8559828356260615,0.6414577478799145,0.6054282844682346
Xanthine-Bostaurus,RandomForest,cdk_fp,20,10,0.6852449188676358,0.7911204533613478,0.6508876160829948,0.6137266871585647
Xanthine-Bostaurus,RandomForest,cdk_fp,20,20,0.6896826791558156,0.8251769467065926,0.6323897037219384,0.611481387038916
Xanthine-Bostaurus,RandomForest,cdk_fp,20,30,0.6753706800243282,0.7998074054186793,0.624042075045765,0.6022625596085405
Xanthine-Bostaurus,RandomForest,cdk_fp,20,40,0.6700571031295516,0.773460723893423,0.6240498331773118,0.6126607523179197
Xanthine-Bostaurus,RandomForest,cdk_fp,20,50,0.6672316122371195,0.7814778354772426,0.6315445522449719,0.5886724489891438
