"NAME [String]","METHOD [String]","numTrees [Int]","featuresColumn [String]","maxNodes [Int]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"MouseRatTox","SMILE_RFR_DESC","30","rdkit_desc","1000","1.2010346669448249","1.2031147932696789","1.2754369613840724","1.124552246180723"
"MouseRatTox","SMILE_RFR_DESC","40","rdkit_desc","1000","1.174587865541181","1.1754194135806966","1.2351214115362477","1.1132227715065992"
"MouseRatTox","SMILE_RFR_DESC","50","rdkit_desc","1000","1.1905697416082293","1.2206517664213903","1.2578110084860221","1.0932464499172752"
"MouseRatTox","SMILE_RFR_DESC","60","rdkit_desc","1000","1.1898953009489246","1.221710277752993","1.2467339400076582","1.1012416850861229"
"MouseRatTox","SMILE_RFR_DESC","70","rdkit_desc","1000","1.1780195410632006","1.1865260070404275","1.2498467869288825","1.0976858292202913"
"MouseRatTox","SMILE_RFR_DESC","30","cdk_desc","1000","1.22161025102785","1.2636775501184916","1.246870344164043","1.1542828588010148"
"MouseRatTox","SMILE_RFR_DESC","40","cdk_desc","1000","1.2261299625933677","1.2365210227390138","1.2977121895114239","1.1441566755296655"
"MouseRatTox","SMILE_RFR_DESC","50","cdk_desc","1000","1.2156390591940087","1.2356987345493988","1.2536953909201198","1.1575230521125075"
"MouseRatTox","SMILE_RFR_DESC","60","cdk_desc","1000","1.2267196744178657","1.23781872569489","1.292542798634824","1.1497974989238828"
"MouseRatTox","SMILE_RFR_DESC","70","cdk_desc","1000","1.2265651449601696","1.2454604526690212","1.2827691208924168","1.1514658613190707"
"MouseRatTox","SMILE_RFR_DESC","30","rdkit_desc","5000","1.1979999090874112","1.2221440518450746","1.2573655409656743","1.1144901344514848"
"MouseRatTox","SMILE_RFR_DESC","40","rdkit_desc","5000","1.1899677266331363","1.2171169690632602","1.2513429299837804","1.1014432808523682"
"MouseRatTox","SMILE_RFR_DESC","50","rdkit_desc","5000","1.1813204226174852","1.2034015816441523","1.2574254724462237","1.0831342137620799"
"MouseRatTox","SMILE_RFR_DESC","60","rdkit_desc","5000","1.1681564155076913","1.1809719416128877","1.2300228136726337","1.0934744912375531"
"MouseRatTox","SMILE_RFR_DESC","70","rdkit_desc","5000","1.177548947104382","1.1913339820971973","1.2265319947279054","1.1147808644880433"
"MouseRatTox","SMILE_RFR_DESC","30","cdk_desc","5000","1.2172856167355122","1.22644327026946","1.2678402449793955","1.1575733349576816"
"MouseRatTox","SMILE_RFR_DESC","40","cdk_desc","5000","1.214218458552972","1.2282163787179659","1.2707182511441408","1.143720745796809"
"MouseRatTox","SMILE_RFR_DESC","50","cdk_desc","5000","1.2099286032831624","1.2254910380219366","1.2766886544945335","1.1276061173330174"
"MouseRatTox","SMILE_RFR_DESC","60","cdk_desc","5000","1.219147322315951","1.22393497028355","1.2816043855877968","1.151902611076506"
"MouseRatTox","SMILE_RFR_DESC","70","cdk_desc","5000","1.2159461719495146","1.249484245659165","1.2628482381463904","1.135506032042988"
"MouseRatTox","SMILE_RFR_DESC","30","rdkit_desc","10000","1.1696824394044818","1.1892971970116926","1.2478293819713073","1.0719207392304455"
"MouseRatTox","SMILE_RFR_DESC","40","rdkit_desc","10000","1.187825118131878","1.2130033625774608","1.2393201423448201","1.1111518494733537"
"MouseRatTox","SMILE_RFR_DESC","50","rdkit_desc","10000","1.1765532420877687","1.178093576472798","1.236603886916728","1.1149622628737799"
"MouseRatTox","SMILE_RFR_DESC","60","rdkit_desc","10000","1.1892658262372882","1.1924434415623772","1.263290497890098","1.1120635392593892"
"MouseRatTox","SMILE_RFR_DESC","70","rdkit_desc","10000","1.176115486827199","1.1927620982155434","1.231214742725827","1.1043696195402266"
"MouseRatTox","SMILE_RFR_DESC","30","cdk_desc","10000","1.2267465010641125","1.2296511951376399","1.2721804532671557","1.178407854787542"
"MouseRatTox","SMILE_RFR_DESC","40","cdk_desc","10000","1.211903623300933","1.236926158899551","1.2699452985283175","1.1288394124749308"
"MouseRatTox","SMILE_RFR_DESC","50","cdk_desc","10000","1.2085190836396487","1.2167253183935218","1.2643240753378087","1.1445078571876155"
"MouseRatTox","SMILE_RFR_DESC","60","cdk_desc","10000","1.2132631127384081","1.23631705394658","1.2506433278781632","1.1528289563904812"
"MouseRatTox","SMILE_RFR_DESC","70","cdk_desc","10000","1.2160414540577615","1.2218234490140951","1.2561374980114808","1.170163415147709"
"Xanthine-Bostaurus","SMILE_RFR_DESC","30","rdkit_desc","1000","0.8036438906143274","0.9248194870056222","0.8756269392983784","0.6104852455389818"
"Xanthine-Bostaurus","SMILE_RFR_DESC","40","rdkit_desc","1000","0.8011916789136961","0.9067278597970918","0.8934922622541404","0.603354914689856"
"Xanthine-Bostaurus","SMILE_RFR_DESC","50","rdkit_desc","1000","0.7870271182862982","0.8991801915410522","0.8639968850164911","0.5979042783013514"
"Xanthine-Bostaurus","SMILE_RFR_DESC","60","rdkit_desc","1000","0.7836659208148783","0.872250919752137","0.8774717411141197","0.6012751015783784"
"Xanthine-Bostaurus","SMILE_RFR_DESC","70","rdkit_desc","1000","0.7950537742899803","0.9158118235188896","0.8788741745313027","0.5904753248197487"
"Xanthine-Bostaurus","SMILE_RFR_DESC","30","cdk_desc","1000","0.7673459451033752","0.876653577202374","0.844968927305447","0.5804153308023042"
"Xanthine-Bostaurus","SMILE_RFR_DESC","40","cdk_desc","1000","0.7745163951239834","0.8951147937675809","0.8509872069141217","0.5774471846902475"
"Xanthine-Bostaurus","SMILE_RFR_DESC","50","cdk_desc","1000","0.7762335024290635","0.9088154867607225","0.8301593579082109","0.5897256626182571"
"Xanthine-Bostaurus","SMILE_RFR_DESC","60","cdk_desc","1000","0.7639880201369406","0.8705801753238331","0.8325700762855597","0.5888138088014289"
"Xanthine-Bostaurus","SMILE_RFR_DESC","70","cdk_desc","1000","0.7553113337948648","0.8593851966530669","0.8273963001371372","0.5791525045943904"
"Xanthine-Bostaurus","SMILE_RFR_DESC","30","rdkit_desc","5000","0.7815492998251822","0.8866825955999823","0.8699111169164049","0.5880541869591591"
"Xanthine-Bostaurus","SMILE_RFR_DESC","40","rdkit_desc","5000","0.7903356920807386","0.9059292202999756","0.8722234974238975","0.5928543585183427"
"Xanthine-Bostaurus","SMILE_RFR_DESC","50","rdkit_desc","5000","0.7901421577972477","0.8933124190380316","0.8690719899125559","0.6080420644411556"
"Xanthine-Bostaurus","SMILE_RFR_DESC","60","rdkit_desc","5000","0.789813445720242","0.893363097357836","0.8761001840364816","0.5999770557664084"
"Xanthine-Bostaurus","SMILE_RFR_DESC","70","rdkit_desc","5000","0.7825660790195151","0.9037228277182306","0.8495778193056353","0.5943975900346798"
"Xanthine-Bostaurus","SMILE_RFR_DESC","30","cdk_desc","5000","0.7650277713913206","0.8937743097717722","0.8141623393034138","0.5871466650987761"
"Xanthine-Bostaurus","SMILE_RFR_DESC","40","cdk_desc","5000","0.7747890888423002","0.8770906530412043","0.8663816993103172","0.580894914175379"
"Xanthine-Bostaurus","SMILE_RFR_DESC","50","cdk_desc","5000","0.7646668582242686","0.8856892350420567","0.8344834381656764","0.5738279014650729"
"Xanthine-Bostaurus","SMILE_RFR_DESC","60","cdk_desc","5000","0.7655471605774068","0.8862490409050272","0.8278577584620023","0.5825346823651911"
"Xanthine-Bostaurus","SMILE_RFR_DESC","70","cdk_desc","5000","0.7590049619771936","0.8676746525218637","0.838913069909489","0.5704271635002279"
"Xanthine-Bostaurus","SMILE_RFR_DESC","30","rdkit_desc","10000","0.7913121088553338","0.8838466806213917","0.8913969247928719","0.5986927211517376"
"Xanthine-Bostaurus","SMILE_RFR_DESC","40","rdkit_desc","10000","0.805649316465402","0.9311377009449262","0.8950388420069073","0.5907714064443724"
"Xanthine-Bostaurus","SMILE_RFR_DESC","50","rdkit_desc","10000","0.7933194402559164","0.8968704115594014","0.8756426471547307","0.6074452620536167"
"Xanthine-Bostaurus","SMILE_RFR_DESC","60","rdkit_desc","10000","0.7940375863976801","0.887761377488351","0.883697695332447","0.6106536863722422"
"Xanthine-Bostaurus","SMILE_RFR_DESC","70","rdkit_desc","10000","0.7897361154221176","0.8988601248243503","0.8847095304092393","0.5856386910327631"
"Xanthine-Bostaurus","SMILE_RFR_DESC","30","cdk_desc","10000","0.7693784622243663","0.877678639519979","0.8276186632573211","0.6028380838957987"
"Xanthine-Bostaurus","SMILE_RFR_DESC","40","cdk_desc","10000","0.7654283946125414","0.8895428365213298","0.8262311856536495","0.5805111616626448"
"Xanthine-Bostaurus","SMILE_RFR_DESC","50","cdk_desc","10000","0.7577222446001995","0.8600309105305354","0.8276694890788148","0.5854663341912488"
"Xanthine-Bostaurus","SMILE_RFR_DESC","60","cdk_desc","10000","0.7739391922750163","0.8934953920046881","0.8468757255724341","0.5814464592479266"
"Xanthine-Bostaurus","SMILE_RFR_DESC","70","cdk_desc","10000","0.7601507780243119","0.8721314814038417","0.8281834910966366","0.5801373615724573"
"Chagas","SMILE_RFR_DESC","30","rdkit_desc","1000","0.5636501431981786","0.5550958716454628","0.5393036465270495","0.5965509114220237"
"Chagas","SMILE_RFR_DESC","40","rdkit_desc","1000","0.5486039226768257","0.5375213658142758","0.5177361959114876","0.5905542063047136"
"Chagas","SMILE_RFR_DESC","50","rdkit_desc","1000","0.5538322282533562","0.5403544665333804","0.530578187074157","0.5905640311525313"
"Chagas","SMILE_RFR_DESC","60","rdkit_desc","1000","0.5534112553837262","0.5356022242372235","0.52876444842022","0.595867093493735"
"Chagas","SMILE_RFR_DESC","70","rdkit_desc","1000","0.5578989381475344","0.5397401319151928","0.5213103868855101","0.6126462956419002"
"Chagas","SMILE_RFR_DESC","30","cdk_desc","1000","0.5365682765343074","0.5188598034043056","0.5225395916004695","0.568305434598147"
"Chagas","SMILE_RFR_DESC","40","cdk_desc","1000","0.5509398336465056","0.5199219669274038","0.5338300360625053","0.5990674979496078"
"Chagas","SMILE_RFR_DESC","50","cdk_desc","1000","0.5421321821980253","0.522254967294602","0.5316330107727414","0.5725085685267325"
"Chagas","SMILE_RFR_DESC","60","cdk_desc","1000","0.5426721023672115","0.5206856004333233","0.5313452688851258","0.5759854377831857"
