"NAME [String]","METHOD [String]","numTrees [Int]","featuresColumn [String]","foldSize [Int]","maxNodes [Int]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"MouseRatTox","SMILE_RFR_FP","30","rdkit_fp","500","1000","1.2097744672334845","1.2908587429124354","1.1975447236529972","1.1409199351350214"
"MouseRatTox","SMILE_RFR_FP","40","rdkit_fp","500","1000","1.1856201827644512","1.2818968669155062","1.1444488194134934","1.1305148619643544"
"MouseRatTox","SMILE_RFR_FP","50","rdkit_fp","500","1000","1.209928579927211","1.2923401515145527","1.173436949503564","1.1640086387635162"
"MouseRatTox","SMILE_RFR_FP","60","rdkit_fp","500","1000","1.1877673082712186","1.2740062679273818","1.1571607008992146","1.132134955987059"
"MouseRatTox","SMILE_RFR_FP","70","rdkit_fp","500","1000","1.190243525589923","1.3031366473733115","1.146169992819657","1.1214239365768008"
"MouseRatTox","SMILE_RFR_FP","30","cdk_fp","500","1000","1.21958501315825","1.30958037697965","1.2074354628030863","1.1417391996920134"
"MouseRatTox","SMILE_RFR_FP","40","cdk_fp","500","1000","1.2185816112674797","1.3014837517820896","1.2314859071460613","1.122775174874288"
"MouseRatTox","SMILE_RFR_FP","50","cdk_fp","500","1000","1.2119458938664558","1.2951628310859178","1.2084619484635262","1.1322129020499234"
"MouseRatTox","SMILE_RFR_FP","60","cdk_fp","500","1000","1.2173646742660995","1.3153423630627838","1.2128335726237065","1.1239180871118082"
"MouseRatTox","SMILE_RFR_FP","70","cdk_fp","500","1000","1.2113145176596822","1.3002694507458257","1.2080971031921885","1.125576999041033"
"MouseRatTox","SMILE_RFR_FP","30","rdkit_fp","1000","1000","1.1925287548504724","1.2987104630464728","1.1770017742943417","1.1018740272106031"
"MouseRatTox","SMILE_RFR_FP","40","rdkit_fp","1000","1000","1.1967764281792677","1.2902805675281925","1.1647817200360608","1.13526699697355"
"MouseRatTox","SMILE_RFR_FP","50","rdkit_fp","1000","1000","1.192366676010987","1.2838719197147177","1.1685888300943703","1.124639278223873"
"MouseRatTox","SMILE_RFR_FP","60","rdkit_fp","1000","1000","1.1906212301995354","1.2953620754290216","1.1504127400813293","1.1260888750882554"
"MouseRatTox","SMILE_RFR_FP","70","rdkit_fp","1000","1000","1.195024733644028","1.2981946309282206","1.1573941167651576","1.129485453238706"
"MouseRatTox","SMILE_RFR_FP","30","cdk_fp","1000","1000","1.2242721443667743","1.2917677928032192","1.2257812182889027","1.155267422008201"
"MouseRatTox","SMILE_RFR_FP","40","cdk_fp","1000","1000","1.193301785977469","1.2857888279616498","1.1688516194445306","1.1252649105262271"
"MouseRatTox","SMILE_RFR_FP","50","cdk_fp","1000","1000","1.2035415959094895","1.2872320554594225","1.2150623160661431","1.108330416202903"
"MouseRatTox","SMILE_RFR_FP","60","cdk_fp","1000","1000","1.2147079300864914","1.3053210453123614","1.193605415251292","1.145197329695821"
"MouseRatTox","SMILE_RFR_FP","70","cdk_fp","1000","1000","1.2047344408471738","1.2987641823632605","1.1979230189545838","1.117516121223677"
"MouseRatTox","SMILE_RFR_FP","30","rdkit_fp","2000","1000","1.2123808813256394","1.2993959863488336","1.1806757661234628","1.157070891504621"
"MouseRatTox","SMILE_RFR_FP","40","rdkit_fp","2000","1000","1.2009709674042903","1.2822346479483708","1.1873672911664757","1.1333109630980247"
"MouseRatTox","SMILE_RFR_FP","50","rdkit_fp","2000","1000","1.1987190602011915","1.2857785481292172","1.1568390296903182","1.1535396027840388"
"MouseRatTox","SMILE_RFR_FP","60","rdkit_fp","2000","1000","1.198334920190786","1.2712625175770904","1.1706599889763663","1.153082254018901"
"MouseRatTox","SMILE_RFR_FP","70","rdkit_fp","2000","1000","1.2020046851265722","1.2820393068736267","1.1826825307972995","1.1412922177087905"
"MouseRatTox","SMILE_RFR_FP","30","cdk_fp","2000","1000","1.2272054262239094","1.3027755274804016","1.2539068895825942","1.124933861608732"
"MouseRatTox","SMILE_RFR_FP","40","cdk_fp","2000","1000","1.2233258450558617","1.3057524393807067","1.2106343323398479","1.1535907634470302"
"MouseRatTox","SMILE_RFR_FP","50","cdk_fp","2000","1000","1.221063516663907","1.321198211035374","1.2228939554418208","1.1190983835145258"
"MouseRatTox","SMILE_RFR_FP","60","cdk_fp","2000","1000","1.223870091608714","1.3137507428174864","1.2156279486730488","1.142231583335606"
"MouseRatTox","SMILE_RFR_FP","70","cdk_fp","2000","1000","1.2234618941148458","1.3181989974197812","1.2211187842337408","1.131067900691016"
"MouseRatTox","SMILE_RFR_FP","30","rdkit_fp","500","5000","1.200033847455784","1.2875131241217832","1.2026200468702393","1.109968371375329"
"MouseRatTox","SMILE_RFR_FP","40","rdkit_fp","500","5000","1.1898856294898914","1.3039015000891503","1.1343861720430697","1.1313692163374542"
"MouseRatTox","SMILE_RFR_FP","50","rdkit_fp","500","5000","1.1883997951135534","1.2965780059016854","1.1684926231880135","1.1001287562509616"
"MouseRatTox","SMILE_RFR_FP","60","rdkit_fp","500","5000","1.191233411037212","1.3022365220264103","1.1626086178723731","1.1088550932128527"
"MouseRatTox","SMILE_RFR_FP","70","rdkit_fp","500","5000","1.1910379463876783","1.2837620948956359","1.1803532666176193","1.1089984776497799"
"MouseRatTox","SMILE_RFR_FP","30","cdk_fp","500","5000","1.206636492984029","1.3001909059781194","1.187204158605094","1.1325144143688728"
"MouseRatTox","SMILE_RFR_FP","40","cdk_fp","500","5000","1.2119220567123825","1.3079645040721601","1.1957879403712903","1.1320137256936973"
"MouseRatTox","SMILE_RFR_FP","50","cdk_fp","500","5000","1.2095400074418061","1.3068744925950553","1.1994711635306936","1.1222743661996697"
"MouseRatTox","SMILE_RFR_FP","60","cdk_fp","500","5000","1.2108481999377114","1.3049796186581342","1.207878739683743","1.1196862414712572"
"MouseRatTox","SMILE_RFR_FP","70","cdk_fp","500","5000","1.2006558270078511","1.2991831436612955","1.1803348699389076","1.1224494674233498"
"MouseRatTox","SMILE_RFR_FP","30","rdkit_fp","1000","5000","1.2079926841734399","1.2968164689381185","1.1744856962698407","1.1526758873123606"
"MouseRatTox","SMILE_RFR_FP","40","rdkit_fp","1000","5000","1.203455379804078","1.3068275551732564","1.1638178980386855","1.1397206862002918"
"MouseRatTox","SMILE_RFR_FP","50","rdkit_fp","1000","5000","1.1983741761209743","1.2915349117357013","1.1811686708622715","1.1224189457649503"
"MouseRatTox","SMILE_RFR_FP","60","rdkit_fp","1000","5000","1.189186909068752","1.2925160257547477","1.1540790657505495","1.120965635700959"
"MouseRatTox","SMILE_RFR_FP","70","rdkit_fp","1000","5000","1.1977234373347014","1.2925175572966012","1.1783588420080844","1.1222939126994185"
"MouseRatTox","SMILE_RFR_FP","30","cdk_fp","1000","5000","1.2069795868029045","1.299990063471402","1.1844197255851292","1.1365289713521827"
"MouseRatTox","SMILE_RFR_FP","40","cdk_fp","1000","5000","1.2113151127808417","1.3039510183836756","1.1836772588384974","1.1463170611203521"
"MouseRatTox","SMILE_RFR_FP","50","cdk_fp","1000","5000","1.213510077466559","1.310376233667427","1.227105587797414","1.1030484109348369"
