"NAME [String]","METHOD [String]","degree [Int]","C [Double]","featuresColumn [String]","scalerType [String]","offset [Double]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"LogP","SMILE_SVR_POLY","2","0.001","rdkit_fp","MaxMin","0.0","1.6911990347557495","1.6292941306614053","1.6801839618533652","1.7641190117524777"
"LogP","SMILE_SVR_POLY","3","0.001","rdkit_fp","MaxMin","0.0","1.5369797763123116","1.5105240378594251","1.4992258814397925","1.6011894096377173"
"LogP","SMILE_SVR_POLY","2","0.01","rdkit_fp","MaxMin","0.0","1.2571952124685812","1.2309975429448774","1.2029579340988412","1.3376301603620253"
"LogP","SMILE_SVR_POLY","3","0.01","rdkit_fp","MaxMin","0.0","1.3436736463881453","1.3033036772019102","1.3135763878716162","1.4141408740909096"
"LogP","SMILE_SVR_POLY","2","0.1","rdkit_fp","MaxMin","0.0","0.9430993853943482","0.917316654404669","0.9382354245414347","0.973746077236941"
"LogP","SMILE_SVR_POLY","3","0.1","rdkit_fp","MaxMin","0.0","1.3515166736516069","1.2805694291336132","1.4470374872886964","1.326943104532511"
"LogP","SMILE_SVR_POLY","2","1.0","rdkit_fp","MaxMin","0.0","0.9380840715103081","0.8843016177922447","1.0045373542323808","0.925413242506299"
"LogP","SMILE_SVR_POLY","3","1.0","rdkit_fp","MaxMin","0.0","1.4717085336004752","1.276837437084865","1.637272899344147","1.5010152643724133"
"LogP","SMILE_SVR_POLY","2","0.001","cdk_fp","MaxMin","0.0","1.6962138885895428","1.632632400299031","1.6872850507139148","1.7687242147556836"
"LogP","SMILE_SVR_POLY","3","0.001","cdk_fp","MaxMin","0.0","1.539762221076824","1.52043777712897","1.5020276464026239","1.5968212396988783"
"LogP","SMILE_SVR_POLY","2","0.01","cdk_fp","MaxMin","0.0","1.257692809611223","1.235533764081393","1.2100903797818936","1.3274542849703823"
"LogP","SMILE_SVR_POLY","3","0.01","cdk_fp","MaxMin","0.0","1.3384652380510336","1.2942987615164627","1.2850491979683878","1.4360477546682506"
"LogP","SMILE_SVR_POLY","2","0.1","cdk_fp","MaxMin","0.0","0.9443724094126376","0.9207899695800446","0.9465268573714233","0.965800401286445"
"LogP","SMILE_SVR_POLY","3","0.1","cdk_fp","MaxMin","0.0","1.3515495421857409","1.246011788741544","1.4608528542382544","1.347783983577424"
"LogP","SMILE_SVR_POLY","2","1.0","cdk_fp","MaxMin","0.0","0.9469460925872255","0.9037246244018786","1.013233142261462","0.9238805110983361"
"LogP","SMILE_SVR_POLY","3","1.0","cdk_fp","MaxMin","0.0","1.4474764109287046","1.3000636714227505","1.6538290636130195","1.3885364977503445"
"LogP","SMILE_SVR_POLY","2","0.001","rdkit_desc","MaxMin","0.0","1.1861151887916053","1.1227610754379527","1.1546344169078844","1.2809500740289788"
"LogP","SMILE_SVR_POLY","3","0.001","rdkit_desc","MaxMin","0.0","0.9956923415717279","0.9500956705549117","0.9543187687824906","1.0826625853777814"
"LogP","SMILE_SVR_POLY","2","0.01","rdkit_desc","MaxMin","0.0","0.7633584759790223","0.7055855302400936","0.7688649288093016","0.8156249688876719"
"LogP","SMILE_SVR_POLY","3","0.01","rdkit_desc","MaxMin","0.0","0.7158322798504019","0.6295960401812853","0.7484127576306132","0.7694880417393068"
"LogP","SMILE_SVR_POLY","2","0.1","rdkit_desc","MaxMin","0.0","0.602261398906057","0.5561448570825095","0.609285019078628","0.6413543205570336"
"LogP","SMILE_SVR_POLY","3","0.1","rdkit_desc","MaxMin","0.0","2.5157902563843026","2.518736997006904","0.9748558400900235","4.053777932055981"
"LogP","SMILE_SVR_POLY","2","1.0","rdkit_desc","MaxMin","0.0","1.0072712411289981","1.1288711975148509","0.7266407757325412","1.1663017501396025"
"LogP","SMILE_SVR_POLY","3","1.0","rdkit_desc","MaxMin","0.0","8.376131237778838","11.13004595488791","4.695060939029034","9.303286819419572"
