"NAME [String]","METHOD [String]","gamma [Double]","scalerType [String]","featuresColumn [String]","C [Double]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"MouseRatTox","SMILE_SVR_RBF","1.0E-4","MaxMin","rdkit_fp","0.001","1.4039199105034845","1.45736173334567","1.4232788195594068","1.3311191786053767"
"MouseRatTox","SMILE_SVR_RBF","0.001","MaxMin","rdkit_fp","0.001","1.403887966752059","1.4573060713520545","1.4232558782784903","1.331101950625632"
"MouseRatTox","SMILE_SVR_RBF","0.01","MaxMin","rdkit_fp","0.001","1.4035830068912496","1.4567595899298684","1.4230330858610654","1.3309563448828154"
"MouseRatTox","SMILE_SVR_RBF","0.1","MaxMin","rdkit_fp","0.001","1.4027923815277241","1.4552110550907826","1.4225834832506867","1.3305826062417032"
"MouseRatTox","SMILE_SVR_RBF","1.0","MaxMin","rdkit_fp","0.001","1.4038673275266669","1.4572188928891179","1.4233713047746148","1.3310117849162677"
"MouseRatTox","SMILE_SVR_RBF","1.0E-4","Standard","rdkit_fp","0.001","1.4037231634805885","1.4570546910489177","1.4231261552037606","1.3309886441890872"
"MouseRatTox","SMILE_SVR_RBF","0.001","Standard","rdkit_fp","0.001","1.4037784023523987","1.4568986284249088","1.4230327566245304","1.3314038220077564"
"MouseRatTox","SMILE_SVR_RBF","0.01","Standard","rdkit_fp","0.001","1.4038756119991362","1.4572102439872918","1.4234044218547033","1.3310121701554132"
"MouseRatTox","SMILE_SVR_RBF","0.1","Standard","rdkit_fp","0.001","1.4039509961631575","1.4573284092266903","1.4234325669342605","1.3310920123285224"
"MouseRatTox","SMILE_SVR_RBF","1.0","Standard","rdkit_fp","0.001","1.403962549893078","1.4573498672112553","1.4234265514790887","1.33111123098889"
"MouseRatTox","SMILE_SVR_RBF","1.0E-4","MaxMin","cdk_fp","0.001","1.4039196686736541","1.4573612919361947","1.4232785489083675","1.3311191651763994"
"MouseRatTox","SMILE_SVR_RBF","0.001","MaxMin","cdk_fp","0.001","1.4038856802044464","1.4573018401072797","1.4232534415544584","1.331101758951601"
"MouseRatTox","SMILE_SVR_RBF","0.01","MaxMin","cdk_fp","0.001","1.40356810102681","1.4567266337997535","1.423028481224241","1.3309491880564353"
"MouseRatTox","SMILE_SVR_RBF","0.1","MaxMin","cdk_fp","0.001","1.4027177127364279","1.4550265166403615","1.4227313429556991","1.3303952786132225"
"MouseRatTox","SMILE_SVR_RBF","1.0","MaxMin","cdk_fp","0.001","1.403891494042363","1.457245332032179","1.4234249007120336","1.3310042493828758"
"MouseRatTox","SMILE_SVR_RBF","1.0E-4","Standard","cdk_fp","0.001","1.4037603665731442","1.4571136887216445","1.4231781879856762","1.3309892230121119"
"MouseRatTox","SMILE_SVR_RBF","0.001","Standard","cdk_fp","0.001","1.4037318133660037","1.4568869646535367","1.423199708348829","1.3311087670956452"
