"NAME [String]","METHOD [String]","C [Double]","offset [Double]","featuresColumn [String]","degree [Int]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"MouseRatTox","SMILE_SVR_TAN","0.001","0.0","rdkit_fp","2","1.3709196527881298","1.4447200614917748","1.3453932072028059","1.3226456896698087"
"MouseRatTox","SMILE_SVR_TAN","0.01","0.0","rdkit_fp","2","1.3553364429093342","1.4312265920288245","1.328674330087396","1.306108406611782"
"MouseRatTox","SMILE_SVR_TAN","0.1","0.0","rdkit_fp","2","1.2958533289834107","1.3602273933304583","1.2931002759054129","1.234232317714361"
"MouseRatTox","SMILE_SVR_TAN","1.0","0.0","rdkit_fp","2","1.2273180090692666","1.2826631383683096","1.2394168678536734","1.1598740209858167"
"MouseRatTox","SMILE_SVR_TAN","10.0","0.0","rdkit_fp","2","1.1721098820297036","1.3055154408265293","1.1084902666730656","1.102323938589516"
"MouseRatTox","SMILE_SVR_TAN","0.001","1.0","rdkit_fp","2","1.3660158774953846","1.4400575744075907","1.3393679495171573","1.3186221085614058"
"MouseRatTox","SMILE_SVR_TAN","0.01","1.0","rdkit_fp","2","1.3278978715996652","1.397569275230707","1.3102040652167555","1.2759202743515325"
"MouseRatTox","SMILE_SVR_TAN","0.1","1.0","rdkit_fp","2","1.2698325780967095","1.3169471856669681","1.2868325073820095","1.205718041241151"
"MouseRatTox","SMILE_SVR_TAN","1.0","1.0","rdkit_fp","2","1.1918831786338133","1.295762962559612","1.1596575404844955","1.1202290328573319"
"MouseRatTox","SMILE_SVR_TAN","10.0","1.0","rdkit_fp","2","1.1684869916968632","1.3173158180456637","1.093421494938022","1.0947236621069036"
"MouseRatTox","SMILE_SVR_TAN","0.001","2.0","rdkit_fp","2","1.3600721716168918","1.4354064058221763","1.333128261730442","1.3116818472980567"
"MouseRatTox","SMILE_SVR_TAN","0.01","2.0","rdkit_fp","2","1.31424252415124","1.37906711140202","1.3056787314403564","1.257981729611344"
"MouseRatTox","SMILE_SVR_TAN","0.1","2.0","rdkit_fp","2","1.2614306250637284","1.3021202195716959","1.2857204633773942","1.196451192242095"
"MouseRatTox","SMILE_SVR_TAN","1.0","2.0","rdkit_fp","2","1.1762136461903643","1.2962830099598575","1.1267345073127226","1.1056234212985132"
"MouseRatTox","SMILE_SVR_TAN","10.0","2.0","rdkit_fp","2","1.1690589622414245","1.3214845022065882","1.0911805434124868","1.0945118411051982"
"MouseRatTox","SMILE_SVR_TAN","0.001","3.0","rdkit_fp","2","1.3557651366940309","1.4311969897776282","1.329460595349049","1.3066378249554151"
"MouseRatTox","SMILE_SVR_TAN","0.01","3.0","rdkit_fp","2","1.3064194951789085","1.3691250944457485","1.3057980770353246","1.2443353140556528"
"MouseRatTox","SMILE_SVR_TAN","0.1","3.0","rdkit_fp","2","1.253841558153318","1.295337766975667","1.2821341583159747","1.1840527491683128"
"MouseRatTox","SMILE_SVR_TAN","1.0","3.0","rdkit_fp","2","1.1708843120148502","1.2968841553862858","1.111088775575412","1.1046800050828525"
"MouseRatTox","SMILE_SVR_TAN","10.0","3.0","rdkit_fp","2","1.169623481689569","1.3235320183645756","1.0903559772185711","1.0949824494855607"
"MouseRatTox","SMILE_SVR_TAN","0.001","0.0","cdk_fp","2","1.3706467255862373","1.4444585411746356","1.3449720554939086","1.3225095800901678"
"MouseRatTox","SMILE_SVR_TAN","0.01","0.0","cdk_fp","2","1.3532080518204486","1.4293246173826384","1.3286230466936713","1.3016764913850358"
