"NAME [String]","METHOD [String]","C [Double]","featuresColumn [String]","scalerType [String]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"MouseRatTox","SVR_LIN_DESC","1.0E-4","rdkit_desc","MaxMin","1.652612677327334","1.7792821589279726","1.500204670466449","1.67835120258758"
"MouseRatTox","SVR_LIN_DESC","0.001","rdkit_desc","MaxMin","1.5082765727990577","1.6115426071667318","1.4008870010738042","1.5124001101566373"
"MouseRatTox","SVR_LIN_DESC","0.01","rdkit_desc","MaxMin","1.392428286291694","1.4350944048078818","1.4042338377523715","1.337956616314828"
"MouseRatTox","SVR_LIN_DESC","0.1","rdkit_desc","MaxMin","1.261285276990889","1.2553749480117466","1.3222226412586882","1.2062582417022323"
"MouseRatTox","SVR_LIN_DESC","1.0","rdkit_desc","MaxMin","1.2102719459445554","1.2209616588028191","1.2017377799051963","1.2081163991256507"
"MouseRatTox","SVR_LIN_DESC","1.0E-4","cdk_desc","MaxMin","1.5979460106878867","1.7284258994845652","1.4484929521517558","1.616919180427339"
"MouseRatTox","SVR_LIN_DESC","0.001","cdk_desc","MaxMin","1.421760319914144","1.5034331856417364","1.3650138998388706","1.3968338742618243"
"MouseRatTox","SVR_LIN_DESC","0.01","cdk_desc","MaxMin","1.3284122258586823","1.3243333206926775","1.386524458499793","1.2743788983835769"
"MouseRatTox","SVR_LIN_DESC","0.1","cdk_desc","MaxMin","1.2590098807930223","1.2118498659314099","1.3409206493748211","1.2242591270728356"
"MouseRatTox","SVR_LIN_DESC","1.0","cdk_desc","MaxMin","1.4149588332039151","1.5692948583903807","1.3447807766090947","1.33080086461227"
"MouseRatTox","SVR_LIN_DESC","1.0E-4","rdkit_desc","Standard","1.6690672397697348","1.7994180175927674","1.5129718483978842","1.694811853318553"
"MouseRatTox","SVR_LIN_DESC","0.001","rdkit_desc","Standard","1.6016235847137636","1.6949040665371362","1.4616825486007274","1.6482841390034275"
"MouseRatTox","SVR_LIN_DESC","0.01","rdkit_desc","Standard","1.538558431163791","1.6089908771383343","1.3820944113686744","1.6245900049843645"
"MouseRatTox","SVR_LIN_DESC","0.1","rdkit_desc","Standard","1.5441221436696866","1.6264864586179029","1.3706280228042171","1.6352519495869398"
"MouseRatTox","SVR_LIN_DESC","1.0","rdkit_desc","Standard","1.601986144999916","1.6946555481195626","1.4276514189702156","1.68365146790997"
"MouseRatTox","SVR_LIN_DESC","1.0E-4","cdk_desc","Standard","1.6672278147887971","1.7985853081446697","1.515832781876735","1.6872653543449874"
"MouseRatTox","SVR_LIN_DESC","0.001","cdk_desc","Standard","1.5955937156679951","1.6965717723754352","1.4693541749133583","1.6208551997151919"
"MouseRatTox","SVR_LIN_DESC","0.01","cdk_desc","Standard","1.6012907935181762","1.7429611962500287","1.4332506649175727","1.627660519386927"
"MouseRatTox","SVR_LIN_DESC","0.1","cdk_desc","Standard","1.959690289135148","2.714851103982909","1.4635446654902091","1.7006750979323255"
"MouseRatTox","SVR_LIN_DESC","1.0","cdk_desc","Standard","2.6064772173539117","4.409161269645076","1.5802396157554488","1.8300307666612097"
"Chagas","SVR_LIN_DESC","1.0E-4","rdkit_desc","MaxMin","2.841851287868652","2.7260965212239165","2.7799847835707023","3.0194725588113385"
"Chagas","SVR_LIN_DESC","0.001","rdkit_desc","MaxMin","1.2285070286000352","1.0623345850136694","1.3243998212050088","1.2987866795814278"
"Chagas","SVR_LIN_DESC","0.01","rdkit_desc","MaxMin","0.8448031360274587","0.7553023057256766","0.9092339156302128","0.8698731867264867"
"Chagas","SVR_LIN_DESC","0.1","rdkit_desc","MaxMin","0.6352636126344251","0.59585884256867","0.637402707611589","0.6725292877230162"
"Chagas","SVR_LIN_DESC","1.0","rdkit_desc","MaxMin","0.5999372544976138","0.5572687367907115","0.6035984414519712","0.6389445852501588"
"Chagas","SVR_LIN_DESC","1.0E-4","cdk_desc","MaxMin","2.65564043396584","2.5297956447673484","2.6693596333527254","2.7677660237774466"
"Chagas","SVR_LIN_DESC","0.001","cdk_desc","MaxMin","1.001428795119256","0.8767840710867822","1.0849766057902015","1.0425257084807842"
"Chagas","SVR_LIN_DESC","0.01","cdk_desc","MaxMin","0.7353520311123686","0.6937171998688372","0.7441418790999913","0.7681970143682776"
"Chagas","SVR_LIN_DESC","0.1","cdk_desc","MaxMin","0.6191175040692722","0.6017444602204363","0.602983844872964","0.6526242071144167"
"Chagas","SVR_LIN_DESC","1.0","cdk_desc","MaxMin","0.5792357302516727","0.5700490488436661","0.5504820990142789","0.6171760428970732"
"Chagas","SVR_LIN_DESC","1.0E-4","rdkit_desc","Standard","6.882570521046738","6.79607948770115","6.921925122344566","6.929706953094494"
"Chagas","SVR_LIN_DESC","0.001","rdkit_desc","Standard","6.870531168725911","6.789203889772609","6.9012847730775855","6.921104843327539"
"Chagas","SVR_LIN_DESC","0.01","rdkit_desc","Standard","6.865110350000012","6.817748701132806","6.861187689086669","6.9163946597805595"
"Chagas","SVR_LIN_DESC","0.1","rdkit_desc","Standard","6.861712797641715","6.834878527305229","6.847334161204052","6.902925704415862"
"Chagas","SVR_LIN_DESC","1.0","rdkit_desc","Standard","6.857119194367727","6.843578802093072","6.8470515946360395","6.880727186374069"
"Chagas","SVR_LIN_DESC","1.0E-4","cdk_desc","Standard","6.8838642530770455","6.7996426813141655","6.929306079360822","6.922643998556147"
"Chagas","SVR_LIN_DESC","0.001","cdk_desc","Standard","6.87417333478653","6.797040500509994","6.9092573926251974","6.916222111224399"
"Chagas","SVR_LIN_DESC","0.01","cdk_desc","Standard","6.8696669964654475","6.8186213632357076","6.875356434612981","6.915023191547656"
"Chagas","SVR_LIN_DESC","0.1","cdk_desc","Standard","6.875048247074711","6.835791920819503","6.875117791110714","6.914235029293917"
"Chagas","SVR_LIN_DESC","1.0","cdk_desc","Standard","7.057837921494631","6.847932820646611","7.410762183539271","6.9148187602980125"
"Xanthine-Bostaurus","SVR_LIN_DESC","1.0E-4","rdkit_desc","MaxMin","4.127657914311573","4.38733019455047","3.588070685947074","4.407572862437175"
"Xanthine-Bostaurus","SVR_LIN_DESC","0.001","rdkit_desc","MaxMin","1.9560150835587553","1.8808418200960957","2.055840166265046","1.9313632643151237"
"Xanthine-Bostaurus","SVR_LIN_DESC","0.01","rdkit_desc","MaxMin","1.2663793540767598","1.1905066942479978","1.4476497371800343","1.1609816308022471"
"Xanthine-Bostaurus","SVR_LIN_DESC","0.1","rdkit_desc","MaxMin","0.9660765369889349","0.9547787588721339","1.084967274674464","0.8584835774202068"
"Xanthine-Bostaurus","SVR_LIN_DESC","1.0","rdkit_desc","MaxMin","0.934027164093878","0.9188707035591082","1.0933836003039872","0.7898271884185387"
"Xanthine-Bostaurus","SVR_LIN_DESC","1.0E-4","cdk_desc","MaxMin","3.572265431399662","3.7166634868927293","3.2316359328832585","3.768496874422997"
"Xanthine-Bostaurus","SVR_LIN_DESC","0.001","cdk_desc","MaxMin","1.5681682095741485","1.4795539523910963","1.6564232122370453","1.568527464094304"
"Xanthine-Bostaurus","SVR_LIN_DESC","0.01","cdk_desc","MaxMin","0.9894409969268106","0.9755952215971168","1.0476756977858748","0.9450520713974404"
"Xanthine-Bostaurus","SVR_LIN_DESC","0.1","cdk_desc","MaxMin","0.8848832877013159","0.9073202423133694","0.9561282349243221","0.7912013858662558"
"Xanthine-Bostaurus","SVR_LIN_DESC","1.0","cdk_desc","MaxMin","0.8771521512290518","0.9023780617897008","0.955248746001212","0.7738296458962424"
"Xanthine-Bostaurus","SVR_LIN_DESC","1.0E-4","rdkit_desc","Standard","6.841534383686831","6.882313040369693","6.746872236745724","6.8954178739450755"
"Xanthine-Bostaurus","SVR_LIN_DESC","0.001","rdkit_desc","Standard","6.807140343926451","6.877901896493995","6.690131062781922","6.853388072503437"
"Xanthine-Bostaurus","SVR_LIN_DESC","0.01","rdkit_desc","Standard","6.798203047911358","6.867817467804955","6.662446252144294","6.864345423784825"
"Xanthine-Bostaurus","SVR_LIN_DESC","0.1","rdkit_desc","Standard","6.7931163333217865","6.8618988068876305","6.651854959905195","6.865595233172534"
"Xanthine-Bostaurus","SVR_LIN_DESC","1.0","rdkit_desc","Standard","6.797824842199745","6.8680718955567785","6.6610157752345724","6.864386855807882"
"Xanthine-Bostaurus","SVR_LIN_DESC","1.0E-4","cdk_desc","Standard","6.838142745766095","6.879952591932794","6.7584705934883935","6.8760050518770965"
"Xanthine-Bostaurus","SVR_LIN_DESC","0.001","cdk_desc","Standard","6.8185151404125","6.85496455574896","6.7496842605462275","6.850896604942311"
"Xanthine-Bostaurus","SVR_LIN_DESC","0.01","cdk_desc","Standard","6.8151762054490135","6.835446105698826","6.7513101665514155","6.858772344096798"
