"NAME [String]","METHOD [String]","C [Double]","scalerType [String]","featuresColumn [String]","foldSize [Int]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"MouseRatTox","SVR_LIN_FP","0.001","MaxMin","rdkit_fp","1000","1.6113276971945025","1.6844315311850602","1.4996154329803717","1.649936127418076"
"MouseRatTox","SVR_LIN_FP","0.01","MaxMin","rdkit_fp","1000","1.424756278236386","1.5099194874659587","1.290364662605238","1.473984684637961"
"MouseRatTox","SVR_LIN_FP","0.1","MaxMin","rdkit_fp","1000","1.3186519864123694","1.4265609962548735","1.1951909088843795","1.3342040540978546"
"MouseRatTox","SVR_LIN_FP","1.0","MaxMin","rdkit_fp","1000","1.3617497268927108","1.4933682540396063","1.2764380883574507","1.3154428382810752"
"MouseRatTox","SVR_LIN_FP","10.0","MaxMin","rdkit_fp","1000","1.4829273747971328","1.6598416170571069","1.4056212046156815","1.38331930271861"
"MouseRatTox","SVR_LIN_FP","0.001","Standard","rdkit_fp","1000","1.5069759763586152","1.5994344669569804","1.3347339370585467","1.5867595250603184"
"MouseRatTox","SVR_LIN_FP","0.01","Standard","rdkit_fp","1000","1.50141257234187","1.5770908814945392","1.2936332153965482","1.6335136201345226"
"MouseRatTox","SVR_LIN_FP","0.1","Standard","rdkit_fp","1000","1.545195010708426","1.6149103623285295","1.3464559179608848","1.674218751835864"
"MouseRatTox","SVR_LIN_FP","1.0","Standard","rdkit_fp","1000","1.5814018400718812","1.6621097689267244","1.3914873962091145","1.6906083550798046"
"MouseRatTox","SVR_LIN_FP","10.0","Standard","rdkit_fp","1000","1.6119691873725397","1.6709906605831388","1.4698055951010072","1.695111306433473"
"MouseRatTox","SVR_LIN_FP","0.001","MaxMin","cdk_fp","1000","1.6100366451501043","1.6758046527793349","1.5008509362475748","1.653454346423403"
"MouseRatTox","SVR_LIN_FP","0.01","MaxMin","cdk_fp","1000","1.4268062971327418","1.5019557700133117","1.2887531733899582","1.4897099479949563"
"MouseRatTox","SVR_LIN_FP","0.1","MaxMin","cdk_fp","1000","1.3368948261776417","1.429027152800283","1.233962612986197","1.3476947127464445"
"MouseRatTox","SVR_LIN_FP","1.0","MaxMin","cdk_fp","1000","1.3911068887679903","1.5408383359596631","1.333772664984525","1.2987096653597827"
"MouseRatTox","SVR_LIN_FP","10.0","MaxMin","cdk_fp","1000","1.5744382890133755","1.7542731036745476","1.5140398898023328","1.4550018735632457"
"MouseRatTox","SVR_LIN_FP","0.001","Standard","cdk_fp","1000","1.5174209721400862","1.6045316462731738","1.382157167907152","1.5655741022399328"
"MouseRatTox","SVR_LIN_FP","0.01","Standard","cdk_fp","1000","1.508793057248934","1.6303919483292055","1.3688119161023053","1.5271753073152914"
"MouseRatTox","SVR_LIN_FP","0.1","Standard","cdk_fp","1000","1.5590440617156218","1.7245093266458005","1.4374488130516854","1.5151740454493798"
"MouseRatTox","SVR_LIN_FP","1.0","Standard","cdk_fp","1000","1.610715115181874","1.7913613808742672","1.5044716435116574","1.5363123211596976"
