"NAME [String]","METHOD [String]","degree [Int]","C [Double]","featuresColumn [String]","scalerType [String]","coef0 [Double]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"MouseRatTox","SVR_POLY_DESC","2","1.0E-5","rdkit_desc","MaxMin","2.0","1.4027014823401578","1.4541110053169988","1.4235868410524666","1.3304066006510078"
"MouseRatTox","SVR_POLY_DESC","3","1.0E-5","rdkit_desc","MaxMin","2.0","1.388527141436785","1.4245443953243726","1.4202876837804397","1.3207493452055428"
"MouseRatTox","SVR_POLY_DESC","4","1.0E-5","rdkit_desc","MaxMin","2.0","1.4034142007122716","1.5118101436543552","1.40118941470219","1.29724304378027"
"MouseRatTox","SVR_POLY_DESC","2","1.0E-4","rdkit_desc","MaxMin","2.0","1.3941311108154373","1.4380859332382618","1.421503924337301","1.3228034748707485"
"MouseRatTox","SVR_POLY_DESC","3","1.0E-4","rdkit_desc","MaxMin","2.0","1.3526673842473504","1.3705899117207112","1.3908647760659982","1.2965474649553415"
"MouseRatTox","SVR_POLY_DESC","4","1.0E-4","rdkit_desc","MaxMin","2.0","1.4403977303671531","1.7574740629521632","1.338934988317788","1.2247841398315082"
"MouseRatTox","SVR_POLY_DESC","2","0.01","rdkit_desc","MaxMin","2.0","1.2471954053768435","1.236017145520898","1.336301028604795","1.169268042004838"
"MouseRatTox","SVR_POLY_DESC","3","0.01","rdkit_desc","MaxMin","2.0","1.2688403396912942","1.2650211517973555","1.2258836388894554","1.3156162283870718"
"MouseRatTox","SVR_POLY_DESC","4","0.01","rdkit_desc","MaxMin","2.0","6.708342796630851","14.888830854375636","2.5987749772746134","2.6374225582423043"
"MouseRatTox","SVR_POLY_DESC","2","0.01","rdkit_desc","MaxMin","2.0","1.2471954053768435","1.236017145520898","1.336301028604795","1.169268042004838"
"MouseRatTox","SVR_POLY_DESC","3","0.01","rdkit_desc","MaxMin","2.0","1.2688403396912942","1.2650211517973555","1.2258836388894554","1.3156162283870718"
"MouseRatTox","SVR_POLY_DESC","4","0.01","rdkit_desc","MaxMin","2.0","6.708342796630851","14.888830854375636","2.5987749772746134","2.6374225582423043"
"MouseRatTox","SVR_POLY_DESC","2","0.1","rdkit_desc","MaxMin","2.0","1.2031029066810184","1.219676376703112","1.18100160646829","1.2086307368716527"
"MouseRatTox","SVR_POLY_DESC","3","0.1","rdkit_desc","MaxMin","2.0","2.5032105316563613","3.774562306559844","1.7330310046808794","2.002038283728361"
"MouseRatTox","SVR_POLY_DESC","4","0.1","rdkit_desc","MaxMin","2.0","18.398837171455046","44.92539616995646","4.434771158764326","5.836344185644358"
"MouseRatTox","SVR_POLY_DESC","2","1.0","rdkit_desc","MaxMin","2.0","1.4337559781165339","1.33919836913163","1.4000199562474471","1.562049608970524"
"MouseRatTox","SVR_POLY_DESC","3","1.0","rdkit_desc","MaxMin","2.0","8.17612468752946","17.654554344835457","2.5904664576782643","4.283353260074663"
"MouseRatTox","SVR_POLY_DESC","4","1.0","rdkit_desc","MaxMin","2.0","33.055092037581204","83.92116267474162","9.295163720226727","5.948949717775267"
"MouseRatTox","SVR_POLY_DESC","2","1.0E-5","cdk_desc","MaxMin","2.0","1.4022411615815085","1.4531369927098814","1.4228484242675208","1.3307380677671239"
"MouseRatTox","SVR_POLY_DESC","3","1.0E-5","cdk_desc","MaxMin","2.0","1.3790559429821085","1.4086027318662202","1.4122966248726783","1.3162684722074267"
"MouseRatTox","SVR_POLY_DESC","4","1.0E-5","cdk_desc","MaxMin","2.0","1.3750837587333826","1.477004888109838","1.396975311584231","1.2512710765060793"
"MouseRatTox","SVR_POLY_DESC","2","1.0E-4","cdk_desc","MaxMin","2.0","1.3877461091946832","1.429951974888621","1.414102674225671","1.3191836784697577"
"MouseRatTox","SVR_POLY_DESC","3","1.0E-4","cdk_desc","MaxMin","2.0","1.3150234146388478","1.316299154059379","1.3843127403153315","1.2444583495418324"
