"NAME [String]","METHOD [String]","degree [Int]","C [Double]","foldSize [Int]","featuresColumn [String]","scalerType [String]","coef0 [Double]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"MouseRatTox","SVR_POLY_FP","2","0.001","1000","rdkit_fp","MaxMin","0.0","1.3043272013052816","1.3859931681355422","1.2794407535903551","1.2475476821899472"
"MouseRatTox","SVR_POLY_FP","3","0.001","1000","rdkit_fp","MaxMin","0.0","1.306612883817803","1.3886103718433367","1.2626132893926514","1.2686149902174213"
"MouseRatTox","SVR_POLY_FP","2","0.01","1000","rdkit_fp","MaxMin","0.0","1.2239562881678092","1.3206174407578186","1.1798267614342284","1.1714246623113809"
"MouseRatTox","SVR_POLY_FP","3","0.01","1000","rdkit_fp","MaxMin","0.0","1.313377515329934","1.3643456949642947","1.218357846464253","1.357429004561254"
"MouseRatTox","SVR_POLY_FP","2","0.1","1000","rdkit_fp","MaxMin","0.0","1.2119341291610166","1.3184939600713885","1.1576748930804084","1.1596335343312532"
"MouseRatTox","SVR_POLY_FP","3","0.1","1000","rdkit_fp","MaxMin","0.0","1.366360918331111","1.5504492868188369","1.2232439762431593","1.3253894919313371"
"MouseRatTox","SVR_POLY_FP","2","1.0","1000","rdkit_fp","MaxMin","0.0","1.3717905906180317","1.7159369708894359","1.2348797815232304","1.164555019441429"
"MouseRatTox","SVR_POLY_FP","3","1.0","1000","rdkit_fp","MaxMin","0.0","2.099689587230424","3.5907822553377136","1.3431847781588893","1.3651017281946687"
"MouseRatTox","SVR_POLY_FP","2","0.001","1500","rdkit_fp","MaxMin","0.0","1.2993986849340178","1.3827352154755463","1.2766883409867082","1.2387724983397985"
"MouseRatTox","SVR_POLY_FP","3","0.001","1500","rdkit_fp","MaxMin","0.0","1.3134647282243055","1.3748411042762325","1.2621103413462018","1.3034427390504824"
"MouseRatTox","SVR_POLY_FP","2","0.01","1500","rdkit_fp","MaxMin","0.0","1.2267980025778789","1.3215708449631394","1.1773602163192685","1.1814629464512285"
"MouseRatTox","SVR_POLY_FP","3","0.01","1500","rdkit_fp","MaxMin","0.0","1.3907866360156254","1.520349325218699","1.204124842748141","1.4478857400800356"
"MouseRatTox","SVR_POLY_FP","2","0.1","1500","rdkit_fp","MaxMin","0.0","1.2792383805611018","1.5124617987462068","1.1446511337077803","1.1806022092293182"
