"NAME [String]","METHOD [String]","gamma [Double]","scalerType [String]","featuresColumn [String]","C [Double]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"MouseRatTox","SVR_RBF_DESC","1.0E-4","MaxMin","rdkit_desc","1.0E-4","1.4039232675988271","1.4573675177088532","1.4232812698582749","1.331121015229353"
"MouseRatTox","SVR_RBF_DESC","0.001","MaxMin","rdkit_desc","1.0E-4","1.4039215547957955","1.457364179387959","1.4232804893000226","1.3311199956994053"
"MouseRatTox","SVR_RBF_DESC","0.01","MaxMin","rdkit_desc","1.0E-4","1.4039066286065491","1.4573367686686824","1.4232723771618374","1.331110739989128"
"MouseRatTox","SVR_RBF_DESC","0.1","MaxMin","rdkit_desc","1.0E-4","1.4038197325699933","1.457200445748679","1.4232001473606972","1.3310586046006032"
"MouseRatTox","SVR_RBF_DESC","1.0","MaxMin","rdkit_desc","1.0E-4","1.4038292088601532","1.4571729475511446","1.4233397956429954","1.3309748833863193"
"MouseRatTox","SVR_RBF_DESC","1.0E-4","Standard","rdkit_desc","1.0E-4","1.4039173591742617","1.4573571172370994","1.4232776924923838","1.3311172677933025"
"MouseRatTox","SVR_RBF_DESC","0.001","Standard","rdkit_desc","1.0E-4","1.403879270659597","1.4572970463668895","1.4232463412520109","1.331094424359891"
"MouseRatTox","SVR_RBF_DESC","0.01","Standard","rdkit_desc","1.0E-4","1.403842743563389","1.4571434491237243","1.4233837838871906","1.3310009976792516"
"MouseRatTox","SVR_RBF_DESC","0.1","Standard","rdkit_desc","1.0E-4","1.4039456477923367","1.4573175227504112","1.4234438786673045","1.3310755419592943"
"MouseRatTox","SVR_RBF_DESC","1.0","Standard","rdkit_desc","1.0E-4","1.403981014201082","1.4573663101636503","1.4234575643081173","1.3311191681314785"
"MouseRatTox","SVR_RBF_DESC","1.0E-4","MaxMin","cdk_desc","1.0E-4","1.4039232308154002","1.4573674562426833","1.423281226758581","1.3311210094449364"
"MouseRatTox","SVR_RBF_DESC","0.001","MaxMin","cdk_desc","1.0E-4","1.4039211954343973","1.4573635846170467","1.4232800628778166","1.3311199388083292"
"MouseRatTox","SVR_RBF_DESC","0.01","MaxMin","cdk_desc","1.0E-4","1.4039034892699276","1.4573316757757437","1.4232685026814333","1.3311102893526054"
"MouseRatTox","SVR_RBF_DESC","0.1","MaxMin","cdk_desc","1.0E-4","1.4037993215724305","1.4571567218608026","1.4231754735116107","1.3310657693448782"
"MouseRatTox","SVR_RBF_DESC","1.0","MaxMin","cdk_desc","1.0E-4","1.4038707033755813","1.457194160798003","1.4233446118095996","1.331073337519142"
"MouseRatTox","SVR_RBF_DESC","1.0E-4","Standard","cdk_desc","1.0E-4","1.4039177743154478","1.4573576680313431","1.4232775467606205","1.33111810815438"
"MouseRatTox","SVR_RBF_DESC","0.001","Standard","cdk_desc","1.0E-4","1.4038813504322303","1.457297507001944","1.4232426325181797","1.3311039117765668"
"MouseRatTox","SVR_RBF_DESC","0.01","Standard","cdk_desc","1.0E-4","1.4038659568521297","1.4571560453015096","1.4233787886080755","1.3310630366468041"
"MouseRatTox","SVR_RBF_DESC","0.1","Standard","cdk_desc","1.0E-4","1.4039580497677953","1.4573315794004906","1.4234397379207688","1.3311028319821265"
