"NAME [String]","METHOD [String]","gamma [Double]","foldSize [Int]","featuresColumn [String]","scalerType [String]","C [Double]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"MouseRatTox","SVR_RBF_FP","1.0E-4","1000","rdkit_fp","MaxMin","0.001","1.3724607188438709","1.4463717468276038","1.346995421594433","1.3240149881095755"
"MouseRatTox","SVR_RBF_FP","0.001","1000","rdkit_fp","MaxMin","0.001","1.37242723238645","1.4463495069891923","1.3469723440640498","1.323959846106108"
"MouseRatTox","SVR_RBF_FP","0.01","1000","rdkit_fp","MaxMin","0.001","1.372139522515452","1.4461679645421806","1.346805158640735","1.3234454443634411"
"MouseRatTox","SVR_RBF_FP","0.1","1000","rdkit_fp","MaxMin","0.001","1.3713982138758103","1.4457310950385438","1.3464282335769915","1.3220353130118954"
"MouseRatTox","SVR_RBF_FP","1.0","1000","rdkit_fp","MaxMin","0.001","1.3723432171873309","1.4462832064470097","1.3469661452258703","1.3237802998891128"
"MouseRatTox","SVR_RBF_FP","1.0E-4","1500","rdkit_fp","MaxMin","0.001","1.3724602835726813","1.446371524873309","1.346994938956188","1.324014386888547"
"MouseRatTox","SVR_RBF_FP","0.001","1500","rdkit_fp","MaxMin","0.001","1.3724229650873323","1.4463473390195525","1.3469677037894214","1.3239538524530237"
"MouseRatTox","SVR_RBF_FP","0.01","1500","rdkit_fp","MaxMin","0.001","1.3721044803491704","1.4461512328269448","1.3467716282934872","1.3233905799270798"
"MouseRatTox","SVR_RBF_FP","0.1","1500","rdkit_fp","MaxMin","0.001","1.3713948227802168","1.4457669953928272","1.3463840595499552","1.3220334133978684"
"MouseRatTox","SVR_RBF_FP","1.0","1500","rdkit_fp","MaxMin","0.001","1.3723774941339772","1.4463022182588572","1.3469948243390202","1.3238354398040548"
"MouseRatTox","SVR_RBF_FP","1.0E-4","2000","rdkit_fp","MaxMin","0.001","1.3724600271046434","1.4463715706750255","1.3469947386747747","1.32401377196413"
"MouseRatTox","SVR_RBF_FP","0.001","2000","rdkit_fp","MaxMin","0.001","1.3724204777501037","1.4463476921120193","1.3469659370904747","1.3239478040478176"
"MouseRatTox","SVR_RBF_FP","0.01","2000","rdkit_fp","MaxMin","0.001","1.372086360700031","1.4461499961781308","1.3467678223136144","1.323341263608348"
"MouseRatTox","SVR_RBF_FP","0.1","2000","rdkit_fp","MaxMin","0.001","1.3714020019513615","1.445788264894528","1.3463886478909102","1.3220290930686467"
