"NAME [String]","METHOD [String]","numTrees [Int]","featuresColumn [String]","foldSize [Int]","maxDepth [Int]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"MouseRatTox","WEKA_FOLD_RFR","30","rdkit_fp","500","15","1.2013808545619489","1.298058040249864","1.1432749465675505","1.1628095768684321"
"MouseRatTox","WEKA_FOLD_RFR","40","rdkit_fp","500","15","1.2026357779574315","1.311810657073305","1.1446791171241248","1.1514175596748641"
"MouseRatTox","WEKA_FOLD_RFR","50","rdkit_fp","500","15","1.2013462591568989","1.3121778799378752","1.1441718353825898","1.1476890621502314"
"MouseRatTox","WEKA_FOLD_RFR","60","rdkit_fp","500","15","1.2011368006417895","1.3136504567360245","1.146524753215746","1.1432351919735984"
"MouseRatTox","WEKA_FOLD_RFR","70","rdkit_fp","500","15","1.2022788416355648","1.3136554204882904","1.1518646703099942","1.1413164341084094"
"MouseRatTox","WEKA_FOLD_RFR","30","cdk_fp","500","15","1.2118672455341972","1.3133535060024601","1.1667173444696977","1.1555308861304339"
"MouseRatTox","WEKA_FOLD_RFR","40","cdk_fp","500","15","1.2138313316798275","1.314020155102943","1.1779911898720956","1.149482650064444"
"MouseRatTox","WEKA_FOLD_RFR","50","cdk_fp","500","15","1.2136767276628568","1.314532076945793","1.1775988337474437","1.148899272295334"
"MouseRatTox","WEKA_FOLD_RFR","60","cdk_fp","500","15","1.2131592284085673","1.3063359532598058","1.1783760878579201","1.1547656441079757"
"MouseRatTox","WEKA_FOLD_RFR","70","cdk_fp","500","15","1.2095576944330155","1.305190721643193","1.1717867781865074","1.1516955834693465"
"MouseRatTox","WEKA_FOLD_RFR","30","rdkit_fp","1000","15","1.2252210849583638","1.3119236308525108","1.1683647135431618","1.1953749104794187"
"MouseRatTox","WEKA_FOLD_RFR","40","rdkit_fp","1000","15","1.2254191995033759","1.324771678762687","1.1697582069486527","1.1817277127987877"
"MouseRatTox","WEKA_FOLD_RFR","50","rdkit_fp","1000","15","1.2231330773523126","1.3225393748233853","1.1738163488001134","1.1730435084334385"
"MouseRatTox","WEKA_FOLD_RFR","60","rdkit_fp","1000","15","1.2191766271302027","1.3236298129031459","1.1739689238905089","1.1599311445969531"
"MouseRatTox","WEKA_FOLD_RFR","70","rdkit_fp","1000","15","1.2201600138785054","1.3242659869715834","1.1744076580385945","1.161806396625338"
"MouseRatTox","WEKA_FOLD_RFR","30","cdk_fp","1000","15","1.2447387711017406","1.325300945918452","1.2227452926702114","1.1861700747165584"
"MouseRatTox","WEKA_FOLD_RFR","40","cdk_fp","1000","15","1.2435401198314153","1.3320875250789777","1.2184056778465282","1.18012715656874"
"MouseRatTox","WEKA_FOLD_RFR","50","cdk_fp","1000","15","1.2415147369348072","1.3257201067417514","1.2149821884832908","1.1838419155793791"
