"NAME [String]","METHOD [String]","numTrees [Int]","featuresColumn [String]","maxDepth [Int]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"Caco2","WEKA_RFR","30","rdkit_fp","15","0.7143040434448533","0.9009121569655338","0.6079935218713133","0.6340064514977131"
"Caco2","WEKA_RFR","40","rdkit_fp","15","0.7103257276547584","0.8778776045961467","0.6152327463885296","0.637866831979599"
"Caco2","WEKA_RFR","50","rdkit_fp","15","0.7058647167598902","0.8739521403519699","0.60890737489605","0.6347346350316506"
"Caco2","WEKA_RFR","60","rdkit_fp","15","0.7010773687266791","0.8694029247201607","0.6017248103755425","0.6321043710843344"
"Caco2","WEKA_RFR","70","rdkit_fp","15","0.6992615048569549","0.8712543046048761","0.6011960462803031","0.6253341636856858"
"Caco2","WEKA_RFR","30","cdk_fp","15","0.7024725197396758","0.8813789223949869","0.6037164029120481","0.6223222339119925"
"Caco2","WEKA_RFR","40","cdk_fp","15","0.700331770298536","0.8873393289842427","0.5976085766528284","0.6160474052585369"
"Caco2","WEKA_RFR","50","cdk_fp","15","0.6943047869723106","0.8687359506301293","0.5952575287594564","0.618920881527346"
"Caco2","WEKA_RFR","60","cdk_fp","15","0.6947485756137056","0.8759099154567882","0.59671611848606","0.6116196928982688"
"Caco2","WEKA_RFR","70","cdk_fp","15","0.6948762201128673","0.8840211417528338","0.6041273410128658","0.5964801775729022"
"Caco2","WEKA_RFR","30","rdkit_desc","15","0.555150558636285","0.6050991065217999","0.5351168366182286","0.5252357327688265"
"Caco2","WEKA_RFR","40","rdkit_desc","15","0.5452466461461042","0.5934635178044526","0.5338172734784186","0.5084591471554415"
"Caco2","WEKA_RFR","50","rdkit_desc","15","0.5490020871628153","0.6027187704650996","0.5463192267769954","0.4979682642463509"
"Caco2","WEKA_RFR","60","rdkit_desc","15","0.5487007725732505","0.5964772216189255","0.5584506267216829","0.49117446937914316"
"Caco2","WEKA_RFR","70","rdkit_desc","15","0.5468141493891734","0.5944466942667753","0.5604682855693642","0.4855274683313805"
"Caco2","WEKA_RFR","30","cdk_desc","15","0.6009802783797789","0.6329474526508247","0.6474237788114318","0.5225696036770799"
"Caco2","WEKA_RFR","40","cdk_desc","15","0.5955024612899735","0.6312549862553717","0.6331115322533852","0.5221408653611636"
"Caco2","WEKA_RFR","50","cdk_desc","15","0.5950818329828746","0.6205500427178252","0.6365804767378767","0.5281149794929221"
"Caco2","WEKA_RFR","60","cdk_desc","15","0.5914705813426496","0.6169946134644776","0.6403878146614238","0.5170293159020475"
"Caco2","WEKA_RFR","70","cdk_desc","15","0.5896771334061907","0.6229726822419862","0.6293310449972203","0.5167276729793656"
"Caco2","WEKA_RFR","30","rdkit_fp","20","0.6971800794545856","0.8820692390193033","0.587365201000475","0.6221057983439786"
"Caco2","WEKA_RFR","40","rdkit_fp","20","0.698469114565437","0.878116458696705","0.5930916422214911","0.624199242778115"
"Caco2","WEKA_RFR","50","rdkit_fp","20","0.6951312254346599","0.8809066827500203","0.5879263627874373","0.6165606307665221"
"Caco2","WEKA_RFR","60","rdkit_fp","20","0.6916358774967613","0.8736793292849291","0.5835358151812642","0.6176924880240904"
"Caco2","WEKA_RFR","70","rdkit_fp","20","0.6878959864220744","0.8736045330039096","0.5837108617032704","0.6063725645590433"
"Caco2","WEKA_RFR","30","cdk_fp","20","0.7040001174915983","0.8791780111265681","0.6066821657128472","0.6261401756353796"
"Caco2","WEKA_RFR","40","cdk_fp","20","0.6965792076817849","0.8816729720949207","0.5927936804355933","0.6152709705148408"
"Caco2","WEKA_RFR","50","cdk_fp","20","0.6845759685589256","0.8644146530387264","0.5794704026615626","0.6098428499764874"
"Caco2","WEKA_RFR","60","cdk_fp","20","0.6866230629269067","0.8671834699103409","0.5831761310038693","0.6095095878665096"
"Caco2","WEKA_RFR","70","cdk_fp","20","0.6898708771415084","0.8755475907424627","0.5920054515768456","0.602059589105217"
"Caco2","WEKA_RFR","30","rdkit_desc","20","0.555150558636285","0.6050991065217999","0.5351168366182286","0.5252357327688265"
"Caco2","WEKA_RFR","40","rdkit_desc","20","0.5452466461461042","0.5934635178044526","0.5338172734784186","0.5084591471554415"
"Caco2","WEKA_RFR","50","rdkit_desc","20","0.5490020871628153","0.6027187704650996","0.5463192267769954","0.4979682642463509"
"Caco2","WEKA_RFR","60","rdkit_desc","20","0.5487007725732505","0.5964772216189255","0.5584506267216829","0.49117446937914316"
"Caco2","WEKA_RFR","70","rdkit_desc","20","0.5468141493891734","0.5944466942667753","0.5604682855693642","0.4855274683313805"
"Caco2","WEKA_RFR","30","cdk_desc","20","0.600472849688626","0.6329474526508247","0.6474237788114318","0.5210473176036216"
"Caco2","WEKA_RFR","40","cdk_desc","20","0.5950962120547058","0.6312549862553717","0.6331115322533852","0.5209221176553605"
"Caco2","WEKA_RFR","50","cdk_desc","20","0.5947747144799601","0.6205500427178252","0.6365804767378767","0.5271936239841785"
"Caco2","WEKA_RFR","60","cdk_desc","20","0.5911945465969715","0.6169946134644776","0.6403878146614238","0.5162012116650129"
"Caco2","WEKA_RFR","70","cdk_desc","20","0.5891811525685887","0.6229726822419862","0.6285537590230499","0.5160170164407297"
"Caco2","WEKA_RFR","30","rdkit_fp","30","0.7018467859526122","0.8943087771972988","0.6072568418274196","0.6039747388331183"
"Caco2","WEKA_RFR","40","rdkit_fp","30","0.7022490333232655","0.8830150299592542","0.6066730202148302","0.6170590497957118"
"Caco2","WEKA_RFR","50","rdkit_fp","30","0.7008207721048602","0.8857494802307475","0.6010825435813555","0.6156302925024771"
"Caco2","WEKA_RFR","60","rdkit_fp","30","0.6971929963198799","0.8750193778496576","0.5987015224592297","0.6178580886507526"
"Caco2","WEKA_RFR","70","rdkit_fp","30","0.6919435673807096","0.874153023751367","0.5942466792107695","0.6074309991799921"
"Caco2","WEKA_RFR","30","cdk_fp","30","0.7074604906932676","0.8857632457372849","0.6103341365366982","0.6262840898058194"
"Caco2","WEKA_RFR","40","cdk_fp","30","0.697839440195798","0.8879096736960603","0.5943714417807001","0.6112372051106333"
"Caco2","WEKA_RFR","50","cdk_fp","30","0.6867617899990139","0.8649286570418351","0.5843025906616413","0.6110541222935656"
"Caco2","WEKA_RFR","60","cdk_fp","30","0.6895133653322171","0.8713172016644501","0.5888908272550294","0.6083320670771716"
"Caco2","WEKA_RFR","70","cdk_fp","30","0.6928205810270581","0.8826194754184405","0.5983367491570267","0.5975055185057068"
"Caco2","WEKA_RFR","30","rdkit_desc","30","0.555150558636285","0.6050991065217999","0.5351168366182286","0.5252357327688265"
"Caco2","WEKA_RFR","40","rdkit_desc","30","0.5452466461461042","0.5934635178044526","0.5338172734784186","0.5084591471554415"
"Caco2","WEKA_RFR","50","rdkit_desc","30","0.5490020871628153","0.6027187704650996","0.5463192267769954","0.4979682642463509"
"Caco2","WEKA_RFR","60","rdkit_desc","30","0.5487007725732505","0.5964772216189255","0.5584506267216829","0.49117446937914316"
"Caco2","WEKA_RFR","70","rdkit_desc","30","0.5468141493891734","0.5944466942667753","0.5604682855693642","0.4855274683313805"
"Caco2","WEKA_RFR","30","cdk_desc","30","0.600472849688626","0.6329474526508247","0.6474237788114318","0.5210473176036216"
"Caco2","WEKA_RFR","40","cdk_desc","30","0.5950962120547058","0.6312549862553717","0.6331115322533852","0.5209221176553605"
"Caco2","WEKA_RFR","50","cdk_desc","30","0.5947747144799601","0.6205500427178252","0.6365804767378767","0.5271936239841785"
"Caco2","WEKA_RFR","60","cdk_desc","30","0.5911945465969715","0.6169946134644776","0.6403878146614238","0.5162012116650129"
"Caco2","WEKA_RFR","70","cdk_desc","30","0.5891811525685887","0.6229726822419862","0.6285537590230499","0.5160170164407297"
"Caco2","WEKA_RFR","30","rdkit_fp","40","0.6988219019782006","0.8916481821269168","0.6026244182163959","0.602193105591289"
"Caco2","WEKA_RFR","40","rdkit_fp","40","0.7000236407156623","0.881073315261295","0.6032259259379705","0.6157716809477214"
"Caco2","WEKA_RFR","50","rdkit_fp","40","0.6985500921411464","0.8842002802881817","0.5977134217213947","0.6137365744138631"
"Caco2","WEKA_RFR","60","rdkit_fp","40","0.6931724783798106","0.870653166749946","0.5946583485650213","0.6142059198244643"
"Caco2","WEKA_RFR","70","rdkit_fp","40","0.6888949239497411","0.8704650815037266","0.591056401662728","0.6051632886827686"
"Caco2","WEKA_RFR","30","cdk_fp","40","0.7063684215172499","0.886275228908444","0.6062191899391405","0.626610845704165"
"Caco2","WEKA_RFR","40","cdk_fp","40","0.697598547503378","0.8894338383685226","0.5900889822763116","0.6132728218653002"
"Caco2","WEKA_RFR","50","cdk_fp","40","0.68664235400899","0.8663401873011214","0.5808865984671948","0.6127002762586536"
"Caco2","WEKA_RFR","60","cdk_fp","40","0.6898405985734346","0.8726246008797682","0.588107441679257","0.6087897531612787"
"Caco2","WEKA_RFR","70","cdk_fp","40","0.69258592106858","0.8839084813294752","0.5961640784909465","0.5976852033853183"
"Caco2","WEKA_RFR","30","rdkit_desc","40","0.555150558636285","0.6050991065217999","0.5351168366182286","0.5252357327688265"
"Caco2","WEKA_RFR","40","rdkit_desc","40","0.5452466461461042","0.5934635178044526","0.5338172734784186","0.5084591471554415"
"Caco2","WEKA_RFR","50","rdkit_desc","40","0.5490020871628153","0.6027187704650996","0.5463192267769954","0.4979682642463509"
"Caco2","WEKA_RFR","60","rdkit_desc","40","0.5487007725732505","0.5964772216189255","0.5584506267216829","0.49117446937914316"
"Caco2","WEKA_RFR","70","rdkit_desc","40","0.5468141493891734","0.5944466942667753","0.5604682855693642","0.4855274683313805"
"Caco2","WEKA_RFR","30","cdk_desc","40","0.600472849688626","0.6329474526508247","0.6474237788114318","0.5210473176036216"
"Caco2","WEKA_RFR","40","cdk_desc","40","0.5950962120547058","0.6312549862553717","0.6331115322533852","0.5209221176553605"
"Caco2","WEKA_RFR","50","cdk_desc","40","0.5947747144799601","0.6205500427178252","0.6365804767378767","0.5271936239841785"
"Caco2","WEKA_RFR","60","cdk_desc","40","0.5911945465969715","0.6169946134644776","0.6403878146614238","0.5162012116650129"
"Caco2","WEKA_RFR","70","cdk_desc","40","0.5891811525685887","0.6229726822419862","0.6285537590230499","0.5160170164407297"
"Caco2","WEKA_RFR","30","rdkit_fp","50","0.6988219019782006","0.8916481821269168","0.6026244182163959","0.602193105591289"
"Caco2","WEKA_RFR","40","rdkit_fp","50","0.7000236407156623","0.881073315261295","0.6032259259379705","0.6157716809477214"
"Caco2","WEKA_RFR","50","rdkit_fp","50","0.6985500921411464","0.8842002802881817","0.5977134217213947","0.6137365744138631"
"Caco2","WEKA_RFR","60","rdkit_fp","50","0.6931724783798106","0.870653166749946","0.5946583485650213","0.6142059198244643"
"Caco2","WEKA_RFR","70","rdkit_fp","50","0.6888949239497411","0.8704650815037266","0.591056401662728","0.6051632886827686"
"Caco2","WEKA_RFR","30","cdk_fp","50","0.7063684215172499","0.886275228908444","0.6062191899391405","0.626610845704165"
"Caco2","WEKA_RFR","40","cdk_fp","50","0.697598547503378","0.8894338383685226","0.5900889822763116","0.6132728218653002"
"Caco2","WEKA_RFR","50","cdk_fp","50","0.68664235400899","0.8663401873011214","0.5808865984671948","0.6127002762586536"
"Caco2","WEKA_RFR","60","cdk_fp","50","0.6898405985734346","0.8726246008797682","0.588107441679257","0.6087897531612787"
"Caco2","WEKA_RFR","70","cdk_fp","50","0.69258592106858","0.8839084813294752","0.5961640784909465","0.5976852033853183"
"Caco2","WEKA_RFR","30","rdkit_desc","50","0.555150558636285","0.6050991065217999","0.5351168366182286","0.5252357327688265"
"Caco2","WEKA_RFR","40","rdkit_desc","50","0.5452466461461042","0.5934635178044526","0.5338172734784186","0.5084591471554415"
"Caco2","WEKA_RFR","50","rdkit_desc","50","0.5490020871628153","0.6027187704650996","0.5463192267769954","0.4979682642463509"
"Caco2","WEKA_RFR","60","rdkit_desc","50","0.5487007725732505","0.5964772216189255","0.5584506267216829","0.49117446937914316"
"Caco2","WEKA_RFR","70","rdkit_desc","50","0.5468141493891734","0.5944466942667753","0.5604682855693642","0.4855274683313805"
"Caco2","WEKA_RFR","30","cdk_desc","50","0.600472849688626","0.6329474526508247","0.6474237788114318","0.5210473176036216"
"Caco2","WEKA_RFR","40","cdk_desc","50","0.5950962120547058","0.6312549862553717","0.6331115322533852","0.5209221176553605"
"Caco2","WEKA_RFR","50","cdk_desc","50","0.5947747144799601","0.6205500427178252","0.6365804767378767","0.5271936239841785"
"Caco2","WEKA_RFR","60","cdk_desc","50","0.5911945465969715","0.6169946134644776","0.6403878146614238","0.5162012116650129"
"Caco2","WEKA_RFR","70","cdk_desc","50","0.5891811525685887","0.6229726822419862","0.6285537590230499","0.5160170164407297"
"MouseRatTox","WEKA_RFR","30","rdkit_fp","15","1.297125219973157","1.3240578290276197","1.3165350584285136","1.250782772463338"
"MouseRatTox","WEKA_RFR","40","rdkit_fp","15","1.2983159077581188","1.3306768649145266","1.3155266228593547","1.2487442355004748"
"MouseRatTox","WEKA_RFR","50","rdkit_fp","15","1.2973074690553348","1.3200621726969317","1.3123021741117644","1.259558060357308"
"MouseRatTox","WEKA_RFR","60","rdkit_fp","15","1.2923268014503024","1.3125069337037292","1.3124982079900787","1.2519752626570992"
"MouseRatTox","WEKA_RFR","70","rdkit_fp","15","1.2918205769356188","1.313709259944164","1.31477533582695","1.2469771350357426"
"MouseRatTox","WEKA_RFR","30","cdk_fp","15","1.2823050483006073","1.3079745857154261","1.3302195236836925","1.2087210355027034"
"MouseRatTox","WEKA_RFR","40","cdk_fp","15","1.2770934982457147","1.3013669416525906","1.3253752501854852","1.2045383028990684"
"MouseRatTox","WEKA_RFR","50","cdk_fp","15","1.2822493232551144","1.3076904022761375","1.3286809602231975","1.210376607266008"
"MouseRatTox","WEKA_RFR","60","cdk_fp","15","1.277601383723225","1.305541090878144","1.3245846927181937","1.2026783675733372"
"MouseRatTox","WEKA_RFR","70","cdk_fp","15","1.277156506530174","1.3047573845637455","1.3248114493504113","1.2019006856763654"
"MouseRatTox","WEKA_RFR","30","rdkit_desc","15","1.2175857948241346","1.2470518486356417","1.2896586976281326","1.11604683820863"
"MouseRatTox","WEKA_RFR","40","rdkit_desc","15","1.2077474221911384","1.2341065793936397","1.2707364742425593","1.1183992129372162"
"MouseRatTox","WEKA_RFR","50","rdkit_desc","15","1.2020300376029136","1.220237684767595","1.26828441488482","1.1175680131563261"
"MouseRatTox","WEKA_RFR","60","rdkit_desc","15","1.205230998945807","1.2367161183688504","1.261815459087748","1.1171614193808224"
"MouseRatTox","WEKA_RFR","70","rdkit_desc","15","1.201388463912494","1.2338667353741408","1.259714169824311","1.1105844865390306"
"MouseRatTox","WEKA_RFR","30","cdk_desc","15","1.234859602680728","1.264015510829408","1.2981968349552626","1.1423664622575134"
"MouseRatTox","WEKA_RFR","40","cdk_desc","15","1.2271367222399316","1.2705572491951629","1.2784329514953106","1.1324199660293215"
"MouseRatTox","WEKA_RFR","50","cdk_desc","15","1.2156126942135739","1.2550074137312008","1.2667995698937176","1.1250310990158034"
