name,rmse_global,rmse_common,delta
ADMECaco2,0.6903125561048734,0.8145397372838558,0.12422718117898235
Caco2,0.761178289071884,0.7768131404302909,0.01563485135840692
Chagas,0.5843901008377201,0.6471142356843516,0.06272413484663142
LogP,0.7587257682560189,0.7972519717550031,0.03852620349898417
MalariaGSK,0.31126411253437664,0.3364059585854915,0.025141846051114858
MalariaNovartis,0.5754293182514285,0.5905699412781378,0.015140623026709266
MouseRatTox,1.2842797621890434,1.3493571563699427,0.0650773941808993
TB_MDR,0.6794321136884474,0.6910932995537353,0.01166118586528797
TB_SRI,0.656784032765714,0.7086851722795124,0.05190113951379849
Xanthine-Bostaurus,0.7838030662438229,0.9038070819721066,0.12000401572828368
