name,rmse_global,rmse_common,delta
ADMECaco2,0.68862648801696,0.6957810527457348,0.007154564728774737
Caco2,0.6832351699894759,0.7914379999981948,0.10820283000871889
Chagas,0.5279804808779078,0.5294283052536142,0.0014478243757063414
LogP,0.6229450302312511,0.8212267914781372,0.198281761246886
MalariaGSK,0.29727129139814124,0.29727129139814124,0.0
MalariaNovartis,0.5509933294376423,0.5509933294376423,0.0
MouseRatTox,1.1677689928057682,1.1677689928057682,0.0
TB_MDR,0.5935568206064314,0.5935568206064314,0.0
TB_SRI,0.6405475140290207,0.6554922760329501,0.014944762003929468
Xanthine-Bostaurus,0.7959918020943273,0.7991947043552697,0.003202902260942442
