name,rmse_global,rmse_common,delta
ADMECaco2,0.5920477070096946,0.65107459385105,0.059026886841355486
Caco2,0.620807100471809,0.6667288994695963,0.045921798997787366
Chagas,0.4863573515117535,0.4863573515117578,4.274358644806853e-15
LogP,0.8572712034011604,0.9446713246357183,0.08740012123455798
MalariaGSK,0.3063894932221649,0.3242069330602137,0.017817439838048788
MalariaNovartis,0.5518354430966123,0.5569562150895778,0.005120771992965567
MouseRatTox,1.2133024738803204,1.2348676470353843,0.0215651731550639
TB_MDR,0.5884830112894744,0.5981194270428347,0.009636415753360272
TB_SRI,0.6340462998666153,0.6414771481406947,0.00743084827407936
Xanthine-Bostaurus,0.7261325499659466,0.7498778642807499,0.023745314314803312
