name,rmse_global,rmse_common,delta
ADMECaco2,0.7502051960982172,0.7829502574439241,0.03274506134570687
Caco2,0.666612717474545,0.6839012603869423,0.017288542912397342
Chagas,0.5373882321668932,0.5554072234981653,0.01801899133127205
LogP,0.7204603502152996,0.7376734124411586,0.017213062225858944
MalariaGSK,0.3092479408769998,0.32543406305546785,0.016186122178468043
MalariaNovartis,0.5454589221669625,0.5565242877980751,0.0110653656311126
MouseRatTox,1.1486821701634806,1.1711063166017557,0.02242414643827506
TB_MDR,0.5844632163700633,0.5984804835509092,0.01401726718084595
TB_SRI,0.6370637461030044,0.6420604174151451,0.004996671312140655
Xanthine-Bostaurus,0.7212465523695114,0.7249889708139478,0.003742418444436346
