name,rmse_global,rmse_common,delta
ADMECaco2,0.6651674491654392,0.7187565226750361,0.05358907350959685
Caco2,0.5853210015652552,0.6043365806102752,0.019015579045019937
Chagas,0.6034991012292581,0.6391830431733456,0.03568394194408753
LogP,0.5726158477049007,0.6289777462945706,0.05636189858966989
MalariaGSK,0.3530200149329863,0.3778960393213481,0.024876024388361784
MalariaNovartis,0.5844741006014711,0.6208465391564111,0.03637243855493999
MouseRatTox,1.1682547244111894,1.2586533574391685,0.09039863302797913
TB_MDR,0.6564956519032721,0.7011210680704973,0.04462541616722526
TB_SRI,0.6577330989545667,0.6645824390407508,0.006849340086184097
Xanthine-Bostaurus,0.8633419629545711,0.8919300086196161,0.028588045665045025
