name,rmse_global,rmse_common,delta
ADMECaco2,0.6768036369609352,0.6838421511608392,0.007038514199904089
Caco2,0.5463219363630626,0.5693989160201846,0.023076979657121965
Chagas,0.5774324435150043,0.6115770268150428,0.034144583300038445
LogP,0.5537252010186255,0.5974235438862464,0.043698342867620865
MalariaGSK,0.34275013894835443,0.3685560896279024,0.02580595067954794
MalariaNovartis,0.5794216250255239,0.605771805708437,0.02635018068291317
MouseRatTox,1.1983703316800596,1.267159160876102,0.06878882919604234
TB_MDR,0.653783013590609,0.6844485944891915,0.030665580898582512
TB_SRI,0.6560178190198657,0.6625605187077137,0.0065426996878480415
Xanthine-Bostaurus,0.8639730241461417,0.8674970242629813,0.0035240001168395096
