name,rmse_global,rmse_common,delta
ADMECaco2,0.5775021656358267,0.5834054690392207,0.005903303403394067
Caco2,0.6456180006195048,0.7035228471294316,0.05790484650992678
Chagas,0.5108310477707488,0.534938089988665,0.024107042217916153
LogP,0.6423735341010633,0.6588007993950137,0.016427265293950333
MalariaGSK,0.30930033693582754,0.3273689500889151,0.018068613153087554
MalariaNovartis,0.5459381495810129,0.5574623505578796,0.011524200976866683
MouseRatTox,1.1238436702388686,1.1381194578742866,0.014275787635418036
TB_MDR,0.5859507087523169,0.5866054306990587,0.0006547219467417653
TB_SRI,0.6313876513064087,0.6478018345636491,0.016414183257240422
Xanthine-Bostaurus,0.6361282257198888,0.6363926402066016,0.0002644144867127718
