name,rmse_global,rmse_common,delta
ADMECaco2,0.6734088601944825,0.7060660722360991,0.032657212041616535
Caco2,0.6872683695267362,0.7713932828039646,0.08412491327722837
Chagas,0.625706765412661,0.6548044865191042,0.029097721106443153
LogP,0.9135814323323808,0.9392570283262252,0.02567559599384439
MalariaGSK,0.3247702241608656,0.3247702241608656,0.0
MalariaNovartis,0.5934844473928717,0.5934844473928717,0.0
MouseRatTox,1.4214639284114152,1.4357486216694573,0.014284693258042047
TB_MDR,0.7417282308350884,0.7432655150500015,0.0015372842149130594
TB_SRI,0.9081210720867204,0.9259038393878258,0.017782767301105395
Xanthine-Bostaurus,0.8490292540314992,0.8490292540314992,0.0
