name,rmse_global,rmse_common,delta
ADMECaco2,0.6013136406679771,0.6576855104961292,0.05637186982815212
Caco2,0.5361825377707308,0.5457624822031142,0.009579944432383414
Chagas,0.4766327189268119,0.5409653891326063,0.06433267020579436
LogP,0.5411074914746877,0.5540080645214839,0.012900573046796149
MalariaGSK,0.27782072866453755,0.2927833218571814,0.01496259319264387
MalariaNovartis,0.5371514188047888,0.5379265141440239,0.0007750953392351434
MouseRatTox,1.1744640684098238,1.1801454146981827,0.005681346288358924
TB_MDR,0.568860699335185,0.6080274967175541,0.039166797382369056
TB_SRI,0.6312821607095574,0.6533000599947583,0.022017899285200815
Xanthine-Bostaurus,0.6540928489459068,0.7177599424443063,0.0636670934983995
