name,rmse_global,rmse_common,delta
ADMECaco2,0.7444634663465827,0.7516998611285404,0.0072363947819577
Caco2,0.5298579041224448,0.555644812571278,0.025786908448833135
Chagas,0.5365682765343074,0.5409240949954541,0.004355818461146743
LogP,0.5698912291108331,0.5823404718343023,0.012449242723469145
MalariaGSK,0.2881563361533286,0.2889115671619373,0.0007552310086086922
MalariaNovartis,0.5320396983502365,0.5362862422515134,0.004246543901276989
MouseRatTox,1.1681564155076911,1.2119036233009328,0.043747207793241705
TB_MDR,0.6083103313209827,0.6148941293035558,0.006583797982573136
TB_SRI,0.6562518886359952,0.6592435935678337,0.0029917049318385347
Xanthine-Bostaurus,0.7553113337948648,0.7654283946125414,0.010117060817676604
