name,rmse_global,rmse_common,delta
ADMECaco2,0.5821155192859638,0.5934559106427374,0.01134039135677356
Caco2,0.6160694208719903,0.6382956099065923,0.02222618903460194
Chagas,0.4561216770778935,0.4564705805447587,0.00034890346686522467
LogP,0.6036333905283596,0.6067444396894301,0.0031110491610705227
MalariaGSK,0.27827338041383665,0.2839206207431869,0.005647240329350267
MalariaNovartis,0.5341861427708312,0.546153947536859,0.011967804766027768
MouseRatTox,1.1684869916968632,1.1708843120148502,0.002397320317987006
TB_MDR,0.560280125410353,0.560744806482189,0.00046468107183605944
TB_SRI,0.6256508407274195,0.6599748518817289,0.034324011154309386
Xanthine-Bostaurus,0.5876057614002104,0.6072004314730022,0.01959467007279181
