name,rmse_global,rmse_common,delta
ADMECaco2,0.6791475468433718,0.7055018682252884,0.026354321381916623
Caco2,0.6075764939351538,0.6075764939351538,0.0
Chagas,0.5792357302516727,0.5999372544976138,0.020701524245941072
LogP,0.5645107575355671,0.6413457377448678,0.07683498020930069
MalariaGSK,0.3582814815826629,0.3582814815826629,0.0
MalariaNovartis,0.5865324214081139,0.5865324214081139,0.0
MouseRatTox,1.2102719459445554,1.2102719459445554,0.0
TB_MDR,0.6588190347104612,0.6727167076669364,0.013897672956475149
TB_SRI,0.6544236334422407,0.6546633930803067,0.00023975963806599498
Xanthine-Bostaurus,0.8771521512290518,0.934027164093878,0.05687501286482621
