name,rmse_global,rmse_common,delta
ADMECaco2,0.6294553200071413,0.6496197532456439,0.020164433238502588
Caco2,0.7276215690082973,0.7428851933357999,0.015263624327502612
Chagas,0.4694723938469851,0.4845871350209037,0.015114741173918644
LogP,0.6748173773524783,0.6794723532180261,0.004654975865547861
MalariaGSK,0.3034147367860023,0.3214999833363701,0.018085246550367806
MalariaNovartis,0.5389042774075056,0.576365295291986,0.03746101788448042
MouseRatTox,1.182662317844664,1.206709825109099,0.024047507264435053
TB_MDR,0.5734634376889733,0.5956522823429776,0.02218884465400428
TB_SRI,0.6225511686039368,0.6601108713916298,0.03755970278769305
Xanthine-Bostaurus,0.6202034815213949,0.6294332176845746,0.00922973616317968
