name,rmse_global,rmse_common,delta
ADMECaco2,0.6113420029201694,0.6330959997465453,0.02175399682637591
Caco2,0.6925650667609191,0.7352124945935411,0.04264742783262199
Chagas,0.5043969591174036,0.5043969591174036,0.0
LogP,0.908861218332835,0.9172586659251808,0.008397447592345841
MalariaGSK,0.27852931992125657,0.2811001901414956,0.002570870220239052
MalariaNovartis,0.5339019080266318,0.5360101672985202,0.002108259271888402
MouseRatTox,1.168812509083951,1.1807607906267208,0.011948281542769834
TB_MDR,0.5850713026706135,0.5896061892327521,0.004534886562138629
TB_SRI,0.6182144413515157,0.6249204595769909,0.00670601822547523
Xanthine-Bostaurus,0.6116339142294119,0.6272653516234746,0.015631437394062697
