name,rmse_global,rmse_common,delta
ADMECaco2,0.6251893622264404,0.6467592653421537,0.021569903115713274
Caco2,0.5452466461461042,0.5490020871628153,0.003755441016711103
Chagas,0.5231008125934671,0.5582850134017748,0.03518420080830775
LogP,0.5872013169717056,0.5892417544112061,0.002040437439500442
MalariaGSK,0.2889609981972768,0.2950302370921157,0.006069238894838902
MalariaNovartis,0.5385394864199451,0.5419067296966277,0.0033672432766825855
MouseRatTox,1.1974507159664431,1.1987591577111745,0.0013084417447313257
TB_MDR,0.5980040378262078,0.6171671922807133,0.01916315445450545
TB_SRI,0.6264458303759551,0.6439037166625591,0.01745788628660394
Xanthine-Bostaurus,0.6514553304308125,0.7173483565217067,0.0658930260908942
