"feature","depth","trees","rmse"
"cdk","2","5","0.6552974502130973"
"cdk","2","10","0.6638794030236118"
"cdk","2","20","0.6658035972131526"
"cdk","2","30","0.6618446567020003"
"cdk","2","40","0.657535766513021"
"cdk","2","50","0.6614162824423025"
"cdk","2","60","0.6620761041095506"
"cdk","2","70","0.6618878735536513"
"cdk","5","5","0.5947121685403648"
"cdk","5","10","0.5834364865262331"
"cdk","5","20","0.5747396133080921"
"cdk","5","30","0.5760867847870408"
"cdk","5","40","0.5679479323187611"
"cdk","5","50","0.5719173452166426"
"cdk","5","60","0.5712261867348715"
"cdk","5","70","0.5716977873341558"
"cdk","10","5","0.5559499170329658"
"cdk","10","10","0.5441970855050922"
"cdk","10","20","0.5268547153031212"
"cdk","10","30","0.5315157681863292"
"cdk","10","40","0.522606212592033"
"cdk","10","50","0.5268157909226733"
"cdk","10","60","0.524485875063765"
"cdk","10","70","0.5244330894795497"
"cdk","15","5","0.5462693965102103"
"cdk","15","10","0.5312104904769502"
"cdk","15","20","0.5138715850652555"
"cdk","15","30","0.5164146759703573"
"cdk","15","40","0.5075203089219326"
"cdk","15","50","0.514410677088089"
"cdk","15","60","0.5098159941346695"
"cdk","15","70","0.5100497308260596"
"cdk","20","5","0.5418850000025578"
"cdk","20","10","0.5268294065192975"
"cdk","20","20","0.5091177845974159"
"cdk","20","30","0.5116637397276458"
"cdk","20","40","0.503065904959519"
"cdk","20","50","0.5107665527272938"
"cdk","20","60","0.505247301674889"
"cdk","20","70","0.5055085492387434"
"cdk","30","5","0.5445942086717612"
"cdk","30","10","0.5254051490048586"
"cdk","30","20","0.5080015694529023"
"cdk","30","30","0.5100676503466418"
"cdk","30","40","0.501513766759242"
"cdk","30","50","0.5096485964823194"
"cdk","30","60","0.5030479247534996"
"cdk","30","70","0.5030612617575956"
"rdkit","2","5","0.6253411934225734"
"rdkit","2","10","0.6351202775074467"
"rdkit","2","20","0.6249941621829053"
"rdkit","2","30","0.6309396824765293"
"rdkit","2","40","0.6288468502964899"
"rdkit","2","50","0.6265763629223151"
"rdkit","2","60","0.630431310888321"
"rdkit","2","70","0.6263640807664257"
"rdkit","5","5","0.5536020216196792"
"rdkit","5","10","0.5615587854549436"
"rdkit","5","20","0.5530130325887577"
"rdkit","5","30","0.5593784884689702"
"rdkit","5","40","0.5519234540231573"
"rdkit","5","50","0.5506686320035816"
"rdkit","5","60","0.5517764575889391"
"rdkit","5","70","0.5486134610101995"
"rdkit","10","5","0.5250462703760175"
"rdkit","10","10","0.5211495398237529"
"rdkit","10","20","0.5076100745568837"
"rdkit","10","30","0.512965621121245"
"rdkit","10","40","0.49929163453176584"
"rdkit","10","50","0.5038883202522169"
"rdkit","10","60","0.49815232366836515"
"rdkit","10","70","0.5001273406445339"
"rdkit","15","5","0.519649361525619"
"rdkit","15","10","0.515762189509652"
"rdkit","15","20","0.49900649340776404"
"rdkit","15","30","0.5014979325693429"
"rdkit","15","40","0.4858056646722435"
"rdkit","15","50","0.4925704599810406"
"rdkit","15","60","0.4882639787554104"
"rdkit","15","70","0.4890860276925215"
"rdkit","20","5","0.5217140220164698"
"rdkit","20","10","0.5144769535117406"
"rdkit","20","20","0.4992624422242705"
"rdkit","20","30","0.49748257623999"
"rdkit","20","40","0.48223046493430777"
"rdkit","20","50","0.4913346621428494"
"rdkit","20","60","0.48594987466390577"
"rdkit","20","70","0.4873002718466305"
"rdkit","30","5","0.5224577619846552"
"rdkit","30","10","0.5155428808890374"
"rdkit","30","20","0.49931556885850004"
"rdkit","30","30","0.49804783996068186"
"rdkit","30","40","0.48034931171345674"
"rdkit","30","50","0.4903680868019604"
"rdkit","30","60","0.48561136106141356"
"rdkit","30","70","0.48699625632515736"
